dataset,stage,class,count,proportion
isruc_s1,AFTER,N2,173,0.0019856300071161305
isruc_s1,AFTER,N3,138,0.0015839129536533297
isruc_s1,AFTER,REM,45,0.0005164933544521727
isruc_s1,AFTER,Wake,287,0.003294079838394968
isruc_s1,AFTER,N1,116,0.001331405091476712
isruc_s1,AFTER,N2,210,0.002410302320776806
isruc_s1,AFTER,N3,131,0.0015035695429607694
isruc_s1,AFTER,REM,233,0.002674287813052361
isruc_s1,AFTER,Wake,198,0.00227257075958956
isruc_s1,AFTER,N1,120,0.0013773156118724605
isruc_s1,AFTER,N2,250,0.002869407524734293
isruc_s1,AFTER,N3,119,0.0013658379817735233
isruc_s1,AFTER,REM,119,0.0013658379817735233
isruc_s1,AFTER,Wake,112,0.0012854945710809632
isruc_s1,AFTER,N1,224,0.0025709891421619264
isruc_s1,AFTER,N2,368,0.004223767876408879
isruc_s1,AFTER,N3,76,0.000872299887519225
isruc_s1,AFTER,REM,152,0.00174459977503845
isruc_s1,AFTER,Wake,318,0.0036498863714620206
isruc_s1,AFTER,N1,140,0.001606868213851204
isruc_s1,AFTER,N2,208,0.002387347060578932
isruc_s1,AFTER,N3,130,0.0014920919128618322
isruc_s1,AFTER,REM,85,0.0009755985584096596
isruc_s1,AFTER,Wake,210,0.002410302320776806
isruc_s1,AFTER,N1,81,0.0009296880380139109
isruc_s1,AFTER,N2,337,0.003867961343341827
isruc_s1,AFTER,N3,228,0.002616899662557675
isruc_s1,AFTER,REM,118,0.0013543603516745861
isruc_s1,AFTER,Wake,260,0.0029841838257236644
isruc_s1,AFTER,N1,111,0.001274016940982026
isruc_s1,AFTER,N2,233,0.002674287813052361
isruc_s1,AFTER,N3,42,0.0004820604641553612
isruc_s1,AFTER,REM,38,0.0004361499437596125
isruc_s1,AFTER,Wake,71,0.0008149117370245391
isruc_s1,AFTER,N1,176,0.002020062897412942
isruc_s1,AFTER,N2,263,0.003018616716020476
isruc_s1,AFTER,N3,144,0.0016527787342469527
isruc_s1,AFTER,REM,93,0.001067419599201157
isruc_s1,AFTER,Wake,90,0.0010329867089043454
isruc_s1,AFTER,N1,135,0.0015494800633565182
isruc_s1,AFTER,N2,365,0.004189334986112067
isruc_s1,AFTER,N3,173,0.0019856300071161305
isruc_s1,AFTER,REM,169,0.001939719486720382
isruc_s1,AFTER,Wake,138,0.0015839129536533297
isruc_s1,AFTER,N1,101,0.0011592406399926543
isruc_s1,AFTER,N2,300,0.0034432890296811516
isruc_s1,AFTER,N3,193,0.002215182609094874
isruc_s1,AFTER,REM,170,0.0019511971168193192
isruc_s1,AFTER,Wake,138,0.0015839129536533297
isruc_s1,AFTER,N1,67,0.0007690012166287905
isruc_s1,AFTER,N2,386,0.004430365218189748
isruc_s1,AFTER,N3,129,0.001480614282762895
isruc_s1,AFTER,REM,143,0.0016413011041480155
isruc_s1,AFTER,Wake,264,0.003030094346119413
isruc_s1,AFTER,N1,168,0.0019282418566214448
isruc_s1,AFTER,N2,211,0.0024217799508757434
isruc_s1,AFTER,N3,115,0.0013199274613777748
isruc_s1,AFTER,REM,58,0.000665702545738356
isruc_s1,AFTER,Wake,206,0.0023643918003810574
isruc_s1,AFTER,N1,71,0.0008149117370245391
isruc_s1,AFTER,N2,212,0.0024332575809746806
isruc_s1,AFTER,N3,206,0.0023643918003810574
isruc_s1,AFTER,REM,145,0.0016642563643458899
isruc_s1,AFTER,Wake,175,0.002008585267314005
isruc_s1,AFTER,N1,84,0.0009641209283107224
isruc_s1,AFTER,N2,244,0.00280054174414067
isruc_s1,AFTER,N3,222,0.002548033881964052
isruc_s1,AFTER,REM,68,0.0007804788467277277
isruc_s1,AFTER,Wake,107,0.0012281064205862773
isruc_s1,AFTER,N1,38,0.0004361499437596125
isruc_s1,AFTER,N2,327,0.003753185042352455
isruc_s1,AFTER,N3,206,0.0023643918003810574
isruc_s1,AFTER,REM,227,0.002605422032458738
isruc_s1,AFTER,Wake,197,0.0022610931294906227
isruc_s1,AFTER,N1,69,0.0007919564768266649
isruc_s1,AFTER,N2,345,0.003959782384133324
isruc_s1,AFTER,N3,148,0.0016986892546427014
isruc_s1,AFTER,REM,97,0.0011133301195969056
isruc_s1,AFTER,Wake,162,0.0018593760760278219
isruc_s1,AFTER,N1,101,0.0011592406399926543
isruc_s1,AFTER,N2,279,0.003202258797603471
isruc_s1,AFTER,N3,276,0.0031678259073066595
isruc_s1,AFTER,REM,94,0.0010788972293000942
isruc_s1,AFTER,Wake,29,0.000332851272869178
isruc_s1,AFTER,N1,74,0.0008493446273213507
isruc_s1,AFTER,N2,373,0.004281156026903565
isruc_s1,AFTER,N3,257,0.0029497509354268533
isruc_s1,AFTER,REM,177,0.0020315405275118793
isruc_s1,AFTER,Wake,189,0.0021692720886991256
isruc_s1,AFTER,N1,81,0.0009296880380139109
isruc_s1,AFTER,N2,204,0.002341436540183183
isruc_s1,AFTER,N3,307,0.0035236324403737115
isruc_s1,AFTER,REM,0,0.0
isruc_s1,AFTER,Wake,94,0.0010788972293000942
isruc_s1,AFTER,N1,88,0.001010031448706471
isruc_s1,AFTER,N2,364,0.0041778573560131305
isruc_s1,AFTER,N3,199,0.002284048389688497
isruc_s1,AFTER,REM,134,0.001538002433257581
isruc_s1,AFTER,Wake,231,0.0026513325528544868
isruc_s1,AFTER,N1,126,0.0014461813924660837
isruc_s1,AFTER,N2,315,0.003615453481165209
isruc_s1,AFTER,N3,150,0.0017216445148405758
isruc_s1,AFTER,REM,129,0.001480614282762895
isruc_s1,AFTER,Wake,101,0.0011592406399926543
isruc_s1,AFTER,N1,69,0.0007919564768266649
isruc_s1,AFTER,N2,281,0.003225214057801345
isruc_s1,AFTER,N3,401,0.004602529669673806
isruc_s1,AFTER,REM,105,0.001205151160388403
isruc_s1,AFTER,Wake,94,0.0010788972293000942
isruc_s1,AFTER,N1,196,0.0022496154993916855
isruc_s1,AFTER,N2,421,0.004832082271652549
isruc_s1,AFTER,N3,131,0.0015035695429607694
isruc_s1,AFTER,REM,123,0.001411748502169272
isruc_s1,AFTER,Wake,122,0.001400270872070335
isruc_s1,AFTER,N1,175,0.002008585267314005
isruc_s1,AFTER,N2,217,0.002490645731469366
isruc_s1,AFTER,N3,277,0.0031793035374055967
isruc_s1,AFTER,REM,151,0.0017331221449395128
isruc_s1,AFTER,Wake,169,0.001939719486720382
isruc_s1,AFTER,N1,89,0.0010215090788054083
isruc_s1,AFTER,N2,292,0.003351467988889654
isruc_s1,AFTER,N3,233,0.002674287813052361
isruc_s1,AFTER,REM,133,0.0015265248031586438
isruc_s1,AFTER,Wake,202,0.0023184812799853086
isruc_s1,AFTER,N1,103,0.0011821959001905287
isruc_s1,AFTER,N2,249,0.0028579298946353558
isruc_s1,AFTER,N3,221,0.002536556251865115
isruc_s1,AFTER,REM,77,0.0008837775176181622
isruc_s1,AFTER,Wake,87,0.0009985538186075339
isruc_s1,AFTER,N1,116,0.001331405091476712
isruc_s1,AFTER,N2,320,0.003672841631659895
isruc_s1,AFTER,N3,216,0.002479168101370429
isruc_s1,AFTER,REM,125,0.0014347037623671465
isruc_s1,AFTER,Wake,217,0.002490645731469366
isruc_s1,AFTER,N1,154,0.0017675550352363244
isruc_s1,AFTER,N2,317,0.0036384087413630834
isruc_s1,AFTER,N3,101,0.0011592406399926543
isruc_s1,AFTER,REM,81,0.0009296880380139109
isruc_s1,AFTER,Wake,212,0.0024332575809746806
isruc_s1,AFTER,N1,245,0.002812019374239607
isruc_s1,AFTER,N2,171,0.001962674746918256
isruc_s1,AFTER,N3,179,0.0020544957877097537
isruc_s1,AFTER,REM,85,0.0009755985584096596
isruc_s1,AFTER,Wake,98,0.0011248077496958428
isruc_s1,AFTER,N1,50,0.0005738815049468586
isruc_s1,AFTER,N2,225,0.0025824667722608636
isruc_s1,AFTER,N3,417,0.0047861717512568
isruc_s1,AFTER,REM,134,0.001538002433257581
isruc_s1,AFTER,Wake,258,0.00296122856552579
isruc_s1,AFTER,N1,152,0.00174459977503845
isruc_s1,AFTER,N2,198,0.00227257075958956
isruc_s1,AFTER,N3,147,0.0016872116245437642
isruc_s1,AFTER,REM,90,0.0010329867089043454
isruc_s1,AFTER,Wake,77,0.0008837775176181622
isruc_s1,AFTER,N1,132,0.0015150471730597066
isruc_s1,AFTER,N2,279,0.003202258797603471
isruc_s1,AFTER,N3,193,0.002215182609094874
isruc_s1,AFTER,REM,181,0.002077451047907628
isruc_s1,AFTER,Wake,130,0.0014920919128618322
isruc_s1,AFTER,N1,159,0.0018249431857310103
isruc_s1,AFTER,N2,335,0.0038450060831439524
isruc_s1,AFTER,N3,193,0.002215182609094874
isruc_s1,AFTER,REM,139,0.001595390583752267
isruc_s1,AFTER,Wake,33,0.00037876179326492665
isruc_s1,AFTER,N1,27,0.0003098960126713036
isruc_s1,AFTER,N2,223,0.0025595115120629892
isruc_s1,AFTER,N3,298,0.0034203337694832772
isruc_s1,AFTER,REM,234,0.0026857654431512983
isruc_s1,AFTER,Wake,259,0.0029727061956247272
isruc_s1,AFTER,N1,199,0.002284048389688497
isruc_s1,AFTER,N2,248,0.0028464522645364186
isruc_s1,AFTER,N3,76,0.000872299887519225
isruc_s1,AFTER,REM,111,0.001274016940982026
isruc_s1,AFTER,Wake,109,0.0012510616807841516
isruc_s1,AFTER,N1,165,0.0018938089663246332
isruc_s1,AFTER,N2,382,0.004384454697793999
isruc_s1,AFTER,N3,81,0.0009296880380139109
isruc_s1,AFTER,REM,92,0.0010559419691022198
isruc_s1,AFTER,Wake,277,0.0031793035374055967
isruc_s1,AFTER,N1,115,0.0013199274613777748
isruc_s1,AFTER,N2,224,0.0025709891421619264
isruc_s1,AFTER,N3,135,0.0015494800633565182
isruc_s1,AFTER,REM,121,0.0013887932419713977
isruc_s1,AFTER,Wake,223,0.0025595115120629892
isruc_s1,AFTER,N1,177,0.0020315405275118793
isruc_s1,AFTER,N2,319,0.003661364001560958
isruc_s1,AFTER,N3,167,0.0019167642265225076
isruc_s1,AFTER,REM,111,0.001274016940982026
isruc_s1,AFTER,Wake,371,0.0042582007667056904
isruc_s1,AFTER,N1,85,0.0009755985584096596
isruc_s1,AFTER,N2,275,0.0031563482772077223
isruc_s1,AFTER,N3,81,0.0009296880380139109
isruc_s1,AFTER,REM,81,0.0009296880380139109
isruc_s1,AFTER,Wake,254,0.0029153180451300417
isruc_s1,AFTER,N1,165,0.0018938089663246332
isruc_s1,AFTER,N2,234,0.0026857654431512983
isruc_s1,AFTER,N3,168,0.0019282418566214448
isruc_s1,AFTER,REM,77,0.0008837775176181622
isruc_s1,AFTER,Wake,34,0.00039023942336386384
isruc_s1,AFTER,N1,41,0.000470582834056424
isruc_s1,AFTER,N2,457,0.005245276955214287
isruc_s1,AFTER,N3,188,0.0021577944586001884
isruc_s1,AFTER,REM,130,0.0014920919128618322
isruc_s1,AFTER,Wake,82,0.000941165668112848
isruc_s1,AFTER,N1,149,0.0017101668847416386
isruc_s1,AFTER,N2,352,0.004040125794825884
isruc_s1,AFTER,N3,168,0.0019282418566214448
isruc_s1,AFTER,REM,54,0.0006197920253426072
isruc_s1,AFTER,Wake,234,0.0026857654431512983
isruc_s1,AFTER,N1,69,0.0007919564768266649
isruc_s1,AFTER,N2,252,0.0028923627849321673
isruc_s1,AFTER,N3,205,0.0023529141702821202
isruc_s1,AFTER,REM,134,0.001538002433257581
isruc_s1,AFTER,Wake,58,0.000665702545738356
isruc_s1,AFTER,N1,151,0.0017331221449395128
isruc_s1,AFTER,N2,377,0.004327066547299314
isruc_s1,AFTER,N3,150,0.0017216445148405758
isruc_s1,AFTER,REM,144,0.0016527787342469527
isruc_s1,AFTER,Wake,119,0.0013658379817735233
isruc_s1,AFTER,N1,171,0.001962674746918256
isruc_s1,AFTER,N2,362,0.004154902095815256
isruc_s1,AFTER,N3,179,0.0020544957877097537
isruc_s1,AFTER,REM,58,0.000665702545738356
isruc_s1,AFTER,Wake,367,0.004212290246309942
isruc_s1,AFTER,N1,96,0.0011018524894979684
isruc_s1,AFTER,N2,208,0.002387347060578932
isruc_s1,AFTER,N3,187,0.0021463168285012512
isruc_s1,AFTER,REM,53,0.0006083143952436701
isruc_s1,AFTER,Wake,162,0.0018593760760278219
isruc_s1,AFTER,N1,111,0.001274016940982026
isruc_s1,AFTER,N2,282,0.003236691687900282
isruc_s1,AFTER,N3,205,0.0023529141702821202
isruc_s1,AFTER,REM,122,0.001400270872070335
isruc_s1,AFTER,Wake,227,0.002605422032458738
isruc_s1,AFTER,N1,93,0.001067419599201157
isruc_s1,AFTER,N2,350,0.00401717053462801
isruc_s1,AFTER,N3,115,0.0013199274613777748
isruc_s1,AFTER,REM,140,0.001606868213851204
isruc_s1,AFTER,Wake,121,0.0013887932419713977
isruc_s1,AFTER,N1,56,0.0006427472855404816
isruc_s1,AFTER,N2,292,0.003351467988889654
isruc_s1,AFTER,N3,345,0.003959782384133324
isruc_s1,AFTER,REM,149,0.0017101668847416386
isruc_s1,AFTER,Wake,130,0.0014920919128618322
isruc_s1,AFTER,N1,85,0.0009755985584096596
isruc_s1,AFTER,N2,358,0.004108991575419507
isruc_s1,AFTER,N3,196,0.0022496154993916855
isruc_s1,AFTER,REM,127,0.0014576590225650209
isruc_s1,AFTER,Wake,180,0.002065973417808691
isruc_s1,AFTER,N1,137,0.0015724353235543925
isruc_s1,AFTER,N2,390,0.004476275738585497
isruc_s1,AFTER,N3,128,0.001469136652663958
isruc_s1,AFTER,REM,129,0.001480614282762895
isruc_s1,AFTER,Wake,180,0.002065973417808691
isruc_s1,AFTER,N1,64,0.000734568326331979
isruc_s1,AFTER,N2,344,0.003948304754034387
isruc_s1,AFTER,N3,180,0.002065973417808691
isruc_s1,AFTER,REM,158,0.0018134655556320731
isruc_s1,AFTER,Wake,203,0.002329958910084246
isruc_s1,AFTER,N1,123,0.001411748502169272
isruc_s1,AFTER,N2,354,0.004063081055023759
isruc_s1,AFTER,N3,255,0.002926795675228979
isruc_s1,AFTER,REM,8,9.182104079149738e-05
isruc_s1,AFTER,Wake,333,0.003822050822946078
isruc_s1,AFTER,N1,87,0.0009985538186075339
isruc_s1,AFTER,N2,269,0.003087482496614099
isruc_s1,AFTER,N3,172,0.0019741523770171934
isruc_s1,AFTER,REM,91,0.0010444643390032826
isruc_s1,AFTER,Wake,59,0.0006771801758372931
isruc_s1,AFTER,N1,167,0.0019167642265225076
isruc_s1,AFTER,N2,408,0.004682873080366366
isruc_s1,AFTER,N3,197,0.0022610931294906227
isruc_s1,AFTER,REM,102,0.0011707182700915915
isruc_s1,AFTER,Wake,143,0.0016413011041480155
isruc_s1,AFTER,N1,124,0.0014232261322682093
isruc_s1,AFTER,N2,352,0.004040125794825884
isruc_s1,AFTER,N3,177,0.0020315405275118793
isruc_s1,AFTER,REM,194,0.002226660239193811
isruc_s1,AFTER,Wake,93,0.001067419599201157
isruc_s1,AFTER,N1,54,0.0006197920253426072
isruc_s1,AFTER,N2,375,0.004304111287101439
isruc_s1,AFTER,N3,209,0.002398824690677869
isruc_s1,AFTER,REM,73,0.0008378669972224135
isruc_s1,AFTER,Wake,56,0.0006427472855404816
isruc_s1,AFTER,N1,152,0.00174459977503845
isruc_s1,AFTER,N2,372,0.004269678396804628
isruc_s1,AFTER,N3,158,0.0018134655556320731
isruc_s1,AFTER,REM,132,0.0015150471730597066
isruc_s1,AFTER,Wake,215,0.0024676904712714917
isruc_s1,AFTER,N1,75,0.0008608222574202879
isruc_s1,AFTER,N2,308,0.0035351100704726487
isruc_s1,AFTER,N3,129,0.001480614282762895
isruc_s1,AFTER,REM,119,0.0013658379817735233
isruc_s1,AFTER,Wake,152,0.00174459977503845
isruc_s1,AFTER,N1,176,0.002020062897412942
isruc_s1,AFTER,N2,245,0.002812019374239607
isruc_s1,AFTER,N3,132,0.0015150471730597066
isruc_s1,AFTER,REM,160,0.0018364208158299475
isruc_s1,AFTER,Wake,148,0.0016986892546427014
isruc_s1,AFTER,N1,58,0.000665702545738356
isruc_s1,AFTER,N2,317,0.0036384087413630834
isruc_s1,AFTER,N3,199,0.002284048389688497
isruc_s1,AFTER,REM,136,0.0015609576934554554
isruc_s1,AFTER,Wake,199,0.002284048389688497
isruc_s1,AFTER,N1,92,0.0010559419691022198
isruc_s1,AFTER,N2,212,0.0024332575809746806
isruc_s1,AFTER,N3,261,0.0029956614558226016
isruc_s1,AFTER,REM,148,0.0016986892546427014
isruc_s1,AFTER,Wake,142,0.0016298234740490783
isruc_s1,AFTER,N1,147,0.0016872116245437642
isruc_s1,AFTER,N2,333,0.003822050822946078
isruc_s1,AFTER,N3,141,0.001618345843950141
isruc_s1,AFTER,REM,136,0.0015609576934554554
isruc_s1,AFTER,Wake,64,0.000734568326331979
isruc_s1,AFTER,N1,20,0.00022955260197874344
isruc_s1,AFTER,N2,327,0.003753185042352455
isruc_s1,AFTER,N3,229,0.0026283772926566124
isruc_s1,AFTER,REM,195,0.0022381378692927483
isruc_s1,AFTER,Wake,77,0.0008837775176181622
isruc_s1,AFTER,N1,151,0.0017331221449395128
isruc_s1,AFTER,N2,329,0.0037761403025503293
isruc_s1,AFTER,N3,173,0.0019856300071161305
isruc_s1,AFTER,REM,131,0.0015035695429607694
isruc_s1,BEFORE,Wake,264,0.0029559297742744535
isruc_s1,BEFORE,N1,73,0.0008173593694016482
isruc_s1,BEFORE,N2,194,0.0021721605159441063
isruc_s1,BEFORE,N3,231,0.002586438552490147
isruc_s1,BEFORE,REM,118,0.0013212110354711573
isruc_s1,BEFORE,Wake,245,0.0027431924041562165
isruc_s1,BEFORE,N1,115,0.0012876209243998567
isruc_s1,BEFORE,N2,345,0.0038628627731995702
isruc_s1,BEFORE,N3,157,0.0017578824793980652
isruc_s1,BEFORE,REM,102,0.0011420637764242207
isruc_s1,BEFORE,Wake,132,0.0014779648871372268
isruc_s1,BEFORE,N1,165,0.0018474561089215334
isruc_s1,BEFORE,N2,246,0.00275438910784665
isruc_s1,BEFORE,N3,173,0.0019370297384450018
isruc_s1,BEFORE,REM,227,0.002541651737728413
isruc_s1,BEFORE,Wake,28,0.00031350770333213904
isruc_s1,BEFORE,N1,65,0.0007277857398781799
isruc_s1,BEFORE,N2,426,0.0047697957721246865
isruc_s1,BEFORE,N3,214,0.0023960945897527767
isruc_s1,BEFORE,REM,230,0.0025752418487997135
isruc_s1,BEFORE,Wake,296,0.0033142242923683268
isruc_s1,BEFORE,N1,108,0.001209243998566822
isruc_s1,BEFORE,N2,265,0.0029671264779648873
isruc_s1,BEFORE,N3,164,0.0018362594052311
isruc_s1,BEFORE,REM,42,0.00047026155499820855
