dataset,phase,Wake,N1,N2,N3,REM,total_epochs,Wake_fraction
sleep_edf_sc,BEFORE,1926,42,459,128,195,2750,0.7003636363636364
sleep_edf_sc,AFTER,179,42,459,128,195,1003,0.17846460618145563
sleep_edf_sc,BEFORE,1915,21,328,215,262,2741,0.6986501276906238
sleep_edf_sc,AFTER,176,21,328,215,262,1002,0.17564870259481039
sleep_edf_sc,BEFORE,1636,44,687,188,165,2720,0.6014705882352941
sleep_edf_sc,AFTER,689,44,687,188,165,1773,0.38860688099266777
sleep_edf_sc,BEFORE,1930,29,388,291,118,2756,0.7002902757619739
sleep_edf_sc,AFTER,138,29,388,291,118,964,0.14315352697095435
sleep_edf_sc,BEFORE,2069,151,290,216,116,2842,0.7280084447572133
sleep_edf_sc,AFTER,147,151,290,216,116,920,0.15978260869565217
sleep_edf_sc,BEFORE,1427,118,833,110,286,2774,0.5144196106705119
sleep_edf_sc,AFTER,188,118,833,110,286,1535,0.12247557003257328
sleep_edf_sc,BEFORE,1707,72,434,60,332,2605,0.655278310940499
sleep_edf_sc,AFTER,376,72,434,60,332,1274,0.29513343799058084
sleep_edf_sc,BEFORE,2044,39,539,4,177,2803,0.7292186942561542
sleep_edf_sc,AFTER,263,39,539,4,177,1022,0.2573385518590998
sleep_edf_sc,BEFORE,1864,120,479,0,207,2670,0.69812734082397
sleep_edf_sc,AFTER,215,120,479,0,207,1021,0.21057786483839372
sleep_edf_sc,BEFORE,1972,106,527,49,151,2805,0.703030303030303
sleep_edf_sc,AFTER,745,106,527,49,151,1578,0.4721166032953105
sleep_edf_sc,BEFORE,2075,87,402,43,87,2694,0.7702301410541945
sleep_edf_sc,AFTER,189,87,402,43,87,808,0.23391089108910892
sleep_edf_sc,BEFORE,1774,221,461,62,182,2700,0.6570370370370371
sleep_edf_sc,AFTER,173,221,461,62,182,1099,0.15741583257506825
sleep_edf_sc,BEFORE,1819,90,497,134,220,2760,0.6590579710144927
sleep_edf_sc,AFTER,167,90,497,134,220,1108,0.15072202166064982
sleep_edf_sc,BEFORE,1966,139,414,12,212,2743,0.7167335034633613
sleep_edf_sc,AFTER,127,139,414,12,212,904,0.1404867256637168
sleep_edf_sc,BEFORE,1822,382,213,1,217,2635,0.6914611005692599
sleep_edf_sc,AFTER,916,382,213,1,217,1729,0.529786003470214
sleep_edf_sc,BEFORE,1873,85,514,44,184,2700,0.6937037037037037
sleep_edf_sc,AFTER,846,85,514,44,184,1673,0.5056784219964137
sleep_edf_sc,BEFORE,1879,94,556,5,176,2710,0.6933579335793358
sleep_edf_sc,AFTER,944,94,556,5,176,1775,0.5318309859154929
sleep_edf_sc,BEFORE,1921,102,569,22,146,2760,0.6960144927536231
sleep_edf_sc,AFTER,133,102,569,22,146,972,0.1368312757201646
sleep_edf_sc,BEFORE,1855,113,425,98,174,2665,0.6960600375234521
sleep_edf_sc,AFTER,210,113,425,98,174,1020,0.20588235294117646
sleep_edf_sc,BEFORE,1830,245,405,94,226,2800,0.6535714285714286
sleep_edf_sc,AFTER,627,245,405,94,226,1597,0.3926111458985598
sleep_edf_sc,BEFORE,1907,77,464,79,193,2720,0.7011029411764705
sleep_edf_sc,AFTER,167,77,464,79,193,980,0.1704081632653061
sleep_edf_sc,BEFORE,1556,72,475,163,174,2440,0.6377049180327868
sleep_edf_sc,AFTER,168,72,475,163,174,1052,0.1596958174904943
sleep_edf_sc,BEFORE,2003,87,379,178,223,2870,0.6979094076655052
sleep_edf_sc,AFTER,223,87,379,178,223,1090,0.20458715596330276
sleep_edf_sc,BEFORE,1854,76,530,159,169,2788,0.6649928263988523
sleep_edf_sc,AFTER,193,76,530,159,169,1127,0.17125110913930788
sleep_edf_sc,BEFORE,1948,81,474,145,166,2814,0.6922530206112296
sleep_edf_sc,AFTER,204,81,474,145,166,1070,0.19065420560747665
sleep_edf_sc,BEFORE,1869,181,427,104,175,2756,0.6781567489114659
sleep_edf_sc,AFTER,244,181,427,104,175,1131,0.21573828470380194
sleep_edf_sc,BEFORE,1935,49,457,146,220,2807,0.6893480584253652
sleep_edf_sc,AFTER,733,49,457,146,220,1605,0.45669781931464176
sleep_edf_sc,BEFORE,1926,109,457,30,122,2644,0.7284417549167927
sleep_edf_sc,AFTER,211,109,457,30,122,929,0.2271259418729817
sleep_edf_sc,BEFORE,2127,96,418,32,135,2808,0.7574786324786325
sleep_edf_sc,AFTER,173,96,418,32,135,854,0.202576112412178
sleep_edf_sc,BEFORE,1974,79,362,113,142,2670,0.7393258426966293
sleep_edf_sc,AFTER,358,79,362,113,142,1054,0.3396584440227704
sleep_edf_sc,BEFORE,1832,152,334,191,191,2700,0.6785185185185185
sleep_edf_sc,AFTER,313,152,334,191,191,1181,0.26502963590177814
sleep_edf_sc,BEFORE,1775,204,424,0,286,2689,0.6600966902194124
sleep_edf_sc,AFTER,646,204,424,0,286,1560,0.41410256410256413
sleep_edf_sc,BEFORE,1755,144,475,1,241,2616,0.6708715596330275
sleep_edf_sc,AFTER,160,144,475,1,241,1021,0.15670910871694418
sleep_edf_sc,BEFORE,1976,212,453,0,168,2809,0.7034531861872553
sleep_edf_sc,AFTER,1055,212,453,0,168,1888,0.558792372881356
sleep_edf_sc,BEFORE,1881,91,648,0,138,2758,0.6820159535895577
sleep_edf_sc,AFTER,435,91,648,0,138,1312,0.3315548780487805
sleep_edf_sc,BEFORE,1867,150,561,0,172,2750,0.6789090909090909
sleep_edf_sc,AFTER,618,150,561,0,172,1501,0.4117255163224517
sleep_edf_sc,BEFORE,1892,136,596,0,166,2790,0.6781362007168459
sleep_edf_sc,AFTER,684,136,596,0,166,1582,0.43236409608091025
sleep_edf_sc,BEFORE,2085,78,419,104,24,2710,0.7693726937269373
sleep_edf_sc,AFTER,351,78,419,104,24,976,0.35963114754098363
sleep_edf_sc,BEFORE,1789,66,498,105,72,2530,0.7071146245059289
sleep_edf_sc,AFTER,222,66,498,105,72,963,0.23052959501557632
sleep_edf_sc,BEFORE,1598,53,499,48,68,2266,0.705207413945278
sleep_edf_sc,AFTER,156,53,499,48,68,824,0.18932038834951456
sleep_edf_sc,BEFORE,2076,234,484,11,45,2850,0.728421052631579
sleep_edf_sc,AFTER,144,234,484,11,45,918,0.1568627450980392
sleep_edf_sc,BEFORE,2013,282,433,6,106,2840,0.7088028169014085
sleep_edf_sc,AFTER,682,282,433,6,106,1509,0.45195493704440026
sleep_edf_sc,BEFORE,1867,95,612,16,160,2750,0.6789090909090909
sleep_edf_sc,AFTER,893,95,612,16,160,1776,0.5028153153153153
sleep_edf_sc,BEFORE,1878,103,583,37,169,2770,0.6779783393501805
sleep_edf_sc,AFTER,979,103,583,37,169,1871,0.5232495991448424
sleep_edf_sc,BEFORE,1976,163,377,4,110,2630,0.7513307984790875
sleep_edf_sc,AFTER,410,163,377,4,110,1064,0.38533834586466165
sleep_edf_sc,BEFORE,1927,92,375,142,254,2790,0.6906810035842293
sleep_edf_sc,AFTER,209,92,375,142,254,1072,0.19496268656716417
sleep_edf_sc,BEFORE,1831,145,502,46,204,2728,0.6711876832844574
sleep_edf_sc,AFTER,181,145,502,46,204,1078,0.1679035250463822
sleep_edf_sc,BEFORE,2019,64,356,226,100,2765,0.7301989150090415
sleep_edf_sc,AFTER,178,64,356,226,100,924,0.19264069264069264
sleep_edf_sc,BEFORE,2126,34,283,163,158,2764,0.7691751085383502
sleep_edf_sc,AFTER,147,34,283,163,158,785,0.18726114649681527
sleep_edf_sc,BEFORE,2013,159,298,124,88,2682,0.7505592841163311
sleep_edf_sc,AFTER,215,159,298,124,88,884,0.24321266968325791
sleep_edf_sc,BEFORE,2166,63,331,82,81,2723,0.7954461990451708
sleep_edf_sc,AFTER,142,63,331,82,81,699,0.20314735336194564
sleep_edf_sc,BEFORE,1968,41,430,144,197,2780,0.7079136690647482
sleep_edf_sc,AFTER,150,41,430,144,197,962,0.15592515592515593
sleep_edf_sc,BEFORE,1841,183,405,91,100,2620,0.7026717557251908
sleep_edf_sc,AFTER,416,183,405,91,100,1195,0.34811715481171546
sleep_edf_sc,BEFORE,1968,92,530,92,96,2778,0.7084233261339092
sleep_edf_sc,AFTER,282,92,530,92,96,1092,0.25824175824175827
sleep_edf_sc,BEFORE,1851,235,258,307,139,2790,0.6634408602150538
sleep_edf_sc,AFTER,269,235,258,307,139,1208,0.222682119205298
sleep_edf_sc,BEFORE,1695,162,358,267,188,2670,0.6348314606741573
sleep_edf_sc,AFTER,191,162,358,267,188,1166,0.16380789022298456
sleep_edf_sc,BEFORE,1908,118,484,9,176,2695,0.7079777365491651
sleep_edf_sc,AFTER,196,118,484,9,176,983,0.19938962360122076
sleep_edf_sc,BEFORE,1979,198,472,19,186,2854,0.6934127540294324
sleep_edf_sc,AFTER,147,198,472,19,186,1022,0.14383561643835616
sleep_edf_sc,BEFORE,1917,78,349,275,120,2739,0.6998904709748083
sleep_edf_sc,AFTER,365,78,349,275,120,1187,0.3074978938500421
sleep_edf_sc,BEFORE,2065,161,299,144,120,2789,0.740408748655432
sleep_edf_sc,AFTER,1437,161,299,144,120,2161,0.6649699213327164
sleep_edf_sc,BEFORE,1779,299,471,95,236,2880,0.6177083333333333
sleep_edf_sc,AFTER,926,299,471,95,236,2027,0.4568327577701036
sleep_edf_sc,BEFORE,1938,146,520,116,160,2880,0.6729166666666667
sleep_edf_sc,AFTER,968,146,520,116,160,1910,0.506806282722513
sleep_edf_sc,BEFORE,1909,149,512,14,216,2800,0.6817857142857143
sleep_edf_sc,AFTER,210,149,512,14,216,1101,0.1907356948228883
sleep_edf_sc,BEFORE,1402,157,416,27,133,2135,0.6566744730679157
sleep_edf_sc,AFTER,307,157,416,27,133,1040,0.2951923076923077
sleep_edf_sc,BEFORE,1963,190,402,2,193,2750,0.7138181818181818
sleep_edf_sc,AFTER,539,190,402,2,193,1326,0.40648567119155354
sleep_edf_sc,BEFORE,1966,78,493,42,191,2770,0.7097472924187725
sleep_edf_sc,AFTER,299,78,493,42,191,1103,0.27107887579329104
sleep_edf_sc,BEFORE,1776,409,398,3,126,2712,0.6548672566371682
sleep_edf_sc,AFTER,151,409,398,3,126,1087,0.1389144434222631
sleep_edf_sc,BEFORE,2022,179,435,2,112,2750,0.7352727272727273
sleep_edf_sc,AFTER,226,179,435,2,112,954,0.23689727463312368
sleep_edf_sc,BEFORE,2060,89,530,11,84,2774,0.7426099495313626
sleep_edf_sc,AFTER,283,89,530,11,84,997,0.283851554663992
sleep_edf_sc,BEFORE,1748,124,465,85,180,2602,0.6717909300538047
sleep_edf_sc,AFTER,242,124,465,85,180,1096,0.2208029197080292
sleep_edf_sc,BEFORE,1863,147,543,21,170,2744,0.6789358600583091
sleep_edf_sc,AFTER,175,147,543,21,170,1056,0.16571969696969696
sleep_edf_sc,BEFORE,1843,199,557,5,135,2739,0.6728733114275283
sleep_edf_sc,AFTER,820,199,557,5,135,1716,0.47785547785547783
sleep_edf_sc,BEFORE,1813,208,461,78,120,2680,0.6764925373134328
sleep_edf_sc,AFTER,281,208,461,78,120,1148,0.24477351916376305
sleep_edf_sc,BEFORE,2039,91,487,48,107,2772,0.7355699855699855
sleep_edf_sc,AFTER,314,91,487,48,107,1047,0.29990448901623684
sleep_edf_sc,BEFORE,2054,115,395,1,245,2810,0.7309608540925266
sleep_edf_sc,AFTER,334,115,395,1,245,1090,0.30642201834862387
sleep_edf_sc,BEFORE,1746,521,272,50,113,2702,0.6461880088823094
sleep_edf_sc,AFTER,281,521,272,50,113,1237,0.22716248989490703
sleep_edf_sc,BEFORE,1935,365,335,28,137,2800,0.6910714285714286
sleep_edf_sc,AFTER,283,365,335,28,137,1148,0.2465156794425087
sleep_edf_sc,BEFORE,1887,186,513,0,250,2836,0.6653737658674189
sleep_edf_sc,AFTER,278,186,513,0,250,1227,0.2265688671556642
sleep_edf_sc,BEFORE,1953,104,569,29,218,2873,0.6797772363383223
sleep_edf_sc,AFTER,175,104,569,29,218,1095,0.1598173515981735
sleep_edf_sc,BEFORE,1837,152,578,10,161,2738,0.670927684441198
sleep_edf_sc,AFTER,194,152,578,10,161,1095,0.1771689497716895
sleep_edf_sc,BEFORE,1804,195,543,6,86,2634,0.6848899012908124
sleep_edf_sc,AFTER,345,195,543,6,86,1175,0.2936170212765957
sleep_edf_sc,BEFORE,1842,199,363,157,258,2819,0.6534231997162114
sleep_edf_sc,AFTER,863,199,363,157,258,1840,0.46902173913043477
sleep_edf_sc,BEFORE,1313,194,277,101,155,2040,0.6436274509803922
sleep_edf_sc,AFTER,504,194,277,101,155,1231,0.40942323314378554
sleep_edf_sc,BEFORE,1982,38,252,288,170,2730,0.726007326007326
sleep_edf_sc,AFTER,601,38,252,288,170,1349,0.44551519644180876
sleep_edf_sc,BEFORE,1868,223,264,196,249,2800,0.6671428571428571
sleep_edf_sc,AFTER,1111,223,264,196,249,2043,0.5438081253059227
sleep_edf_sc,BEFORE,1707,123,276,139,399,2644,0.6456127080181543
sleep_edf_sc,AFTER,715,123,276,139,399,1652,0.4328087167070218
sleep_edf_sc,BEFORE,1876,96,479,65,214,2730,0.6871794871794872
sleep_edf_sc,AFTER,208,96,479,65,214,1062,0.1958568738229755
sleep_edf_sc,BEFORE,1499,276,745,14,78,2612,0.5738897396630934
sleep_edf_sc,AFTER,332,276,745,14,78,1445,0.22975778546712802
sleep_edf_sc,BEFORE,1959,347,431,4,115,2856,0.6859243697478992
sleep_edf_sc,AFTER,926,347,431,4,115,1823,0.507953922106418
sleep_edf_sc,BEFORE,1987,131,481,39,120,2758,0.720449601160261
sleep_edf_sc,AFTER,292,131,481,39,120,1063,0.27469426152398874
sleep_edf_sc,BEFORE,1965,157,558,28,140,2848,0.6899578651685393
sleep_edf_sc,AFTER,224,157,558,28,140,1107,0.2023486901535682
sleep_edf_sc,BEFORE,2041,179,382,0,78,2680,0.7615671641791045
sleep_edf_sc,AFTER,632,179,382,0,78,1271,0.4972462627852085
sleep_edf_sc,BEFORE,1902,243,518,0,127,2790,0.6817204301075269
sleep_edf_sc,AFTER,1161,243,518,0,127,2049,0.5666178623718887
sleep_edf_sc,BEFORE,1640,100,821,140,159,2860,0.5734265734265734
sleep_edf_sc,AFTER,1424,100,821,140,159,2644,0.5385779122541604
sleep_edf_sc,BEFORE,1774,204,463,186,211,2838,0.6250880902043693
sleep_edf_sc,AFTER,865,204,463,186,211,1929,0.44841886988076723
sleep_edf_sc,BEFORE,1717,375,422,40,110,2664,0.6445195195195195
sleep_edf_sc,AFTER,1079,375,422,40,110,2026,0.5325765054294176
sleep_edf_sc,BEFORE,1843,235,414,78,250,2820,0.6535460992907801
sleep_edf_sc,AFTER,1017,235,414,78,250,1994,0.5100300902708125
sleep_edf_sc,BEFORE,1751,356,507,17,149,2780,0.6298561151079136
sleep_edf_sc,AFTER,939,356,507,17,149,1968,0.4771341463414634
sleep_edf_sc,BEFORE,1904,213,339,29,95,2580,0.737984496124031
sleep_edf_sc,AFTER,345,213,339,29,95,1021,0.3379040156709109
sleep_edf_sc,BEFORE,1698,143,698,35,105,2679,0.6338185890257558
sleep_edf_sc,AFTER,736,143,698,35,105,1717,0.42865463016889926
sleep_edf_sc,BEFORE,1816,233,444,33,98,2624,0.6920731707317073
sleep_edf_sc,AFTER,707,233,444,33,98,1515,0.4666666666666667
sleep_edf_sc,BEFORE,1769,234,605,4,118,2730,0.647985347985348
sleep_edf_sc,AFTER,452,234,605,4,118,1413,0.3198867657466384
sleep_edf_sc,BEFORE,2009,230,446,0,135,2820,0.7124113475177305
sleep_edf_sc,AFTER,430,230,446,0,135,1241,0.34649476228847703
sleep_edf_sc,BEFORE,1568,259,341,0,174,2342,0.6695132365499573
sleep_edf_sc,AFTER,257,259,341,0,174,1031,0.2492725509214355
sleep_edf_sc,BEFORE,1926,240,444,0,136,2746,0.7013838310269482
sleep_edf_sc,AFTER,310,240,444,0,136,1130,0.2743362831858407
sleep_edf_sc,BEFORE,1953,222,470,0,135,2780,0.7025179856115108
sleep_edf_sc,AFTER,1840,222,470,0,135,2667,0.6899137607799025
sleep_edf_sc,BEFORE,1550,470,363,0,136,2519,0.6153235410877332
sleep_edf_sc,AFTER,1349,470,363,0,136,2318,0.5819672131147541
sleep_edf_sc,BEFORE,1708,158,610,0,213,2689,0.6351803644477501
sleep_edf_sc,AFTER,1229,158,610,0,213,2210,0.5561085972850679
sleep_edf_sc,BEFORE,1895,207,340,0,208,2650,0.7150943396226415
sleep_edf_sc,AFTER,308,207,340,0,208,1063,0.28974600188146754
sleep_edf_sc,BEFORE,2064,102,467,0,47,2680,0.7701492537313432
sleep_edf_sc,AFTER,1428,102,467,0,47,2044,0.6986301369863014
sleep_edf_sc,BEFORE,1799,143,436,20,72,2470,0.7283400809716599
sleep_edf_sc,AFTER,378,143,436,20,72,1049,0.3603431839847474
sleep_edf_sc,BEFORE,1996,127,425,27,35,2610,0.7647509578544062
sleep_edf_sc,AFTER,1069,127,425,27,35,1683,0.6351752822341058
sleep_edf_sc,BEFORE,1839,161,268,0,394,2662,0.6908339594290007
sleep_edf_sc,AFTER,1839,161,268,0,394,2662,0.6908339594290007
sleep_edf_sc,BEFORE,1833,348,461,5,109,2756,0.6650943396226415
sleep_edf_sc,AFTER,402,348,461,5,109,1325,0.30339622641509434
sleep_edf_sc,BEFORE,1671,111,240,87,133,2242,0.7453166815343444
sleep_edf_sc,AFTER,753,111,240,87,133,1324,0.5687311178247734
sleep_edf_sc,BEFORE,1821,203,595,13,142,2774,0.6564527757750541
sleep_edf_sc,AFTER,288,203,595,13,142,1241,0.23207091055600323
sleep_edf_sc,BEFORE,1923,204,541,6,136,2810,0.6843416370106762
sleep_edf_sc,AFTER,342,204,541,6,136,1229,0.27827502034174123
sleep_edf_sc,BEFORE,1469,88,528,121,196,2402,0.6115736885928393
sleep_edf_sc,AFTER,360,88,528,121,196,1293,0.27842227378190254
sleep_edf_sc,BEFORE,1689,138,347,102,138,2414,0.6996685998343
sleep_edf_sc,AFTER,458,138,347,102,138,1183,0.3871513102282333
sleep_edf_sc,BEFORE,1858,66,407,162,228,2721,0.6828371922087468
sleep_edf_sc,AFTER,841,66,407,162,228,1704,0.4935446009389671
sleep_edf_sc,BEFORE,1954,121,400,156,179,2810,0.695373665480427
sleep_edf_sc,AFTER,510,121,400,156,179,1366,0.3733528550512445
isruc_s1,BEFORE,132,165,246,173,227,943,0.13997879109225875
isruc_s1,AFTER,132,165,246,173,227,943,0.13997879109225875
isruc_s1,BEFORE,28,63,426,214,230,961,0.029136316337148804
isruc_s1,AFTER,28,63,426,214,230,961,0.029136316337148804
isruc_s1,BEFORE,296,108,265,164,42,875,0.3382857142857143
isruc_s1,AFTER,206,108,265,164,42,785,0.2624203821656051
isruc_s1,BEFORE,722,16,60,99,0,897,0.8049052396878483
isruc_s1,AFTER,124,16,60,99,0,299,0.41471571906354515
isruc_s1,BEFORE,134,171,205,234,189,933,0.14362272240085744
isruc_s1,AFTER,134,171,205,234,189,933,0.14362272240085744
isruc_s1,BEFORE,221,126,281,214,62,904,0.24446902654867256
isruc_s1,AFTER,221,126,281,214,62,904,0.24446902654867256
isruc_s1,BEFORE,150,173,341,159,146,969,0.15479876160990713
isruc_s1,AFTER,150,173,341,159,146,969,0.15479876160990713
isruc_s1,BEFORE,320,90,308,96,28,842,0.38004750593824227
isruc_s1,AFTER,294,90,308,96,28,816,0.3602941176470588
isruc_s1,BEFORE,166,79,149,334,121,849,0.1955241460541814
isruc_s1,AFTER,166,79,149,334,121,849,0.1955241460541814
isruc_s1,BEFORE,193,85,158,181,169,786,0.2455470737913486
isruc_s1,AFTER,188,85,158,181,169,781,0.2407170294494238
isruc_s1,BEFORE,157,154,329,120,123,883,0.17780294450736125
isruc_s1,AFTER,157,154,329,120,123,883,0.17780294450736125
isruc_s1,BEFORE,136,108,438,154,163,999,0.13613613613613615
isruc_s1,AFTER,136,108,438,154,163,999,0.13613613613613615
isruc_s1,BEFORE,306,67,301,107,68,849,0.36042402826855124
isruc_s1,AFTER,227,67,301,107,68,770,0.2948051948051948
isruc_s1,BEFORE,200,85,244,134,167,830,0.24096385542168675
isruc_s1,AFTER,200,85,244,134,167,830,0.24096385542168675
isruc_s1,BEFORE,303,215,208,165,171,1062,0.2853107344632768
isruc_s1,AFTER,303,215,208,165,171,1062,0.2853107344632768
isruc_s1,BEFORE,264,73,194,231,118,880,0.3
isruc_s1,AFTER,264,73,194,231,118,880,0.3
isruc_s1,BEFORE,245,115,345,157,102,964,0.254149377593361
isruc_s1,AFTER,195,115,345,157,102,914,0.21334792122538293
isruc_s1,BEFORE,331,96,274,209,87,997,0.3319959879638917
isruc_s1,AFTER,303,96,274,209,87,969,0.3126934984520124
isruc_s1,BEFORE,651,111,39,64,17,882,0.7380952380952381
isruc_s1,AFTER,493,111,39,64,17,724,0.680939226519337
isruc_s1,BEFORE,460,112,181,104,49,906,0.5077262693156733
isruc_s1,AFTER,380,112,181,104,49,826,0.4600484261501211
isruc_s1,BEFORE,376,159,212,55,49,851,0.4418331374853114
isruc_s1,AFTER,376,159,212,55,49,851,0.4418331374853114
isruc_s1,BEFORE,338,150,191,68,81,828,0.4082125603864734
isruc_s1,AFTER,338,150,191,68,81,828,0.4082125603864734
isruc_s1,BEFORE,271,98,152,309,120,950,0.28526315789473683
isruc_s1,AFTER,271,98,152,309,120,950,0.28526315789473683
isruc_s1,BEFORE,377,137,180,141,219,1054,0.357685009487666
isruc_s1,AFTER,377,137,180,141,219,1054,0.357685009487666
isruc_s1,BEFORE,266,114,312,65,135,892,0.2982062780269058
isruc_s1,AFTER,259,114,312,65,135,885,0.29265536723163843
isruc_s1,BEFORE,136,61,294,134,296,921,0.1476655808903366
isruc_s1,AFTER,136,61,294,134,296,921,0.1476655808903366
isruc_s1,BEFORE,300,57,218,239,104,918,0.32679738562091504
isruc_s1,AFTER,289,57,218,239,104,907,0.31863285556780596
isruc_s1,BEFORE,61,97,174,217,333,882,0.0691609977324263
isruc_s1,AFTER,61,97,174,217,333,882,0.0691609977324263
isruc_s1,BEFORE,241,203,259,174,35,912,0.2642543859649123
isruc_s1,AFTER,241,203,259,174,35,912,0.2642543859649123
isruc_s1,BEFORE,271,124,344,72,71,882,0.3072562358276644
isruc_s1,AFTER,271,124,344,72,71,882,0.3072562358276644
isruc_s1,BEFORE,91,154,401,118,113,877,0.10376282782212087
isruc_s1,AFTER,91,154,401,118,113,877,0.10376282782212087
isruc_s1,BEFORE,52,224,466,130,138,1010,0.05148514851485148
isruc_s1,AFTER,52,224,466,130,138,1010,0.05148514851485148
isruc_s1,BEFORE,454,54,267,90,55,920,0.4934782608695652
isruc_s1,AFTER,244,54,267,90,55,710,0.3436619718309859
isruc_s1,BEFORE,78,163,331,175,124,871,0.08955223880597014
isruc_s1,AFTER,78,163,331,175,124,871,0.08955223880597014
isruc_s1,BEFORE,344,88,173,138,45,788,0.4365482233502538
isruc_s1,AFTER,306,88,173,138,45,750,0.408
