subject,channel_index,existing_parser_label,independent_parser_label,equal,difference_type
I012,18,DC8,DC8,True,NONE
I013,0,E1-M2,E1-M2,True,NONE
I013,1,E2-M1,E2-M1,True,NONE
I013,2,F3-M2,F3-M2,True,NONE
I013,3,C3-M2,C3-M2,True,NONE
I013,4,O1-M2,O1-M2,True,NONE
I013,5,F4-M1,F4-M1,True,NONE
I013,6,C4-M1,C4-M1,True,NONE
I013,7,O2-M1,O2-M1,True,NONE
I013,8,X1,X1,True,NONE
I013,9,X2,X2,True,NONE
I013,10,X3,X3,True,NONE
I013,11,X4,X4,True,NONE
I013,12,X5,X5,True,NONE
I013,13,X6,X6,True,NONE
I013,14,DC4,DC4,True,NONE
I013,15,X7,X7,True,NONE
I013,16,X8,X8,True,NONE
I013,17,SpO2,SpO2,True,NONE
I013,18,DC8,DC8,True,NONE
I014,0,E1-M2,E1-M2,True,NONE
I014,1,E2-M1,E2-M1,True,NONE
I014,2,F3-M2,F3-M2,True,NONE
I014,3,C3-M2,C3-M2,True,NONE
I014,4,O1-M2,O1-M2,True,NONE
I014,5,F4-M1,F4-M1,True,NONE
I014,6,C4-M1,C4-M1,True,NONE
I014,7,O2-M1,O2-M1,True,NONE
I014,8,24,24,True,NONE
I014,9,25,25,True,NONE
I014,10,26,26,True,NONE
I014,11,27,27,True,NONE
I014,12,28,28,True,NONE
I014,13,29,29,True,NONE
I014,14,DC01,DC01,True,NONE
I014,15,30,30,True,NONE
I014,16,31,31,True,NONE
I014,17,SpO2,SpO2,True,NONE
I014,18,DC02,DC02,True,NONE
I015,0,LOC-A2,LOC-A2,True,NONE
I015,1,ROC-A1,ROC-A1,True,NONE
I015,2,F3-A2,F3-A2,True,NONE
I015,3,C3-A2,C3-A2,True,NONE
I015,4,O1-A2,O1-A2,True,NONE
I015,5,F4-A1,F4-A1,True,NONE
I015,6,C4-A1,C4-A1,True,NONE
I015,7,O2-A1,O2-A1,True,NONE
I015,8,X1,X1,True,NONE
I015,9,X2,X2,True,NONE
I015,10,X3,X3,True,NONE
I015,11,X4,X4,True,NONE
I015,12,X5,X5,True,NONE
I015,13,X6,X6,True,NONE
I015,14,DC3,DC3,True,NONE
I015,15,X7,X7,True,NONE
I015,16,X8,X8,True,NONE
I015,17,SaO2,SaO2,True,NONE
I015,18,DC8,DC8,True,NONE
I016,0,LOC-A2,LOC-A2,True,NONE
I016,1,ROC-A1,ROC-A1,True,NONE
I016,2,F3-A2,F3-A2,True,NONE
I016,3,C3-A2,C3-A2,True,NONE
I016,4,O1-A2,O1-A2,True,NONE
I016,5,F4-A1,F4-A1,True,NONE
I016,6,C4-A1,C4-A1,True,NONE
I016,7,O2-A1,O2-A1,True,NONE
I016,8,X1,X1,True,NONE
I016,9,X2,X2,True,NONE
I016,10,X3,X3,True,NONE
I016,11,X4,X4,True,NONE
I016,12,X5,X5,True,NONE
I016,13,X6,X6,True,NONE
I016,14,DC3,DC3,True,NONE
I016,15,X7,X7,True,NONE
I016,16,X8,X8,True,NONE
I016,17,SaO2,SaO2,True,NONE
I016,18,DC8,DC8,True,NONE
I017,0,E1-M2,E1-M2,True,NONE
I017,1,E2-M1,E2-M1,True,NONE
I017,2,F3-M2,F3-M2,True,NONE
I017,3,C3-M2,C3-M2,True,NONE
I017,4,O1-M2,O1-M2,True,NONE
I017,5,F4-M1,F4-M1,True,NONE
I017,6,C4-M1,C4-M1,True,NONE
I017,7,O2-M1,O2-M1,True,NONE
I017,8,24,24,True,NONE
I017,9,25,25,True,NONE
I017,10,26,26,True,NONE
I017,11,27,27,True,NONE
I017,12,28,28,True,NONE
I017,13,29,29,True,NONE
I017,14,DC01,DC01,True,NONE
I017,15,30,30,True,NONE
I017,16,31,31,True,NONE
I017,17,SpO2,SpO2,True,NONE
I017,18,DC02,DC02,True,NONE
I018,0,LOC-A2,LOC-A2,True,NONE
I018,1,ROC-A1,ROC-A1,True,NONE
I018,2,F3-A2,F3-A2,True,NONE
I018,3,C3-A2,C3-A2,True,NONE
I018,4,O1-A2,O1-A2,True,NONE
I018,5,F4-A1,F4-A1,True,NONE
I018,6,C4-A1,C4-A1,True,NONE
I018,7,O2-A1,O2-A1,True,NONE
I018,8,X1,X1,True,NONE
I018,9,X2,X2,True,NONE
I018,10,X3,X3,True,NONE
I018,11,X4,X4,True,NONE
I018,12,X5,X5,True,NONE
I018,13,X6,X6,True,NONE
I018,14,DC3,DC3,True,NONE
I018,15,X7,X7,True,NONE
I018,16,X8,X8,True,NONE
I018,17,SaO2,SaO2,True,NONE
I018,18,DC8,DC8,True,NONE
I019,0,E1-M2,E1-M2,True,NONE
I019,1,E2-M1,E2-M1,True,NONE
I019,2,F3-M2,F3-M2,True,NONE
I019,3,C3-M2,C3-M2,True,NONE
I019,4,O1-M2,O1-M2,True,NONE
I019,5,F4-M1,F4-M1,True,NONE
I019,6,C4-M1,C4-M1,True,NONE
I019,7,O2-M1,O2-M1,True,NONE
I019,8,X1,X1,True,NONE
I019,9,X2,X2,True,NONE
I019,10,X3,X3,True,NONE
I019,11,X4,X4,True,NONE
I019,12,X5,X5,True,NONE
I019,13,X6,X6,True,NONE
I019,14,DC4,DC4,True,NONE
I019,15,X7,X7,True,NONE
I019,16,X8,X8,True,NONE
I019,17,SpO2,SpO2,True,NONE
I019,18,DC8,DC8,True,NONE
I020,0,E1-M2,E1-M2,True,NONE
I020,1,E2-M1,E2-M1,True,NONE
I020,2,F3-M2,F3-M2,True,NONE
I020,3,C3-M2,C3-M2,True,NONE
I020,4,O1-M2,O1-M2,True,NONE
I020,5,F4-M1,F4-M1,True,NONE
I020,6,C4-M1,C4-M1,True,NONE
I020,7,O2-M1,O2-M1,True,NONE
I020,8,X1,X1,True,NONE
I020,9,X2,X2,True,NONE
I020,10,X3,X3,True,NONE
I020,11,X4,X4,True,NONE
I020,12,X5,X5,True,NONE
I020,13,X6,X6,True,NONE
I020,14,DC4,DC4,True,NONE
I020,15,X7,X7,True,NONE
I020,16,X8,X8,True,NONE
I020,17,SpO2,SpO2,True,NONE
I020,18,DC8,DC8,True,NONE
I021,0,E1-M2,E1-M2,True,NONE
I021,1,E2-M1,E2-M1,True,NONE
I021,2,F3-M2,F3-M2,True,NONE
I021,3,C3-M2,C3-M2,True,NONE
I021,4,O1-M2,O1-M2,True,NONE
I021,5,F4-M1,F4-M1,True,NONE
I021,6,C4-M1,C4-M1,True,NONE
I021,7,O2-M1,O2-M1,True,NONE
I021,8,X1,X1,True,NONE
I021,9,X2,X2,True,NONE
I021,10,X3,X3,True,NONE
I021,11,X4,X4,True,NONE
I021,12,X5,X5,True,NONE
I021,13,X6,X6,True,NONE
I021,14,DC4,DC4,True,NONE
I021,15,X7,X7,True,NONE
I021,16,X8,X8,True,NONE
I021,17,SpO2,SpO2,True,NONE
I021,18,DC8,DC8,True,NONE
I022,0,LOC-A2,LOC-A2,True,NONE
I022,1,ROC-A1,ROC-A1,True,NONE
I022,2,F3-A2,F3-A2,True,NONE
I022,3,C3-A2,C3-A2,True,NONE
I022,4,O1-A2,O1-A2,True,NONE
I022,5,F4-A1,F4-A1,True,NONE
I022,6,C4-A1,C4-A1,True,NONE
I022,7,O2-A1,O2-A1,True,NONE
I022,8,X1,X1,True,NONE
I022,9,X2,X2,True,NONE
I022,10,X3,X3,True,NONE
I022,11,X4,X4,True,NONE
I022,12,X5,X5,True,NONE
I022,13,X6,X6,True,NONE
I022,14,DC3,DC3,True,NONE
I022,15,X7,X7,True,NONE
I022,16,X8,X8,True,NONE
I022,17,SaO2,SaO2,True,NONE
I022,18,DC8,DC8,True,NONE
I023,0,E1-M2,E1-M2,True,NONE
I023,1,E2-M1,E2-M1,True,NONE
I023,2,F3-M2,F3-M2,True,NONE
I023,3,C3-M2,C3-M2,True,NONE
I023,4,O1-M2,O1-M2,True,NONE
I023,5,F4-M1,F4-M1,True,NONE
I023,6,C4-M1,C4-M1,True,NONE
I023,7,O2-M1,O2-M1,True,NONE
I023,8,24,24,True,NONE
I023,9,25,25,True,NONE
I023,10,26,26,True,NONE
I023,11,27,27,True,NONE
I023,12,28,28,True,NONE
I023,13,29,29,True,NONE
I023,14,DC01,DC01,True,NONE
I023,15,30,30,True,NONE
I023,16,31,31,True,NONE
I023,17,SpO2,SpO2,True,NONE
I023,18,DC02,DC02,True,NONE
I024,0,LOC-A2,LOC-A2,True,NONE
I024,1,ROC-A1,ROC-A1,True,NONE
I024,2,F3-A2,F3-A2,True,NONE
I024,3,C3-A2,C3-A2,True,NONE
I024,4,O1-A2,O1-A2,True,NONE
I024,5,F4-A1,F4-A1,True,NONE
I024,6,C4-A1,C4-A1,True,NONE
I024,7,O2-A1,O2-A1,True,NONE
I024,8,X1,X1,True,NONE
I024,9,X2,X2,True,NONE
I024,10,X3,X3,True,NONE
I024,11,X4,X4,True,NONE
I024,12,X5,X5,True,NONE
I024,13,X6,X6,True,NONE
I024,14,DC3,DC3,True,NONE
I024,15,X7,X7,True,NONE
I024,16,X8,X8,True,NONE
I024,17,SaO2,SaO2,True,NONE
I024,18,DC8,DC8,True,NONE
I025,0,E1-M2,E1-M2,True,NONE
I025,1,E2-M1,E2-M1,True,NONE
I025,2,F3-M2,F3-M2,True,NONE
I025,3,C3-M2,C3-M2,True,NONE
I025,4,O1-M2,O1-M2,True,NONE
I025,5,F4-M1,F4-M1,True,NONE
I025,6,C4-M1,C4-M1,True,NONE
I025,7,O2-M1,O2-M1,True,NONE
I025,8,24,24,True,NONE
I025,9,25,25,True,NONE
I025,10,26,26,True,NONE
I025,11,27,27,True,NONE
I025,12,28,28,True,NONE
I025,13,29,29,True,NONE
I025,14,DC01,DC01,True,NONE
I025,15,30,30,True,NONE
I025,16,31,31,True,NONE
I025,17,SpO2,SpO2,True,NONE
I025,18,DC02,DC02,True,NONE
I026,0,LOC-A2,LOC-A2,True,NONE
I026,1,ROC-A1,ROC-A1,True,NONE
I026,2,F3-A2,F3-A2,True,NONE
I026,3,C3-A2,C3-A2,True,NONE
I026,4,O1-A2,O1-A2,True,NONE
I026,5,F4-A1,F4-A1,True,NONE
I026,6,C4-A1,C4-A1,True,NONE
I026,7,O2-A1,O2-A1,True,NONE
I026,8,X1,X1,True,NONE
I026,9,X2,X2,True,NONE
I026,10,X3,X3,True,NONE
I026,11,X4,X4,True,NONE
I026,12,X5,X5,True,NONE
I026,13,X6,X6,True,NONE
I026,14,DC3,DC3,True,NONE
I026,15,X7,X7,True,NONE
I026,16,X8,X8,True,NONE
I026,17,SaO2,SaO2,True,NONE
I026,18,DC8,DC8,True,NONE
I027,0,E1-M2,E1-M2,True,NONE
I027,1,E2-M1,E2-M1,True,NONE
I027,2,F3-M2,F3-M2,True,NONE
I027,3,C3-M2,C3-M2,True,NONE
I027,4,O1-M2,O1-M2,True,NONE
I027,5,F4-M1,F4-M1,True,NONE
I027,6,C4-M1,C4-M1,True,NONE
I027,7,O2-M1,O2-M1,True,NONE
I027,8,X1,X1,True,NONE
I027,9,X2,X2,True,NONE
I027,10,X3,X3,True,NONE
I027,11,X4,X4,True,NONE
I027,12,X5,X5,True,NONE
I027,13,X6,X6,True,NONE
I027,14,DC4,DC4,True,NONE
I027,15,X7,X7,True,NONE
I027,16,X8,X8,True,NONE
I027,17,SpO2,SpO2,True,NONE
I027,18,DC8,DC8,True,NONE
I028,0,E1-M2,E1-M2,True,NONE
I028,1,E2-M1,E2-M1,True,NONE
I028,2,F3-M2,F3-M2,True,NONE
I028,3,C3-M2,C3-M2,True,NONE
I028,4,O1-M2,O1-M2,True,NONE
I028,5,F4-M1,F4-M1,True,NONE
I028,6,C4-M1,C4-M1,True,NONE
I028,7,O2-M1,O2-M1,True,NONE
I028,8,X1,X1,True,NONE
I028,9,X2,X2,True,NONE
I028,10,X3,X3,True,NONE
I028,11,X4,X4,True,NONE
I028,12,X5,X5,True,NONE
I028,13,X6,X6,True,NONE
I028,14,DC4,DC4,True,NONE
I028,15,X7,X7,True,NONE
I028,16,X8,X8,True,NONE
I028,17,SpO2,SpO2,True,NONE
I028,18,DC8,DC8,True,NONE
I029,0,E1-M2,E1-M2,True,NONE
I029,1,E2-M1,E2-M1,True,NONE
I029,2,F3-M2,F3-M2,True,NONE
I029,3,C3-M2,C3-M2,True,NONE
I029,4,O1-M2,O1-M2,True,NONE
I029,5,F4-M1,F4-M1,True,NONE
I029,6,C4-M1,C4-M1,True,NONE
I029,7,O2-M1,O2-M1,True,NONE
I029,8,X1,X1,True,NONE
I029,9,X2,X2,True,NONE
I029,10,X3,X3,True,NONE
I029,11,X4,X4,True,NONE
I029,12,X5,X5,True,NONE
I029,13,X6,X6,True,NONE
I029,14,DC4,DC4,True,NONE
I029,15,X7,X7,True,NONE
I029,16,X8,X8,True,NONE
I029,17,SpO2,SpO2,True,NONE
I029,18,DC8,DC8,True,NONE
I030,0,E1-M2,E1-M2,True,NONE
I030,1,E2-M1,E2-M1,True,NONE
I030,2,F3-M2,F3-M2,True,NONE
I030,3,C3-M2,C3-M2,True,NONE
I030,4,O1-M2,O1-M2,True,NONE
I030,5,F4-M1,F4-M1,True,NONE
I030,6,C4-M1,C4-M1,True,NONE
I030,7,O2-M1,O2-M1,True,NONE
I030,8,24,24,True,NONE
I030,9,25,25,True,NONE
I030,10,26,26,True,NONE
I030,11,27,27,True,NONE
I030,12,28,28,True,NONE
I030,13,29,29,True,NONE
I030,14,DC01,DC01,True,NONE
I030,15,30,30,True,NONE
I030,16,31,31,True,NONE
I030,17,SpO2,SpO2,True,NONE
I030,18,DC02,DC02,True,NONE
I031,0,E1-M2,E1-M2,True,NONE
I031,1,E2-M1,E2-M1,True,NONE
I031,2,F3-M2,F3-M2,True,NONE
I031,3,C3-M2,C3-M2,True,NONE
I031,4,O1-M2,O1-M2,True,NONE
I031,5,F4-M1,F4-M1,True,NONE
I031,6,C4-M1,C4-M1,True,NONE
I031,7,O2-M1,O2-M1,True,NONE
I031,8,24,24,True,NONE
I031,9,25,25,True,NONE
I031,10,26,26,True,NONE
I031,11,27,27,True,NONE
I031,12,28,28,True,NONE
I031,13,29,29,True,NONE
I031,14,DC01,DC01,True,NONE
I031,15,30,30,True,NONE
I031,16,31,31,True,NONE
I031,17,SpO2,SpO2,True,NONE
I031,18,DC02,DC02,True,NONE
I032,0,E1-M2,E1-M2,True,NONE
I032,1,E2-M1,E2-M1,True,NONE
I032,2,F3-M2,F3-M2,True,NONE
I032,3,C3-M2,C3-M2,True,NONE
I032,4,O1-M2,O1-M2,True,NONE
I032,5,F4-M1,F4-M1,True,NONE
I032,6,C4-M1,C4-M1,True,NONE
I032,7,O2-M1,O2-M1,True,NONE
I032,8,24,24,True,NONE
I032,9,25,25,True,NONE
I032,10,26,26,True,NONE
I032,11,27,27,True,NONE
I032,12,28,28,True,NONE
I032,13,29,29,True,NONE
I032,14,DC01,DC01,True,NONE
I032,15,30,30,True,NONE
I032,16,31,31,True,NONE
I032,17,SpO2,SpO2,True,NONE
I032,18,DC02,DC02,True,NONE
I033,0,E1-M2,E1-M2,True,NONE
I033,1,E2-M1,E2-M1,True,NONE
I033,2,F3-M2,F3-M2,True,NONE
I033,3,C3-M2,C3-M2,True,NONE
I033,4,O1-M2,O1-M2,True,NONE
I033,5,F4-M1,F4-M1,True,NONE
I033,6,C4-M1,C4-M1,True,NONE
I033,7,O2-M1,O2-M1,True,NONE
I033,8,24,24,True,NONE
I033,9,25,25,True,NONE
I033,10,26,26,True,NONE
I033,11,27,27,True,NONE
I033,12,28,28,True,NONE
I033,13,29,29,True,NONE
I033,14,DC01,DC01,True,NONE
I033,15,30,30,True,NONE
I033,16,31,31,True,NONE
I033,17,SpO2,SpO2,True,NONE
I033,18,DC02,DC02,True,NONE
I034,0,E1-M2,E1-M2,True,NONE
I034,1,E2-M1,E2-M1,True,NONE
I034,2,F3-M2,F3-M2,True,NONE
I034,3,C3-M2,C3-M2,True,NONE
I034,4,O1-M2,O1-M2,True,NONE
I034,5,F4-M1,F4-M1,True,NONE
I034,6,C4-M1,C4-M1,True,NONE
I034,7,O2-M1,O2-M1,True,NONE
I034,8,24,24,True,NONE
I034,9,25,25,True,NONE
I034,10,26,26,True,NONE
I034,11,27,27,True,NONE
I034,12,28,28,True,NONE
I034,13,29,29,True,NONE
I034,14,DC01,DC01,True,NONE
I034,15,30,30,True,NONE
I034,16,31,31,True,NONE
I034,17,SpO2,SpO2,True,NONE
I034,18,DC02,DC02,True,NONE
I035,0,E1-M2,E1-M2,True,NONE
I035,1,E2-M1,E2-M1,True,NONE
I035,2,F3-M2,F3-M2,True,NONE
I035,3,C3-M2,C3-M2,True,NONE
I035,4,O1-M2,O1-M2,True,NONE
I035,5,F4-M1,F4-M1,True,NONE
I035,6,C4-M1,C4-M1,True,NONE
I035,7,O2-M1,O2-M1,True,NONE
I035,8,X1,X1,True,NONE
I035,9,X2,X2,True,NONE
I035,10,X3,X3,True,NONE
I035,11,X4,X4,True,NONE
I035,12,X5,X5,True,NONE
I035,13,X6,X6,True,NONE
I035,14,DC4,DC4,True,NONE
I035,15,X7,X7,True,NONE
I035,16,X8,X8,True,NONE
I035,17,SpO2,SpO2,True,NONE
I035,18,DC8,DC8,True,NONE
