dataset,subject_id,source_role,montage_variant,split_seed,cohort_version,data_contract_version,preprocessing_version,amendment_id
sleep_edf_sc,SC_22,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_23,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_24,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_25,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_26,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_27,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_28,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_29,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_30,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_31,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_32,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_33,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_34,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_35,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_36,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_37,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_38,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_40,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_41,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_42,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_43,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_44,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_45,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_46,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_47,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_48,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_49,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_50,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_51,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_52,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_53,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_54,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_55,DEV,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_56,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_57,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_58,TEST,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_59,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_60,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_61,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_62,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_63,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_64,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_65,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_66,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_67,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_70,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_71,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_72,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_73,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_74,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_75,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_76,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_77,CALIBRATION,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_80,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_81,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
sleep_edf_sc,SC_82,TRAIN,,2026,core_cohort_v2,1.2.0,0.1.0,A-08.1-01
