subject_id,official_folder_name,expected_signal_filename,expected_scorer1_txt,expected_scorer1_xlsx,expected_scorer2_txt,expected_scorer2_xlsx,expected
I028,28,28.rec,28_1.txt,28_1.xlsx,28_2.txt,28_2.xlsx,true
I029,29,29.rec,29_1.txt,29_1.xlsx,29_2.txt,29_2.xlsx,true
I030,30,30.rec,30_1.txt,30_1.xlsx,30_2.txt,30_2.xlsx,true
I031,31,31.rec,31_1.txt,31_1.xlsx,31_2.txt,31_2.xlsx,true
I032,32,32.rec,32_1.txt,32_1.xlsx,32_2.txt,32_2.xlsx,true
I033,33,33.rec,33_1.txt,33_1.xlsx,33_2.txt,33_2.xlsx,true
I034,34,34.rec,34_1.txt,34_1.xlsx,34_2.txt,34_2.xlsx,true
I035,35,35.rec,35_1.txt,35_1.xlsx,35_2.txt,35_2.xlsx,true
I036,36,36.rec,36_1.txt,36_1.xlsx,36_2.txt,36_2.xlsx,true
I037,37,37.rec,37_1.txt,37_1.xlsx,37_2.txt,37_2.xlsx,true
I038,38,38.rec,38_1.txt,38_1.xlsx,38_2.txt,38_2.xlsx,true
I039,39,39.rec,39_1.txt,39_1.xlsx,39_2.txt,39_2.xlsx,true
I040,40,40.rec,40_1.txt,40_1.xlsx,40_2.txt,40_2.xlsx,true
I041,41,41.rec,41_1.txt,41_1.xlsx,41_2.txt,41_2.xlsx,true
I042,42,42.rec,42_1.txt,42_1.xlsx,42_2.txt,42_2.xlsx,true
I043,43,43.rec,43_1.txt,43_1.xlsx,43_2.txt,43_2.xlsx,true
I044,44,44.rec,44_1.txt,44_1.xlsx,44_2.txt,44_2.xlsx,true
I045,45,45.rec,45_1.txt,45_1.xlsx,45_2.txt,45_2.xlsx,true
I046,46,46.rec,46_1.txt,46_1.xlsx,46_2.txt,46_2.xlsx,true
I047,47,47.rec,47_1.txt,47_1.xlsx,47_2.txt,47_2.xlsx,true
I048,48,48.rec,48_1.txt,48_1.xlsx,48_2.txt,48_2.xlsx,true
I049,49,49.rec,49_1.txt,49_1.xlsx,49_2.txt,49_2.xlsx,true
I050,50,50.rec,50_1.txt,50_1.xlsx,50_2.txt,50_2.xlsx,true
I051,51,51.rec,51_1.txt,51_1.xlsx,51_2.txt,51_2.xlsx,true
I052,52,52.rec,52_1.txt,52_1.xlsx,52_2.txt,52_2.xlsx,true
I053,53,53.rec,53_1.txt,53_1.xlsx,53_2.txt,53_2.xlsx,true
I054,54,54.rec,54_1.txt,54_1.xlsx,54_2.txt,54_2.xlsx,true
I055,55,55.rec,55_1.txt,55_1.xlsx,55_2.txt,55_2.xlsx,true
I056,56,56.rec,56_1.txt,56_1.xlsx,56_2.txt,56_2.xlsx,true
I057,57,57.rec,57_1.txt,57_1.xlsx,57_2.txt,57_2.xlsx,true
I058,58,58.rec,58_1.txt,58_1.xlsx,58_2.txt,58_2.xlsx,true
I059,59,59.rec,59_1.txt,59_1.xlsx,59_2.txt,59_2.xlsx,true
I060,60,60.rec,60_1.txt,60_1.xlsx,60_2.txt,60_2.xlsx,true
I061,61,61.rec,61_1.txt,61_1.xlsx,61_2.txt,61_2.xlsx,true
I062,62,62.rec,62_1.txt,62_1.xlsx,62_2.txt,62_2.xlsx,true
I063,63,63.rec,63_1.txt,63_1.xlsx,63_2.txt,63_2.xlsx,true
I064,64,64.rec,64_1.txt,64_1.xlsx,64_2.txt,64_2.xlsx,true
I065,65,65.rec,65_1.txt,65_1.xlsx,65_2.txt,65_2.xlsx,true
I066,66,66.rec,66_1.txt,66_1.xlsx,66_2.txt,66_2.xlsx,true
I067,67,67.rec,67_1.txt,67_1.xlsx,67_2.txt,67_2.xlsx,true
I068,68,68.rec,68_1.txt,68_1.xlsx,68_2.txt,68_2.xlsx,true
I069,69,69.rec,69_1.txt,69_1.xlsx,69_2.txt,69_2.xlsx,true
I070,70,70.rec,70_1.txt,70_1.xlsx,70_2.txt,70_2.xlsx,true
I071,71,71.rec,71_1.txt,71_1.xlsx,71_2.txt,71_2.xlsx,true
I072,72,72.rec,72_1.txt,72_1.xlsx,72_2.txt,72_2.xlsx,true
I073,73,73.rec,73_1.txt,73_1.xlsx,73_2.txt,73_2.xlsx,true
I074,74,74.rec,74_1.txt,74_1.xlsx,74_2.txt,74_2.xlsx,true
I075,75,75.rec,75_1.txt,75_1.xlsx,75_2.txt,75_2.xlsx,true
I076,76,76.rec,76_1.txt,76_1.xlsx,76_2.txt,76_2.xlsx,true
I077,77,77.rec,77_1.txt,77_1.xlsx,77_2.txt,77_2.xlsx,true
I078,78,78.rec,78_1.txt,78_1.xlsx,78_2.txt,78_2.xlsx,true
I079,79,79.rec,79_1.txt,79_1.xlsx,79_2.txt,79_2.xlsx,true
I080,80,80.rec,80_1.txt,80_1.xlsx,80_2.txt,80_2.xlsx,true
I081,81,81.rec,81_1.txt,81_1.xlsx,81_2.txt,81_2.xlsx,true
I082,82,82.rec,82_1.txt,82_1.xlsx,82_2.txt,82_2.xlsx,true
I083,83,83.rec,83_1.txt,83_1.xlsx,83_2.txt,83_2.xlsx,true
I084,84,84.rec,84_1.txt,84_1.xlsx,84_2.txt,84_2.xlsx,true
I085,85,85.rec,85_1.txt,85_1.xlsx,85_2.txt,85_2.xlsx,true
I086,86,86.rec,86_1.txt,86_1.xlsx,86_2.txt,86_2.xlsx,true
I087,87,87.rec,87_1.txt,87_1.xlsx,87_2.txt,87_2.xlsx,true
I088,88,88.rec,88_1.txt,88_1.xlsx,88_2.txt,88_2.xlsx,true
I089,89,89.rec,89_1.txt,89_1.xlsx,89_2.txt,89_2.xlsx,true
I090,90,90.rec,90_1.txt,90_1.xlsx,90_2.txt,90_2.xlsx,true
I091,91,91.rec,91_1.txt,91_1.xlsx,91_2.txt,91_2.xlsx,true
I092,92,92.rec,92_1.txt,92_1.xlsx,92_2.txt,92_2.xlsx,true
I093,93,93.rec,93_1.txt,93_1.xlsx,93_2.txt,93_2.xlsx,true
I094,94,94.rec,94_1.txt,94_1.xlsx,94_2.txt,94_2.xlsx,true
I095,95,95.rec,95_1.txt,95_1.xlsx,95_2.txt,95_2.xlsx,true
I096,96,96.rec,96_1.txt,96_1.xlsx,96_2.txt,96_2.xlsx,true
I097,97,97.rec,97_1.txt,97_1.xlsx,97_2.txt,97_2.xlsx,true
I098,98,98.rec,98_1.txt,98_1.xlsx,98_2.txt,98_2.xlsx,true
I099,99,99.rec,99_1.txt,99_1.xlsx,99_2.txt,99_2.xlsx,true
I100,100,100.rec,100_1.txt,100_1.xlsx,100_2.txt,100_2.xlsx,true
