subject_id,signal_acquired,actual_bytes,expected_bytes,byte_delta,sha256,header_valid,body_valid,scorer1_available,scorer2_available,terminal_provider_status,failure_code
I034,True,141107120,141107120,0,69136a14e40e0553cadb172aeb05070598606fbc2d9edb54d3a601940efd86a6,True,True,True,True,ORIGINAL_BODY_VALID,
I035,True,137117120,137117120,0,bb341981ad750e2c90436cead6f38fcef61671e24d59a3ba5c1dd8431ef67c32,True,True,True,True,ORIGINAL_BODY_VALID,
I036,False,,,,,False,False,True,True,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I037,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I038,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I039,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I040,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I041,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I042,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I043,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I044,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I045,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I046,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I047,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I048,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I049,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I050,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I051,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I052,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I053,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I054,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I055,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I056,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I057,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I058,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I059,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I060,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I061,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I062,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I063,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I064,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I065,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I066,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I067,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I068,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I069,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I070,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I071,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I072,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I073,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I074,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I075,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I076,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I077,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I078,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I079,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I080,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I081,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I082,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I083,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I084,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I085,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I086,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I087,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I088,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I089,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I090,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I091,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I092,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I093,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I094,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I095,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I096,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I097,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I098,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I099,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
I100,False,,,,,False,False,False,False,ORIGINAL_OTHER_INVALID,MISSING_SIGNAL
