subject_id,raw_rec_sha256,body_valid,raw_signal_count,raw_channel_labels_exact,parsed_channel_labels_current,c3_a2_present_current,loc_a2_present_current,current_schema_status,current_terminal_status,current_failure_code
I011,ea67c90484c6411c0d265bf82571c926d0ddbf945a50ce4770bd64c045a045ff,True,24,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|X7-X8|SpO2|DC8|DC1|DC2|DC3|DC5,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|X7-X8|SpO2|DC8|DC1|DC2|DC3|DC5,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I012,1e42dbbc8ba74d3801eb43ba1900b7e7b74fc936e058f5c0fe632863be768271,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I013,40169513f0e143fb7d0be143b4f219145365896ed9a90bcc9788ac010b441beb,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I014,4d311808c2b890416bf41bad521d14745786f375c248100a945a6614772f54af,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I015,75356fa21b0bf2e30c9c69bb6f8ab1d5d20bfeb514ae7991c539bbed1cc544a4,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I016,c5f86eb258d3e7aff79f6afc0ac4aa7f06ee3eaff1055d38a10ddc6171b0f25a,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I017,4dbed311222c4756e865d17973aa4be584a2c4ea2db9a9c872cd9237e8cd226f,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I018,cc66ab5d9f5346eba114fcf91d0dd5f62a6b1632983ea81ad78ca958f05df353,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I019,b84756a3391a806816a7b59d9716ed6093f3936eafde36e8ecb5a21797f3f70b,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I020,e91bf76f8965b94f3b1b8c984c0f04d788ad208fb4820170749a27ccbac713cd,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I021,bede07f49369c6321d873c1e0a28a2e6debb6e85fe24666d3aa2fd952c7277d0,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I022,a237c3b257c4144fe34b9d927ca74ee87c22c32a8dc613fa228b2eb083982b5f,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I023,b0c159e2705d9c46aca359083535a4ecaa404584a078561ecaca71607909a742,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I024,8f2cb0f387ba8524b6cd20dd9f53496bc1850c707f13e0954f21c381efede4d6,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I025,2c3c8030294282a7c35cf1c08cb7f7d4648840a6515e0255fd81215a6b7ac6e6,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I026,d71460c5370fbc5e1fde7d9cbbfff9683e6c6b19edcb18d03eabf80af9858395,True,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,True,True,CHANNEL_COMPATIBLE,INCLUDED,
I027,388c46d6783e3d33bc8c3c26fd48720de4c2990a3fcab3f3033ed5821672432b,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I028,4476881fcddf50a82c85b3a830c9c16087f6dd43cc28aea755394660d5242158,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I029,9de01a2bca04fba5f09fe85520e7827f5a5c3703ecc6857eb63379c3cf7fe4e6,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I030,9a62a6fafe27900e6c9f1e900e6ab7f60faecd7fe09f80fe22c604ed499a6b1f,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I031,bd99f1d24e1853a7b905d1989b5b125a5f74c45cdbba0758c5afc55f97037b13,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I032,6df908720d3ed03c8310a839c1ca62847de14d55fca96852906e9937894782f0,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I033,38b9336a592bb057c87ecdd3c79432b7ae241dc0259db41158b49fa840eed3bc,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I034,69136a14e40e0553cadb172aeb05070598606fbc2d9edb54d3a601940efd86a6,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
I035,bb341981ad750e2c90436cead6f38fcef61671e24d59a3ba5c1dd8431ef67c32,True,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,False,False,MISSING_REQUIRED_CHANNEL,EXCLUDED_SCHEMA,MISSING_REQUIRED_CHANNEL
