subject_id,scorer,epoch_count,label_vocabulary,file_integrity,scorer_identity,source_path
I052,scorer_2,,,MISSING,scorer_2,
I053,scorer_2,,,MISSING,scorer_2,
I054,scorer_2,,,MISSING,scorer_2,
I055,scorer_2,,,MISSING,scorer_2,
I056,scorer_2,,,MISSING,scorer_2,
I057,scorer_2,,,MISSING,scorer_2,
I058,scorer_2,,,MISSING,scorer_2,
I059,scorer_2,,,MISSING,scorer_2,
I060,scorer_2,,,MISSING,scorer_2,
I061,scorer_2,,,MISSING,scorer_2,
I062,scorer_2,,,MISSING,scorer_2,
I063,scorer_2,,,MISSING,scorer_2,
I064,scorer_2,,,MISSING,scorer_2,
I065,scorer_2,,,MISSING,scorer_2,
I066,scorer_2,,,MISSING,scorer_2,
I067,scorer_2,,,MISSING,scorer_2,
I068,scorer_2,,,MISSING,scorer_2,
I069,scorer_2,,,MISSING,scorer_2,
I070,scorer_2,,,MISSING,scorer_2,
I071,scorer_2,,,MISSING,scorer_2,
I072,scorer_2,,,MISSING,scorer_2,
I073,scorer_2,,,MISSING,scorer_2,
I074,scorer_2,,,MISSING,scorer_2,
I075,scorer_2,,,MISSING,scorer_2,
I076,scorer_2,,,MISSING,scorer_2,
I077,scorer_2,,,MISSING,scorer_2,
I078,scorer_2,,,MISSING,scorer_2,
I079,scorer_2,,,MISSING,scorer_2,
I080,scorer_2,,,MISSING,scorer_2,
I081,scorer_2,,,MISSING,scorer_2,
I082,scorer_2,,,MISSING,scorer_2,
I083,scorer_2,,,MISSING,scorer_2,
I084,scorer_2,,,MISSING,scorer_2,
I085,scorer_2,,,MISSING,scorer_2,
I086,scorer_2,,,MISSING,scorer_2,
I087,scorer_2,,,MISSING,scorer_2,
I088,scorer_2,,,MISSING,scorer_2,
I089,scorer_2,,,MISSING,scorer_2,
I090,scorer_2,,,MISSING,scorer_2,
I091,scorer_2,,,MISSING,scorer_2,
I092,scorer_2,,,MISSING,scorer_2,
I093,scorer_2,,,MISSING,scorer_2,
I094,scorer_2,,,MISSING,scorer_2,
I095,scorer_2,,,MISSING,scorer_2,
I096,scorer_2,,,MISSING,scorer_2,
I097,scorer_2,,,MISSING,scorer_2,
I098,scorer_2,,,MISSING,scorer_2,
I099,scorer_2,,,MISSING,scorer_2,
I100,scorer_2,,,MISSING,scorer_2,
