recording_id,psg_filename,matched_hypnogram_filename,pair_prefix,pair_confidence
SC4092E0,SC4092E0-PSG.edf,SC4092EC-Hypnogram.edf,SC4092E,EXACT_UNIQUE
SC4101E0,SC4101E0-PSG.edf,SC4101EC-Hypnogram.edf,SC4101E,EXACT_UNIQUE
SC4102E0,SC4102E0-PSG.edf,SC4102EC-Hypnogram.edf,SC4102E,EXACT_UNIQUE
SC4111E0,SC4111E0-PSG.edf,SC4111EC-Hypnogram.edf,SC4111E,EXACT_UNIQUE
SC4112E0,SC4112E0-PSG.edf,SC4112EC-Hypnogram.edf,SC4112E,EXACT_UNIQUE
SC4121E0,SC4121E0-PSG.edf,SC4121EC-Hypnogram.edf,SC4121E,EXACT_UNIQUE
SC4122E0,SC4122E0-PSG.edf,SC4122EV-Hypnogram.edf,SC4122E,EXACT_UNIQUE
SC4131E0,SC4131E0-PSG.edf,SC4131EC-Hypnogram.edf,SC4131E,EXACT_UNIQUE
SC4141E0,SC4141E0-PSG.edf,SC4141EU-Hypnogram.edf,SC4141E,EXACT_UNIQUE
SC4142E0,SC4142E0-PSG.edf,SC4142EU-Hypnogram.edf,SC4142E,EXACT_UNIQUE
SC4151E0,SC4151E0-PSG.edf,SC4151EC-Hypnogram.edf,SC4151E,EXACT_UNIQUE
SC4152E0,SC4152E0-PSG.edf,SC4152EC-Hypnogram.edf,SC4152E,EXACT_UNIQUE
SC4161E0,SC4161E0-PSG.edf,SC4161EC-Hypnogram.edf,SC4161E,EXACT_UNIQUE
SC4162E0,SC4162E0-PSG.edf,SC4162EC-Hypnogram.edf,SC4162E,EXACT_UNIQUE
SC4171E0,SC4171E0-PSG.edf,SC4171EU-Hypnogram.edf,SC4171E,EXACT_UNIQUE
SC4172E0,SC4172E0-PSG.edf,SC4172EC-Hypnogram.edf,SC4172E,EXACT_UNIQUE
SC4181E0,SC4181E0-PSG.edf,SC4181EC-Hypnogram.edf,SC4181E,EXACT_UNIQUE
SC4182E0,SC4182E0-PSG.edf,SC4182EC-Hypnogram.edf,SC4182E,EXACT_UNIQUE
SC4191E0,SC4191E0-PSG.edf,SC4191EP-Hypnogram.edf,SC4191E,EXACT_UNIQUE
SC4192E0,SC4192E0-PSG.edf,SC4192EV-Hypnogram.edf,SC4192E,EXACT_UNIQUE
SC4201E0,SC4201E0-PSG.edf,SC4201EC-Hypnogram.edf,SC4201E,EXACT_UNIQUE
SC4202E0,SC4202E0-PSG.edf,SC4202EC-Hypnogram.edf,SC4202E,EXACT_UNIQUE
SC4211E0,SC4211E0-PSG.edf,SC4211EC-Hypnogram.edf,SC4211E,EXACT_UNIQUE
SC4212E0,SC4212E0-PSG.edf,SC4212EC-Hypnogram.edf,SC4212E,EXACT_UNIQUE
SC4221E0,SC4221E0-PSG.edf,SC4221EJ-Hypnogram.edf,SC4221E,EXACT_UNIQUE
SC4222E0,SC4222E0-PSG.edf,SC4222EC-Hypnogram.edf,SC4222E,EXACT_UNIQUE
SC4231E0,SC4231E0-PSG.edf,SC4231EJ-Hypnogram.edf,SC4231E,EXACT_UNIQUE
SC4232E0,SC4232E0-PSG.edf,SC4232EV-Hypnogram.edf,SC4232E,EXACT_UNIQUE
SC4241E0,SC4241E0-PSG.edf,SC4241EC-Hypnogram.edf,SC4241E,EXACT_UNIQUE
SC4242E0,SC4242E0-PSG.edf,SC4242EA-Hypnogram.edf,SC4242E,EXACT_UNIQUE
SC4251E0,SC4251E0-PSG.edf,SC4251EP-Hypnogram.edf,SC4251E,EXACT_UNIQUE
SC4252E0,SC4252E0-PSG.edf,SC4252EU-Hypnogram.edf,SC4252E,EXACT_UNIQUE
SC4261F0,SC4261F0-PSG.edf,SC4261FM-Hypnogram.edf,SC4261F,EXACT_UNIQUE
SC4262F0,SC4262F0-PSG.edf,SC4262FC-Hypnogram.edf,SC4262F,EXACT_UNIQUE
SC4271F0,SC4271F0-PSG.edf,SC4271FC-Hypnogram.edf,SC4271F,EXACT_UNIQUE
SC4272F0,SC4272F0-PSG.edf,SC4272FM-Hypnogram.edf,SC4272F,EXACT_UNIQUE
SC4281G0,SC4281G0-PSG.edf,SC4281GC-Hypnogram.edf,SC4281G,EXACT_UNIQUE
SC4282G0,SC4282G0-PSG.edf,SC4282GC-Hypnogram.edf,SC4282G,EXACT_UNIQUE
SC4291G0,SC4291G0-PSG.edf,SC4291GA-Hypnogram.edf,SC4291G,EXACT_UNIQUE
SC4292G0,SC4292G0-PSG.edf,SC4292GC-Hypnogram.edf,SC4292G,EXACT_UNIQUE
SC4301E0,SC4301E0-PSG.edf,SC4301EC-Hypnogram.edf,SC4301E,EXACT_UNIQUE
SC4302E0,SC4302E0-PSG.edf,SC4302EV-Hypnogram.edf,SC4302E,EXACT_UNIQUE
SC4311E0,SC4311E0-PSG.edf,SC4311EC-Hypnogram.edf,SC4311E,EXACT_UNIQUE
SC4312E0,SC4312E0-PSG.edf,SC4312EM-Hypnogram.edf,SC4312E,EXACT_UNIQUE
SC4321E0,SC4321E0-PSG.edf,SC4321EC-Hypnogram.edf,SC4321E,EXACT_UNIQUE
SC4322E0,SC4322E0-PSG.edf,SC4322EC-Hypnogram.edf,SC4322E,EXACT_UNIQUE
SC4331F0,SC4331F0-PSG.edf,SC4331FV-Hypnogram.edf,SC4331F,EXACT_UNIQUE
SC4332F0,SC4332F0-PSG.edf,SC4332FC-Hypnogram.edf,SC4332F,EXACT_UNIQUE
SC4341F0,SC4341F0-PSG.edf,SC4341FA-Hypnogram.edf,SC4341F,EXACT_UNIQUE
SC4342F0,SC4342F0-PSG.edf,SC4342FA-Hypnogram.edf,SC4342F,EXACT_UNIQUE
SC4351F0,SC4351F0-PSG.edf,SC4351FA-Hypnogram.edf,SC4351F,EXACT_UNIQUE
SC4352F0,SC4352F0-PSG.edf,SC4352FV-Hypnogram.edf,SC4352F,EXACT_UNIQUE
SC4362F0,SC4362F0-PSG.edf,SC4362FC-Hypnogram.edf,SC4362F,EXACT_UNIQUE
SC4371F0,SC4371F0-PSG.edf,SC4371FA-Hypnogram.edf,SC4371F,EXACT_UNIQUE
SC4372F0,SC4372F0-PSG.edf,SC4372FC-Hypnogram.edf,SC4372F,EXACT_UNIQUE
SC4381F0,SC4381F0-PSG.edf,SC4381FC-Hypnogram.edf,SC4381F,EXACT_UNIQUE
SC4382F0,SC4382F0-PSG.edf,SC4382FW-Hypnogram.edf,SC4382F,EXACT_UNIQUE
SC4401E0,SC4401E0-PSG.edf,SC4401EC-Hypnogram.edf,SC4401E,EXACT_UNIQUE
SC4402E0,SC4402E0-PSG.edf,SC4402EW-Hypnogram.edf,SC4402E,EXACT_UNIQUE
SC4411E0,SC4411E0-PSG.edf,SC4411EJ-Hypnogram.edf,SC4411E,EXACT_UNIQUE
SC4412E0,SC4412E0-PSG.edf,SC4412EM-Hypnogram.edf,SC4412E,EXACT_UNIQUE
SC4421E0,SC4421E0-PSG.edf,SC4421EA-Hypnogram.edf,SC4421E,EXACT_UNIQUE
SC4422E0,SC4422E0-PSG.edf,SC4422EA-Hypnogram.edf,SC4422E,EXACT_UNIQUE
SC4431E0,SC4431E0-PSG.edf,SC4431EM-Hypnogram.edf,SC4431E,EXACT_UNIQUE
SC4432E0,SC4432E0-PSG.edf,SC4432EM-Hypnogram.edf,SC4432E,EXACT_UNIQUE
SC4441E0,SC4441E0-PSG.edf,SC4441EC-Hypnogram.edf,SC4441E,EXACT_UNIQUE
SC4442E0,SC4442E0-PSG.edf,SC4442EV-Hypnogram.edf,SC4442E,EXACT_UNIQUE
SC4451F0,SC4451F0-PSG.edf,SC4451FY-Hypnogram.edf,SC4451F,EXACT_UNIQUE
SC4452F0,SC4452F0-PSG.edf,SC4452FW-Hypnogram.edf,SC4452F,EXACT_UNIQUE
SC4461F0,SC4461F0-PSG.edf,SC4461FA-Hypnogram.edf,SC4461F,EXACT_UNIQUE
SC4462F0,SC4462F0-PSG.edf,SC4462FJ-Hypnogram.edf,SC4462F,EXACT_UNIQUE
SC4471F0,SC4471F0-PSG.edf,SC4471FA-Hypnogram.edf,SC4471F,EXACT_UNIQUE
SC4472F0,SC4472F0-PSG.edf,SC4472FA-Hypnogram.edf,SC4472F,EXACT_UNIQUE
SC4481F0,SC4481F0-PSG.edf,SC4481FV-Hypnogram.edf,SC4481F,EXACT_UNIQUE
SC4482F0,SC4482F0-PSG.edf,SC4482FJ-Hypnogram.edf,SC4482F,EXACT_UNIQUE
SC4491G0,SC4491G0-PSG.edf,SC4491GJ-Hypnogram.edf,SC4491G,EXACT_UNIQUE
SC4492G0,SC4492G0-PSG.edf,SC4492GJ-Hypnogram.edf,SC4492G,EXACT_UNIQUE
SC4501E0,SC4501E0-PSG.edf,SC4501EW-Hypnogram.edf,SC4501E,EXACT_UNIQUE
SC4502E0,SC4502E0-PSG.edf,SC4502EM-Hypnogram.edf,SC4502E,EXACT_UNIQUE
SC4511E0,SC4511E0-PSG.edf,SC4511EJ-Hypnogram.edf,SC4511E,EXACT_UNIQUE
SC4512E0,SC4512E0-PSG.edf,SC4512EW-Hypnogram.edf,SC4512E,EXACT_UNIQUE
SC4522E0,SC4522E0-PSG.edf,SC4522EM-Hypnogram.edf,SC4522E,EXACT_UNIQUE
SC4531E0,SC4531E0-PSG.edf,SC4531EM-Hypnogram.edf,SC4531E,EXACT_UNIQUE
SC4532E0,SC4532E0-PSG.edf,SC4532EV-Hypnogram.edf,SC4532E,EXACT_UNIQUE
SC4541F0,SC4541F0-PSG.edf,SC4541FA-Hypnogram.edf,SC4541F,EXACT_UNIQUE
SC4542F0,SC4542F0-PSG.edf,SC4542FW-Hypnogram.edf,SC4542F,EXACT_UNIQUE
SC4551F0,SC4551F0-PSG.edf,SC4551FC-Hypnogram.edf,SC4551F,EXACT_UNIQUE
SC4552F0,SC4552F0-PSG.edf,SC4552FW-Hypnogram.edf,SC4552F,EXACT_UNIQUE
SC4561F0,SC4561F0-PSG.edf,SC4561FJ-Hypnogram.edf,SC4561F,EXACT_UNIQUE
SC4562F0,SC4562F0-PSG.edf,SC4562FJ-Hypnogram.edf,SC4562F,EXACT_UNIQUE
SC4571F0,SC4571F0-PSG.edf,SC4571FV-Hypnogram.edf,SC4571F,EXACT_UNIQUE
SC4572F0,SC4572F0-PSG.edf,SC4572FC-Hypnogram.edf,SC4572F,EXACT_UNIQUE
SC4581G0,SC4581G0-PSG.edf,SC4581GM-Hypnogram.edf,SC4581G,EXACT_UNIQUE
SC4582G0,SC4582G0-PSG.edf,SC4582GP-Hypnogram.edf,SC4582G,EXACT_UNIQUE
SC4591G0,SC4591G0-PSG.edf,SC4591GY-Hypnogram.edf,SC4591G,EXACT_UNIQUE
SC4592G0,SC4592G0-PSG.edf,SC4592GY-Hypnogram.edf,SC4592G,EXACT_UNIQUE
SC4601E0,SC4601E0-PSG.edf,SC4601EC-Hypnogram.edf,SC4601E,EXACT_UNIQUE
SC4602E0,SC4602E0-PSG.edf,SC4602EJ-Hypnogram.edf,SC4602E,EXACT_UNIQUE
SC4611E0,SC4611E0-PSG.edf,SC4611EG-Hypnogram.edf,SC4611E,EXACT_UNIQUE
SC4612E0,SC4612E0-PSG.edf,SC4612EA-Hypnogram.edf,SC4612E,EXACT_UNIQUE
SC4621E0,SC4621E0-PSG.edf,SC4621EV-Hypnogram.edf,SC4621E,EXACT_UNIQUE
SC4622E0,SC4622E0-PSG.edf,SC4622EJ-Hypnogram.edf,SC4622E,EXACT_UNIQUE
SC4631E0,SC4631E0-PSG.edf,SC4631EM-Hypnogram.edf,SC4631E,EXACT_UNIQUE
SC4632E0,SC4632E0-PSG.edf,SC4632EA-Hypnogram.edf,SC4632E,EXACT_UNIQUE
SC4641E0,SC4641E0-PSG.edf,SC4641EP-Hypnogram.edf,SC4641E,EXACT_UNIQUE
SC4642E0,SC4642E0-PSG.edf,SC4642EP-Hypnogram.edf,SC4642E,EXACT_UNIQUE
SC4651E0,SC4651E0-PSG.edf,SC4651EP-Hypnogram.edf,SC4651E,EXACT_UNIQUE
SC4652E0,SC4652E0-PSG.edf,SC4652EG-Hypnogram.edf,SC4652E,EXACT_UNIQUE
SC4661E0,SC4661E0-PSG.edf,SC4661EJ-Hypnogram.edf,SC4661E,EXACT_UNIQUE
SC4662E0,SC4662E0-PSG.edf,SC4662EJ-Hypnogram.edf,SC4662E,EXACT_UNIQUE
SC4671G0,SC4671G0-PSG.edf,SC4671GJ-Hypnogram.edf,SC4671G,EXACT_UNIQUE
SC4672G0,SC4672G0-PSG.edf,SC4672GV-Hypnogram.edf,SC4672G,EXACT_UNIQUE
SC4701E0,SC4701E0-PSG.edf,SC4701EC-Hypnogram.edf,SC4701E,EXACT_UNIQUE
SC4702E0,SC4702E0-PSG.edf,SC4702EA-Hypnogram.edf,SC4702E,EXACT_UNIQUE
SC4711E0,SC4711E0-PSG.edf,SC4711EC-Hypnogram.edf,SC4711E,EXACT_UNIQUE
SC4712E0,SC4712E0-PSG.edf,SC4712EA-Hypnogram.edf,SC4712E,EXACT_UNIQUE
SC4721E0,SC4721E0-PSG.edf,SC4721EC-Hypnogram.edf,SC4721E,EXACT_UNIQUE
SC4722E0,SC4722E0-PSG.edf,SC4722EM-Hypnogram.edf,SC4722E,EXACT_UNIQUE
SC4731E0,SC4731E0-PSG.edf,SC4731EM-Hypnogram.edf,SC4731E,EXACT_UNIQUE
SC4732E0,SC4732E0-PSG.edf,SC4732EJ-Hypnogram.edf,SC4732E,EXACT_UNIQUE
SC4741E0,SC4741E0-PSG.edf,SC4741EA-Hypnogram.edf,SC4741E,EXACT_UNIQUE
SC4742E0,SC4742E0-PSG.edf,SC4742EC-Hypnogram.edf,SC4742E,EXACT_UNIQUE
SC4751E0,SC4751E0-PSG.edf,SC4751EC-Hypnogram.edf,SC4751E,EXACT_UNIQUE
SC4752E0,SC4752E0-PSG.edf,SC4752EM-Hypnogram.edf,SC4752E,EXACT_UNIQUE
SC4761E0,SC4761E0-PSG.edf,SC4761EP-Hypnogram.edf,SC4761E,EXACT_UNIQUE
SC4762E0,SC4762E0-PSG.edf,SC4762EG-Hypnogram.edf,SC4762E,EXACT_UNIQUE
SC4771G0,SC4771G0-PSG.edf,SC4771GC-Hypnogram.edf,SC4771G,EXACT_UNIQUE
SC4772G0,SC4772G0-PSG.edf,SC4772GC-Hypnogram.edf,SC4772G,EXACT_UNIQUE
SC4801G0,SC4801G0-PSG.edf,SC4801GC-Hypnogram.edf,SC4801G,EXACT_UNIQUE
SC4802G0,SC4802G0-PSG.edf,SC4802GV-Hypnogram.edf,SC4802G,EXACT_UNIQUE
SC4811G0,SC4811G0-PSG.edf,SC4811GG-Hypnogram.edf,SC4811G,EXACT_UNIQUE
SC4812G0,SC4812G0-PSG.edf,SC4812GV-Hypnogram.edf,SC4812G,EXACT_UNIQUE
SC4821G0,SC4821G0-PSG.edf,SC4821GC-Hypnogram.edf,SC4821G,EXACT_UNIQUE
SC4822G0,SC4822G0-PSG.edf,SC4822GC-Hypnogram.edf,SC4822G,EXACT_UNIQUE
