dataset,recording_path,url,range_supported,content_range,signal_count,labels,physical_dimensions,sampling_hz,samples_per_record,records,record_duration_s,duration_s,edf_plus,patient_header_redacted,header_bytes_inspected,status
CAP Sleep Database v1.0.0,n5.edf,https://physionet.org/files/capslpdb/1.0.0/n5.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n6.edf,https://physionet.org/files/capslpdb/1.0.0/n6.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n7.edf,https://physionet.org/files/capslpdb/1.0.0/n7.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n8.edf,https://physionet.org/files/capslpdb/1.0.0/n8.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,n9.edf,https://physionet.org/files/capslpdb/1.0.0/n9.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,narco1.edf,https://physionet.org/files/capslpdb/1.0.0/narco1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,narco2.edf,https://physionet.org/files/capslpdb/1.0.0/narco2.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,narco3.edf,https://physionet.org/files/capslpdb/1.0.0/narco3.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,narco4.edf,https://physionet.org/files/capslpdb/1.0.0/narco4.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,narco5.edf,https://physionet.org/files/capslpdb/1.0.0/narco5.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle10.edf,https://physionet.org/files/capslpdb/1.0.0/nfle10.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle11.edf,https://physionet.org/files/capslpdb/1.0.0/nfle11.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle12.edf,https://physionet.org/files/capslpdb/1.0.0/nfle12.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle13.edf,https://physionet.org/files/capslpdb/1.0.0/nfle13.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle14.edf,https://physionet.org/files/capslpdb/1.0.0/nfle14.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle15.edf,https://physionet.org/files/capslpdb/1.0.0/nfle15.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle16.edf,https://physionet.org/files/capslpdb/1.0.0/nfle16.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle17.edf,https://physionet.org/files/capslpdb/1.0.0/nfle17.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle18.edf,https://physionet.org/files/capslpdb/1.0.0/nfle18.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle19.edf,https://physionet.org/files/capslpdb/1.0.0/nfle19.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle1.edf,https://physionet.org/files/capslpdb/1.0.0/nfle1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle20.edf,https://physionet.org/files/capslpdb/1.0.0/nfle20.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle21.edf,https://physionet.org/files/capslpdb/1.0.0/nfle21.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle22.edf,https://physionet.org/files/capslpdb/1.0.0/nfle22.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle23.edf,https://physionet.org/files/capslpdb/1.0.0/nfle23.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle24.edf,https://physionet.org/files/capslpdb/1.0.0/nfle24.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle25.edf,https://physionet.org/files/capslpdb/1.0.0/nfle25.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle26.edf,https://physionet.org/files/capslpdb/1.0.0/nfle26.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle27.edf,https://physionet.org/files/capslpdb/1.0.0/nfle27.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle28.edf,https://physionet.org/files/capslpdb/1.0.0/nfle28.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle29.edf,https://physionet.org/files/capslpdb/1.0.0/nfle29.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle2.edf,https://physionet.org/files/capslpdb/1.0.0/nfle2.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle30.edf,https://physionet.org/files/capslpdb/1.0.0/nfle30.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle31.edf,https://physionet.org/files/capslpdb/1.0.0/nfle31.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle32.edf,https://physionet.org/files/capslpdb/1.0.0/nfle32.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle33.edf,https://physionet.org/files/capslpdb/1.0.0/nfle33.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle34.edf,https://physionet.org/files/capslpdb/1.0.0/nfle34.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle35.edf,https://physionet.org/files/capslpdb/1.0.0/nfle35.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle36.edf,https://physionet.org/files/capslpdb/1.0.0/nfle36.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle37.edf,https://physionet.org/files/capslpdb/1.0.0/nfle37.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle38.edf,https://physionet.org/files/capslpdb/1.0.0/nfle38.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle39.edf,https://physionet.org/files/capslpdb/1.0.0/nfle39.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle3.edf,https://physionet.org/files/capslpdb/1.0.0/nfle3.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle40.edf,https://physionet.org/files/capslpdb/1.0.0/nfle40.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle4.edf,https://physionet.org/files/capslpdb/1.0.0/nfle4.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle5.edf,https://physionet.org/files/capslpdb/1.0.0/nfle5.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle6.edf,https://physionet.org/files/capslpdb/1.0.0/nfle6.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle7.edf,https://physionet.org/files/capslpdb/1.0.0/nfle7.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle8.edf,https://physionet.org/files/capslpdb/1.0.0/nfle8.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,nfle9.edf,https://physionet.org/files/capslpdb/1.0.0/nfle9.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm10.edf,https://physionet.org/files/capslpdb/1.0.0/plm10.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm1.edf,https://physionet.org/files/capslpdb/1.0.0/plm1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm2.edf,https://physionet.org/files/capslpdb/1.0.0/plm2.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm3.edf,https://physionet.org/files/capslpdb/1.0.0/plm3.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm4.edf,https://physionet.org/files/capslpdb/1.0.0/plm4.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm5.edf,https://physionet.org/files/capslpdb/1.0.0/plm5.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm6.edf,https://physionet.org/files/capslpdb/1.0.0/plm6.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm7.edf,https://physionet.org/files/capslpdb/1.0.0/plm7.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm8.edf,https://physionet.org/files/capslpdb/1.0.0/plm8.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,plm9.edf,https://physionet.org/files/capslpdb/1.0.0/plm9.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd10.edf,https://physionet.org/files/capslpdb/1.0.0/rbd10.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd11.edf,https://physionet.org/files/capslpdb/1.0.0/rbd11.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd12.edf,https://physionet.org/files/capslpdb/1.0.0/rbd12.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd13.edf,https://physionet.org/files/capslpdb/1.0.0/rbd13.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd14.edf,https://physionet.org/files/capslpdb/1.0.0/rbd14.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd15.edf,https://physionet.org/files/capslpdb/1.0.0/rbd15.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd16.edf,https://physionet.org/files/capslpdb/1.0.0/rbd16.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd17.edf,https://physionet.org/files/capslpdb/1.0.0/rbd17.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd18.edf,https://physionet.org/files/capslpdb/1.0.0/rbd18.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd19.edf,https://physionet.org/files/capslpdb/1.0.0/rbd19.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd1.edf,https://physionet.org/files/capslpdb/1.0.0/rbd1.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd20.edf,https://physionet.org/files/capslpdb/1.0.0/rbd20.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd21.edf,https://physionet.org/files/capslpdb/1.0.0/rbd21.edf,NOT_VERIFIED,,,,,,,,,,,,,ERROR:URLError:<urlopen error [Errno 11002] getaddrinfo failed>
CAP Sleep Database v1.0.0,rbd22.edf,https://physionet.org/files/capslpdb/1.0.0/rbd22.edf,TRUE,bytes 0-5375/507281916,20,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|SAO2|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|uV|uV|uV|uV|%|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|1|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|1|1|128|1,35370,1.0,35370.0,False,TRUE,5376,VERIFIED
CAP Sleep Database v1.0.0,rbd2.edf,https://physionet.org/files/capslpdb/1.0.0/rbd2.edf,TRUE,bytes 0-5375/568755336,20,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|SAO2|HR|PLETH|STAT,mV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|uV|uV|uV|mV|%|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|512|512|512|512|1|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|512|512|512|512|1|1|128|1,35820,1.0,35820.0,False,TRUE,5376,VERIFIED
CAP Sleep Database v1.0.0,rbd3.edf,https://physionet.org/files/capslpdb/1.0.0/rbd3.edf,TRUE,bytes 0-6399/599609800,24,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|TORACE|ADDOME|Position|SAO2|MIC|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|mV||%|uV|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|512|512|512|512|64|64|64|1|128|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|512|512|512|512|64|64|64|1|128|1|128|1,36300,1.0,36300.0,False,TRUE,6400,VERIFIED
CAP Sleep Database v1.0.0,rbd4.edf,https://physionet.org/files/capslpdb/1.0.0/rbd4.edf,TRUE,bytes 0-4863/547885694,18,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|TORACE|SAO2|MIC|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|mV|uV|uV|uV|uV|mV|%|uV|BPM|mV|,128|512|512|512|512|512|512|512|128|128|512|512|64|1|128|1|128|1,128|512|512|512|512|512|512|512|128|128|512|512|64|1|128|1|128|1,51541,1.0,51541.0,False,TRUE,4864,VERIFIED
CAP Sleep Database v1.0.0,rbd5.edf,https://physionet.org/files/capslpdb/1.0.0/rbd5.edf,TRUE,bytes 0-5887/508016288,22,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|TORACE|ADDOME|SAO2|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|mV|mV|mV|%|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|64|64|1|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|64|64|1|1|128|1,34800,1.0,34800.0,False,TRUE,5888,VERIFIED
CAP Sleep Database v1.0.0,rbd6.edf,https://physionet.org/files/capslpdb/1.0.0/rbd6.edf,TRUE,bytes 0-4351/552337952,16,ROC-LOC|LOC-ROC|F2-F4|F4-C4|C4-P4|P4-O2|C4-A1|EMG1-EMG2|ECG1-ECG2|TERMISTORE|TORACE|ADDOME|Dx1-DX2|SX1-SX2|HR|SpO2,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|mV|uV|uV|BPM|%,512|512|512|512|512|512|512|256|512|64|64|64|256|256|1|1,512|512|512|512|512|512|512|256|512|64|64|64|256|256|1|1,54600,1.0,54600.0,False,TRUE,4352,VERIFIED
CAP Sleep Database v1.0.0,rbd7.edf,https://physionet.org/files/capslpdb/1.0.0/rbd7.edf,TRUE,bytes 0-6143/465656990,23,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|TORACE|ADDOME|Position|SAO2|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|uV|uV|uV|uV|mV|mV||%|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|64|64|64|1|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|64|64|64|1|1|128|1,31621,1.0,31621.0,False,TRUE,6144,VERIFIED
CAP Sleep Database v1.0.0,rbd8.edf,https://physionet.org/files/capslpdb/1.0.0/rbd8.edf,TRUE,bytes 0-5887/470368046,22,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|TORACE|ADDOME|SAO2|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|mV|uV|uV|uV|uV|mV|mV|%|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|64|64|1|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|64|64|1|1|128|1,32221,1.0,32221.0,False,TRUE,5888,VERIFIED
CAP Sleep Database v1.0.0,rbd9.edf,https://physionet.org/files/capslpdb/1.0.0/rbd9.edf,TRUE,bytes 0-5375/508587038,20,ROC-LOC|Fp2-F4|F4-C4|C4-P4|P4-O2|FP1-F3|F3-C3|C3-P3|P3-O1|C4-A1|EMG1-EMG2|ECG1-ECG2|DX1-DX2|SX1-SX2|F8-T4|F7-T3|SAO2|HR|PLETH|STAT,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|mV|uV|uV|uV|uV|%|BPM|mV|,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|1|1|128|1,128|512|512|512|512|512|512|512|512|512|512|512|128|128|512|512|1|1|128|1,35461,1.0,35461.0,False,TRUE,5376,VERIFIED
