subject_id,channel_index,raw_hex,raw_repr,decoded_before_cleanup,decoded_after_padding_strip,transducer_raw_hex,transducer_repr,transducer,physical_dimension,physical_min,physical_max,digital_min,digital_max,samples_per_record
I001,18,44433820202020202020202020202020,b'DC8             ',DC8             ,DC8,42504f535f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'BPOS_Channel                                                                    ',BPOS_Channel,,0,200,-32768,32767,50
I002,0,4c4f432d413220202020202020202020,b'LOC-A2          ',LOC-A2          ,LOC-A2,454f475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG_Channel                                                                     ',EOG_Channel,uV,-25,25,-32768,32767,400
I002,1,524f432d413120202020202020202020,b'ROC-A1          ',ROC-A1          ,ROC-A1,454f47325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG2_Channel                                                                    ',EOG2_Channel,uV,-25,25,-32768,32767,400
I002,2,46332d41322020202020202020202020,b'F3-A2           ',F3-A2           ,F3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I002,3,43332d41322020202020202020202020,b'C3-A2           ',C3-A2           ,C3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I002,4,4f312d41322020202020202020202020,b'O1-A2           ',O1-A2           ,O1-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I002,5,46342d41312020202020202020202020,b'F4-A1           ',F4-A1           ,F4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I002,6,43342d41312020202020202020202020,b'C4-A1           ',C4-A1           ,C4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I002,7,4f322d41312020202020202020202020,b'O2-A1           ',O2-A1           ,O2-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I002,8,58312020202020202020202020202020,b'X1              ',X1              ,X1,4368696e5f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Chin_Channel                                                                    ',Chin_Channel,uV,-101,101,-32768,32767,400
I002,9,58322020202020202020202020202020,b'X2              ',X2              ,X2,454b475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EKG_Channel                                                                     ',EKG_Channel,uV,-87,87,-32768,32767,400
I002,10,58332020202020202020202020202020,b'X3              ',X3              ,X3,4c65675f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg_Channel                                                                     ',Leg_Channel,uV,-39,39,-32768,32767,400
I002,11,58342020202020202020202020202020,b'X4              ',X4              ,X4,4c6567325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg2_Channel                                                                    ',Leg2_Channel,uV,-33,33,-32768,32767,400
I002,12,58352020202020202020202020202020,b'X5              ',X5              ,X5,536e6f72655f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Snore_Channel                                                                   ',Snore_Channel,uV,-612,612,-32768,32767,400
I002,13,58362020202020202020202020202020,b'X6              ',X6              ,X6,466c6f775f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow_Channel                                                                    ',Flow_Channel,uV,-21,21,-32768,32767,25
I002,14,44433320202020202020202020202020,b'DC3             ',DC3             ,DC3,466c6f77325f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow2_Channel                                                                   ',Flow2_Channel,uV,-3802,3802,-32768,32767,50
I002,15,58372020202020202020202020202020,b'X7              ',X7              ,X7,4566666f72745f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort_Channel                                                                  ',Effort_Channel,uV,-40,40,-32768,32767,50
I002,16,58382020202020202020202020202020,b'X8              ',X8              ,X8,4566666f7274325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort2_Channel                                                                 ',Effort2_Channel,uV,-40,40,-32768,32767,50
I002,17,53614f32202020202020202020202020,b'SaO2            ',SaO2            ,SaO2,53614f325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'SaO2_Channel                                                                    ',SaO2_Channel,%,0,100,-32768,32767,25
I002,18,44433820202020202020202020202020,b'DC8             ',DC8             ,DC8,42504f535f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'BPOS_Channel                                                                    ',BPOS_Channel,,0,200,-32768,32767,50
I003,0,4c4f432d413220202020202020202020,b'LOC-A2          ',LOC-A2          ,LOC-A2,454f475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG_Channel                                                                     ',EOG_Channel,uV,-25,25,-32768,32767,400
I003,1,524f432d413120202020202020202020,b'ROC-A1          ',ROC-A1          ,ROC-A1,454f47325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG2_Channel                                                                    ',EOG2_Channel,uV,-25,25,-32768,32767,400
I003,2,46332d41322020202020202020202020,b'F3-A2           ',F3-A2           ,F3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I003,3,43332d41322020202020202020202020,b'C3-A2           ',C3-A2           ,C3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I003,4,4f312d41322020202020202020202020,b'O1-A2           ',O1-A2           ,O1-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I003,5,46342d41312020202020202020202020,b'F4-A1           ',F4-A1           ,F4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I003,6,43342d41312020202020202020202020,b'C4-A1           ',C4-A1           ,C4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I003,7,4f322d41312020202020202020202020,b'O2-A1           ',O2-A1           ,O2-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I003,8,58312020202020202020202020202020,b'X1              ',X1              ,X1,4368696e5f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Chin_Channel                                                                    ',Chin_Channel,uV,-101,101,-32768,32767,400
I003,9,58322020202020202020202020202020,b'X2              ',X2              ,X2,454b475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EKG_Channel                                                                     ',EKG_Channel,uV,-87,87,-32768,32767,400
I003,10,58332020202020202020202020202020,b'X3              ',X3              ,X3,4c65675f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg_Channel                                                                     ',Leg_Channel,uV,-39,39,-32768,32767,400
I003,11,58342020202020202020202020202020,b'X4              ',X4              ,X4,4c6567325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg2_Channel                                                                    ',Leg2_Channel,uV,-33,33,-32768,32767,400
I003,12,58352020202020202020202020202020,b'X5              ',X5              ,X5,536e6f72655f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Snore_Channel                                                                   ',Snore_Channel,uV,-612,612,-32768,32767,400
I003,13,58362020202020202020202020202020,b'X6              ',X6              ,X6,466c6f775f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow_Channel                                                                    ',Flow_Channel,uV,-14,14,-32768,32767,25
I003,14,44433320202020202020202020202020,b'DC3             ',DC3             ,DC3,466c6f77325f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow2_Channel                                                                   ',Flow2_Channel,uV,-2879,2879,-32768,32767,50
I003,15,58372020202020202020202020202020,b'X7              ',X7              ,X7,4566666f72745f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort_Channel                                                                  ',Effort_Channel,uV,-142,142,-32768,32767,50
I003,16,58382020202020202020202020202020,b'X8              ',X8              ,X8,4566666f7274325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort2_Channel                                                                 ',Effort2_Channel,uV,-373,373,-32768,32767,50
I003,17,53614f32202020202020202020202020,b'SaO2            ',SaO2            ,SaO2,53614f325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'SaO2_Channel                                                                    ',SaO2_Channel,%,0,100,-32768,32767,25
I003,18,44433820202020202020202020202020,b'DC8             ',DC8             ,DC8,42504f535f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'BPOS_Channel                                                                    ',BPOS_Channel,,0,200,-32768,32767,50
I004,0,4c4f432d413220202020202020202020,b'LOC-A2          ',LOC-A2          ,LOC-A2,454f475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG_Channel                                                                     ',EOG_Channel,uV,-25,25,-32768,32767,400
I004,1,524f432d413120202020202020202020,b'ROC-A1          ',ROC-A1          ,ROC-A1,454f47325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG2_Channel                                                                    ',EOG2_Channel,uV,-25,25,-32768,32767,400
I004,2,46332d41322020202020202020202020,b'F3-A2           ',F3-A2           ,F3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I004,3,43332d41322020202020202020202020,b'C3-A2           ',C3-A2           ,C3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I004,4,4f312d41322020202020202020202020,b'O1-A2           ',O1-A2           ,O1-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I004,5,46342d41312020202020202020202020,b'F4-A1           ',F4-A1           ,F4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I004,6,43342d41312020202020202020202020,b'C4-A1           ',C4-A1           ,C4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I004,7,4f322d41312020202020202020202020,b'O2-A1           ',O2-A1           ,O2-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I004,8,58312020202020202020202020202020,b'X1              ',X1              ,X1,4368696e5f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Chin_Channel                                                                    ',Chin_Channel,uV,-101,101,-32768,32767,400
I004,9,58322020202020202020202020202020,b'X2              ',X2              ,X2,454b475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EKG_Channel                                                                     ',EKG_Channel,uV,-87,87,-32768,32767,400
I004,10,58332020202020202020202020202020,b'X3              ',X3              ,X3,4c65675f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg_Channel                                                                     ',Leg_Channel,uV,-39,39,-32768,32767,400
I004,11,58342020202020202020202020202020,b'X4              ',X4              ,X4,4c6567325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg2_Channel                                                                    ',Leg2_Channel,uV,-33,33,-32768,32767,400
I004,12,58352020202020202020202020202020,b'X5              ',X5              ,X5,536e6f72655f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Snore_Channel                                                                   ',Snore_Channel,uV,-612,612,-32768,32767,400
I004,13,58362020202020202020202020202020,b'X6              ',X6              ,X6,466c6f775f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow_Channel                                                                    ',Flow_Channel,uV,-25,25,-32768,32767,25
I004,14,44433320202020202020202020202020,b'DC3             ',DC3             ,DC3,466c6f77325f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow2_Channel                                                                   ',Flow2_Channel,uV,-5791,5791,-32768,32767,50
I004,15,58372020202020202020202020202020,b'X7              ',X7              ,X7,4566666f72745f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort_Channel                                                                  ',Effort_Channel,uV,-51,51,-32768,32767,50
I004,16,58382020202020202020202020202020,b'X8              ',X8              ,X8,4566666f7274325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort2_Channel                                                                 ',Effort2_Channel,uV,-102,102,-32768,32767,50
I004,17,53614f32202020202020202020202020,b'SaO2            ',SaO2            ,SaO2,53614f325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'SaO2_Channel                                                                    ',SaO2_Channel,%,0,100,-32768,32767,25
I004,18,44433820202020202020202020202020,b'DC8             ',DC8             ,DC8,42504f535f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'BPOS_Channel                                                                    ',BPOS_Channel,,0,200,-32768,32767,50
I005,0,4c4f432d413220202020202020202020,b'LOC-A2          ',LOC-A2          ,LOC-A2,454f475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG_Channel                                                                     ',EOG_Channel,uV,-25,25,-32768,32767,400
I005,1,524f432d413120202020202020202020,b'ROC-A1          ',ROC-A1          ,ROC-A1,454f47325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG2_Channel                                                                    ',EOG2_Channel,uV,-25,25,-32768,32767,400
I005,2,46332d41322020202020202020202020,b'F3-A2           ',F3-A2           ,F3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I005,3,43332d41322020202020202020202020,b'C3-A2           ',C3-A2           ,C3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I005,4,4f312d41322020202020202020202020,b'O1-A2           ',O1-A2           ,O1-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I005,5,46342d41312020202020202020202020,b'F4-A1           ',F4-A1           ,F4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I005,6,43342d41312020202020202020202020,b'C4-A1           ',C4-A1           ,C4-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I005,7,4f322d41312020202020202020202020,b'O2-A1           ',O2-A1           ,O2-A1,454547325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG2_Channel                                                                    ',EEG2_Channel,uV,-25,25,-32768,32767,400
I005,8,58312020202020202020202020202020,b'X1              ',X1              ,X1,4368696e5f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Chin_Channel                                                                    ',Chin_Channel,uV,-101,101,-32768,32767,400
I005,9,58322020202020202020202020202020,b'X2              ',X2              ,X2,454b475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EKG_Channel                                                                     ',EKG_Channel,uV,-87,87,-32768,32767,400
I005,10,58332020202020202020202020202020,b'X3              ',X3              ,X3,4c65675f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg_Channel                                                                     ',Leg_Channel,uV,-39,39,-32768,32767,400
I005,11,58342020202020202020202020202020,b'X4              ',X4              ,X4,4c6567325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Leg2_Channel                                                                    ',Leg2_Channel,uV,-33,33,-32768,32767,400
I005,12,58352020202020202020202020202020,b'X5              ',X5              ,X5,536e6f72655f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Snore_Channel                                                                   ',Snore_Channel,uV,-612,612,-32768,32767,400
I005,13,58362020202020202020202020202020,b'X6              ',X6              ,X6,466c6f775f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow_Channel                                                                    ',Flow_Channel,uV,-5,5,-32768,32767,25
I005,14,44433320202020202020202020202020,b'DC3             ',DC3             ,DC3,466c6f77325f4368616e6e656c20202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Flow2_Channel                                                                   ',Flow2_Channel,uV,-1177,1177,-32768,32767,50
I005,15,58372020202020202020202020202020,b'X7              ',X7              ,X7,4566666f72745f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort_Channel                                                                  ',Effort_Channel,uV,-142,142,-32768,32767,50
I005,16,58382020202020202020202020202020,b'X8              ',X8              ,X8,4566666f7274325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'Effort2_Channel                                                                 ',Effort2_Channel,uV,-373,373,-32768,32767,50
I005,17,53614f32202020202020202020202020,b'SaO2            ',SaO2            ,SaO2,53614f325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'SaO2_Channel                                                                    ',SaO2_Channel,%,0,100,-32768,32767,25
I005,18,44433820202020202020202020202020,b'DC8             ',DC8             ,DC8,42504f535f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'BPOS_Channel                                                                    ',BPOS_Channel,,0,200,-32768,32767,50
I006,0,4c4f432d413220202020202020202020,b'LOC-A2          ',LOC-A2          ,LOC-A2,454f475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG_Channel                                                                     ',EOG_Channel,uV,-25,25,-32768,32767,400
I006,1,524f432d413120202020202020202020,b'ROC-A1          ',ROC-A1          ,ROC-A1,454f47325f4368616e6e656c2020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EOG2_Channel                                                                    ',EOG2_Channel,uV,-25,25,-32768,32767,400
I006,2,46332d41322020202020202020202020,b'F3-A2           ',F3-A2           ,F3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
I006,3,43332d41322020202020202020202020,b'C3-A2           ',C3-A2           ,C3-A2,4545475f4368616e6e656c202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020202020,b'EEG_Channel                                                                     ',EEG_Channel,uV,-25,25,-32768,32767,400
