citation_key,title,authors,venue,year,DOI,publication_type,peer_reviewed,category,exact_relevance,manuscript_section,claim_supported,verification_source,verification_status
yang2023sleepclip,"Sleep CLIP: A Multimodal Sleep Staging Model Based on Sleep Signals and Sleep Staging Labels","Weijia Yang; Yuxian Wang; Jiancheng Hu; Tuming Yuan",Sensors,2023,10.3390/s23177341,journal-article,yes,multimodal sleep staging,Multimodal sleep signal/label representation,Related Work,Multimodal context,Crossref DOI metadata,VERIFIED_AND_USED
geifman2019selectivenet,"SelectiveNet: A Deep Neural Network with an Integrated Reject Option","Yonatan Geifman; Ran El-Yaniv",CVPR,2019,DOI_NOT_AVAILABLE,conference-paper,yes,selective prediction,Integrated reject option and coverage-risk tradeoff,Related Work,Selective prediction context,Official CVPR proceedings metadata,VERIFIED_AND_USED
guo2017calibration,"On Calibration of Modern Neural Networks","Chuan Guo; Geoff Pleiss; Yu Sun; Kilian Q. Weinberger",ICML,2017,10.1145/3065386.3065389,conference-paper,yes,calibration,Neural-network confidence calibration,Related Work,Calibration is distinct from accuracy,Crossref/ACM metadata,VERIFIED_AND_USED
thagaard2020uncertaintyshift,"Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?","Jeppe Thagaard; Søren Hauberg; Bert van der Vegt; Thomas Ebstrup; Johan D. Hansen; Anders B. Dahl",MICCAI,2020,10.1007/978-3-030-59710-8_80,conference-paper,yes,uncertainty under shift,Uncertainty evaluation under real dataset shifts,Related Work,Shift can affect uncertainty,Springer/Crossref metadata,VERIFIED_AND_USED
prinster2022jaws,"JAWS: Auditing Predictive Uncertainty Under Covariate Shift","Drew Prinster; Anqi Liu; Suchi Saria",NeurIPS,2022,10.52202/068431-2602,conference-paper,yes,uncertainty under shift,Auditing uncertainty under covariate shift,Related Work,Shifted uncertainty audit motivation,Crossref/NeurIPS metadata,VERIFIED_AND_USED
dey2023conformalordinal,"Conformal Prediction Sets for Ordinal Classification","Prasenjit Dey; Srujana Merugu; Sivaramakrishnan R. Kaveri",NeurIPS,2023,10.52202/075280-0041,conference-paper,yes,conformal prediction,Classification prediction sets with ordinal structure,Related Work,Prediction-set context,Crossref/NeurIPS metadata,VERIFIED_AND_USED
angelopoulos2023conformal,"Conformal Prediction: A Gentle Introduction","Anastasios N. Angelopoulos; Stephen Bates",Foundations and Trends in Machine Learning,2023,10.1561/2200000101,journal-article/tutorial,yes,conformal prediction,Exchangeability and coverage interpretation,Related Work,Conformal assumptions and limitations,Crossref DOI metadata,VERIFIED_AND_USED
sleepdg_candidate,"SleepDG",NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,cross-dataset/domain generalization,Exact candidate could not be verified from authoritative metadata in this pass,Related Work,,Crossref exact-title search,NOT_VERIFIED
cimsleepnet_candidate,"CIMSleepNet",NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,missing modalities,Exact candidate could not be verified from authoritative metadata in this pass,Related Work,,Crossref exact-title search,NOT_VERIFIED
upass_candidate,"U-PASS",NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,sleep uncertainty,Exact candidate could not be verified from authoritative metadata in this pass,Related Work,,Crossref exact-title search,NOT_VERIFIED
dream_candidate,"DREAM",NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,sleep uncertainty,Exact candidate could not be verified from authoritative metadata in this pass,Related Work,,Crossref exact-title search,NOT_VERIFIED
rmssc_candidate,"RMSSC",NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,missing modalities,Exact candidate could not be verified from authoritative metadata in this pass,Related Work,,Crossref exact-title search,NOT_VERIFIED
sf_uida_candidate,"SF-UIDA",NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,cross-dataset/domain generalization,Exact candidate could not be verified from authoritative metadata in this pass,Related Work,,Crossref exact-title search,NOT_VERIFIED
