dataset,recording_path,url,range_supported,content_range,signal_count,labels,physical_dimensions,sampling_hz,samples_per_record,records,record_duration_s,duration_s,edf_plus,patient_header_redacted,header_bytes_inspected,status
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4051E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,TRUE,bytes 0-2047/49651328,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2722,30.0,81660.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4052E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4052E0-PSG.edf,TRUE,bytes 0-2047/51183488,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2806,30.0,84180.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4061E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,TRUE,bytes 0-2047/50526848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2770,30.0,83100.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4062E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4062E0-PSG.edf,TRUE,bytes 0-2047/51621248,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2830,30.0,84900.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4071E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,TRUE,bytes 0-2047/51256448,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2810,30.0,84300.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4072E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4072E0-PSG.edf,TRUE,bytes 0-2047/50526848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2770,30.0,83100.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4081E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4081E0-PSG.edf,TRUE,bytes 0-2047/51001088,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2796,30.0,83880.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4082E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4082E0-PSG.edf,TRUE,bytes 0-2047/48046208,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2634,30.0,79020.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4091E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4091E0-PSG.edf,TRUE,bytes 0-2047/49833728,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2732,30.0,81960.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4092E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4092E0-PSG.edf,TRUE,bytes 0-2047/52131968,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2858,30.0,85740.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4101E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4101E0-PSG.edf,TRUE,bytes 0-2047/49614848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2720,30.0,81600.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4102E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,TRUE,bytes 0-2047/52131968,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2858,30.0,85740.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4111E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,TRUE,bytes 0-2047/48192128,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2642,30.0,79260.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4112E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,TRUE,bytes 0-2047/50709248,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2780,30.0,83400.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4121E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,TRUE,bytes 0-2047/50818688,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2786,30.0,83580.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4122E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,TRUE,bytes 0-2047/47535488,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2606,30.0,78180.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4131E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,TRUE,bytes 0-2047/51329408,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2814,30.0,84420.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4141E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,TRUE,bytes 0-2047/50271488,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2756,30.0,82680.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4142E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4142E0-PSG.edf,TRUE,bytes 0-2047/50599808,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2774,30.0,83220.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4151E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4151E0-PSG.edf,TRUE,bytes 0-2047/47790848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2620,30.0,78600.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4152E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4152E0-PSG.edf,TRUE,bytes 0-2047/52241408,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2864,30.0,85920.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4161E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4161E0-PSG.edf,TRUE,bytes 0-2047/47900288,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2626,30.0,78780.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4162E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4162E0-PSG.edf,TRUE,bytes 0-2047/50198528,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2752,30.0,82560.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4171E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4171E0-PSG.edf,TRUE,bytes 0-2047/50016128,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2742,30.0,82260.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4172E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4172E0-PSG.edf,TRUE,bytes 0-2047/49687808,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2724,30.0,81720.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4181E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4181E0-PSG.edf,TRUE,bytes 0-2047/50271488,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2756,30.0,82680.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4182E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4182E0-PSG.edf,TRUE,bytes 0-2047/51840128,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2842,30.0,85260.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4191E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4191E0-PSG.edf,TRUE,bytes 0-2047/50599808,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2774,30.0,83220.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4192E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4192E0-PSG.edf,TRUE,bytes 0-2047/47608448,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2610,30.0,78300.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4201E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4201E0-PSG.edf,TRUE,bytes 0-2047/51147008,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2804,30.0,84120.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4202E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4202E0-PSG.edf,TRUE,bytes 0-2047/48702848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2670,30.0,80100.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4211E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4211E0-PSG.edf,TRUE,bytes 0-2047/51256448,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2810,30.0,84300.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4212E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4212E0-PSG.edf,TRUE,bytes 0-2047/49140608,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2694,30.0,80820.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4221E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4221E0-PSG.edf,TRUE,bytes 0-2047/49250048,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2700,30.0,81000.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4222E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4222E0-PSG.edf,TRUE,bytes 0-2047/50344448,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2760,30.0,82800.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4231E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4231E0-PSG.edf,TRUE,bytes 0-2047/50089088,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2746,30.0,82380.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4232E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4232E0-PSG.edf,TRUE,bytes 0-2047/48155648,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2640,30.0,79200.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4241E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4241E0-PSG.edf,TRUE,bytes 0-2047/49286528,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2702,30.0,81060.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4242E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4242E0-PSG.edf,TRUE,bytes 0-2047/49432448,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2710,30.0,81300.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4251E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4251E0-PSG.edf,TRUE,bytes 0-2047/50344448,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2760,30.0,82800.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4252E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4252E0-PSG.edf,TRUE,bytes 0-2047/48629888,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2666,30.0,79980.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4261F0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4261F0-PSG.edf,TRUE,bytes 0-2047/51074048,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2800,30.0,84000.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4262F0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4262F0-PSG.edf,TRUE,bytes 0-2047/49614848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV|DegC|,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2720,30.0,81600.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4271F0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4271F0-PSG.edf,TRUE,bytes 0-2047/44507648,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2440,30.0,73200.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4272F0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4272F0-PSG.edf,TRUE,bytes 0-2047/52350848,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2870,30.0,86100.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4281G0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4281G0-PSG.edf,TRUE,bytes 0-2047/50855168,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2788,30.0,83640.0,False,TRUE,2048,VERIFIED
Sleep-EDF Expanded v1.0.0,sleep-cassette/SC4282G0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4282G0-PSG.edf,TRUE,bytes 0-2047/51329408,7,EEG Fpz-Cz|EEG Pz-Oz|EOG horizontal|Resp oro-nasal|EMG submental|Temp rectal|Event marker,uV|uV|uV||uV||,100|100|100|1|1|1|1,3000|3000|3000|30|30|30|30,2814,30.0,84420.0,False,TRUE,2048,VERIFIED
