phase,dataset,source_role,purpose,operation,subject_id,recording_id,path
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_00,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_02,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_14,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_16,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_30,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_34,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_37,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_43,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_52,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_53,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_58,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C1.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_00,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_02,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_14,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_16,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_30,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_34,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_37,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_43,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_52,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_53,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,sleep_edf_sc,TEST,evaluation_inference,evaluation_inference,SC_58,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C2.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I001,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I002,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I003,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I004,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I005,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I006,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I007,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I008,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I009,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I010,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I011,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I012,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I013,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I014,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I015,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I016,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I017,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I018,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I019,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I020,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I021,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I022,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I023,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I024,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I025,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I026,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I027,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I028,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I029,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I030,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I031,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I032,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I033,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I034,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I035,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I036,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I037,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I038,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I039,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I041,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I042,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I043,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I044,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I045,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I046,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I047,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I048,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I049,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I050,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I051,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I052,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I053,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I054,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I055,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I056,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I057,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I058,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I059,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I060,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I061,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I062,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I063,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I064,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I065,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I066,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I067,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I068,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I069,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I070,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I071,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I072,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I073,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I074,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I075,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I076,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I077,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I078,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I079,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I080,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I081,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I082,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I083,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I084,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I085,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I086,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I087,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I088,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I089,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I090,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I091,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I092,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I093,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I094,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I095,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I096,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I097,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I098,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I099,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I100,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C3.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I001,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I002,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I003,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I004,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I005,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I006,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I007,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I008,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I009,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I010,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I011,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I012,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I013,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I014,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I015,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I016,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I017,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
PHASE_B,isruc_s1,COMPLETE_TARGET,evaluation_inference,evaluation_inference,I018,ALL,artifacts/predictions/b0/D1_SLEEPEDF_TO_ISRUC/seed_17/C4.npz
