dataset,path,source_url,bytes,sha256,acquired_utc,dataset_version,provider_distribution,status,failure_code
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I003_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I003_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_eeg.edf,154185620,92c2dc2efde9a811b4b5e458bc20f184493fc8af58077f509e1220407c1ddef7,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I003_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_eeg.json,467,be257cdad5dc2e7f185e3e3efc51a58ac65c32e051c08777778c7145da10f4e1,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I003_task-sleep_events.json,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_events.json,991,13d4e36ddc6018575ecbca3eca903363bf218e5b7d733a3302b8ca06c4c8089b,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I003_task-sleep_events.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I003/eeg/sub-I003_task-sleep_events.tsv,50689,b50f39d59469e3a5325d19a7acc6e419c77fb35ff92d491940692e2f166ede33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I004_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I004/eeg/sub-I004_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I004_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-I004/eeg/sub-I004_task-sleep_eeg.edf,157455620,bc0c2b2ae719464a8cafe7cf4ad70639d14951a69dd310b63c55592bb99bbfce,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I004_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-I004/eeg/sub-I004_task-sleep_eeg.json,467,cc40cdfbc6f39c9470efb129c1f15df92d0dd0a04ada235ceceb329f5675eace,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I004_task-sleep_events.json,https://data.nemar.org/nm000111/v1.0.1/sub-I004/eeg/sub-I004_task-sleep_events.json,991,13d4e36ddc6018575ecbca3eca903363bf218e5b7d733a3302b8ca06c4c8089b,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I004_task-sleep_events.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I004/eeg/sub-I004_task-sleep_events.tsv,52008,18d22442161c5be72cf2262e05a0aa8e96ea3818dd1af135fb3a06804dff9d80,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I005_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I005/eeg/sub-I005_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I005_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-I005/eeg/sub-I005_task-sleep_eeg.edf,143067620,8c666ae94531f0dfad5301f09a3be87a13af813209166a703240375ec6803b2d,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I005_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-I005/eeg/sub-I005_task-sleep_eeg.json,467,7000882eddf0a579acae67bc2b5dc6a31c391ca5ef4579a388af17df93baa3e3,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I005_task-sleep_events.json,https://data.nemar.org/nm000111/v1.0.1/sub-I005/eeg/sub-I005_task-sleep_events.json,991,13d4e36ddc6018575ecbca3eca903363bf218e5b7d733a3302b8ca06c4c8089b,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/isruc-nemar/v1.0.1/sub-I005_task-sleep_events.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I005/eeg/sub-I005_task-sleep_events.tsv,46996,bfbbe79b208efe97c451d042a63e80d26b79b91b33f5ac63e38bcde3ae049d1a,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/dataset_description.json,https://data.nemar.org/nm000111/v1.0.1/sub-dataset_description.json/eeg/dataset_description.json,659,f915d6cf3f7747137745cb38dc0315642b305896dcf1d2a286dfb375b77fdf02,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/manifest.json,https://data.nemar.org/nm000111/v1.0.1/sub-manifest.json/eeg/manifest.json,349554,c6ebfa317319d2e5f233016f0b1876ad005d137599fd980056962421a9f24635,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/participants.json,https://data.nemar.org/nm000111/v1.0.1/sub-participants.json/eeg/participants.json,4725,59f7736fe9e8ea418d7c7eb032d47f828e6844994e7dcafa92f92187a40c8621,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/participants.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-participants.tsv/eeg/participants.tsv,17826,f2d795f1c99624217ee2eb84ed43f3aa5148b5016661332cb2c8a6c2bae67359,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-I001_eeg_sub-I001_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-I001_eeg_sub-I001/eeg/sub-I001_eeg_sub-I001_task-sleep_eeg.edf,2048,64075d32aaa5df1873597791db00fa767581ed726c6fe314d2d18a8bd9c49176,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-I001_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-I001_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_eeg.json,467,66ee7c722568ee3e2bf76afa5ca0cde39ea0d105411925b620d2977c919835f5,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-I001_task-sleep_events.json,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_events.json,991,13d4e36ddc6018575ecbca3eca903363bf218e5b7d733a3302b8ca06c4c8089b,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-I001_task-sleep_events.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-I001/eeg/sub-I001_task-sleep_events.tsv,30026,f160f28d6c069d630026eb9ac757e88f358eb6338f76895124d1bff333a13b2a,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-II001_ses-1_eeg_sub-II001_ses-1_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-II001_ses-1_eeg_sub-II001_ses-1/eeg/sub-II001_ses-1_eeg_sub-II001_ses-1_task-sleep_eeg.edf,2048,e03a6dd30ebfff9d9b12dd857be2e5799854ec2813585920e43165dd5da2d277,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-II001_ses-1_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-II001_ses-1/eeg/sub-II001_ses-1_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-II001_ses-1_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-II001_ses-1/eeg/sub-II001_ses-1_task-sleep_eeg.json,467,7c52dd8d8813c234567f66032c027265d99d7ba6fb1f6e627e378d10be74bdef,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-II001_ses-2_eeg_sub-II001_ses-2_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-II001_ses-2_eeg_sub-II001_ses-2/eeg/sub-II001_ses-2_eeg_sub-II001_ses-2_task-sleep_eeg.edf,2048,b9f88cb4bebe4acca5e6dc08c75dcae7692c1154e8080efbafe9bcd5c65f44dd,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-II001_ses-2_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-II001_ses-2/eeg/sub-II001_ses-2_task-sleep_channels.tsv,1268,8a28096dae8f4ae510c23d5371e55568b84bce1644f99ddc8d891abe1816f4db,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-II001_ses-2_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-II001_ses-2/eeg/sub-II001_ses-2_task-sleep_eeg.json,467,af76ea7e7b4a43f42ed87d526eb3bc54cd82755d321fe8e261d25e3fb5c571d8,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-III001_eeg_sub-III001_task-sleep_eeg.edf,https://data.nemar.org/nm000111/v1.0.1/sub-III001_eeg_sub-III001/eeg/sub-III001_eeg_sub-III001_task-sleep_eeg.edf,2048,5a115911bec014942797c3141ebaacf72515276c6459f85567630da80fb95b6d,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-III001_task-sleep_channels.tsv,https://data.nemar.org/nm000111/v1.0.1/sub-III001/eeg/sub-III001_task-sleep_channels.tsv,1212,29d00eab5b0a63dd958e0741edc10c033c605bd07c05b0572e294be6a5a49d33,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/representative/sub-III001_task-sleep_eeg.json,https://data.nemar.org/nm000111/v1.0.1/sub-III001/eeg/sub-III001_task-sleep_eeg.json,467,f2569f760e730943756b8959dc730d3698f96f699458231c5cb790e415b43328,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
isruc_s1,data/raw/metadata/isruc-nemar/v1.0.1/scans.json,https://data.nemar.org/nm000111/v1.0.1/sub-scans.json/eeg/scans.json,435,11a8b4cc2bf2c6093ce0f5a0cafe7ab1ee43b092decf3e9395becb3d28aaadcd,2026-09-01,v1.0.1,NEMAR_BIDS_DERIVATIVE,ACQUIRED,
sleep_edf_sc,data/raw/metadata/sleep-edfx/1.0.0/SC4001EC-Hypnogram.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001EC-Hypnogram.edf,4620,a4cf67694ade1b52a0ddd06d5817fd45d2d3e8bac5302f640f3e9cfbbf12a996,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/metadata/sleep-edfx/1.0.0/SC4002EC-Hypnogram.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002EC-Hypnogram.edf,4580,76e8457a67eaaaa62c7f6cc6e098fbe1c0a9c3fa02fa90ea01460aa481d71e82,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/metadata/sleep-edfx/1.0.0/SC4011EH-Hypnogram.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011EH-Hypnogram.edf,3896,5bbf7b4ed8a95c8d20e4347b08c2ded2ee21e2dac4680dedf629795adc2edc83,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/metadata/sleep-edfx/1.0.0/SC4012EC-Hypnogram.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012EC-Hypnogram.edf,5082,b6323df8b3867a5fdbd80f0cd8233b59659ac496fa48c8c7277f48bfbb1d9a0e,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,48338048,2b40a18adf76af69a42d6db1f30f31d26b369f6d27ca0050ef30147ef892b131,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,51621248,bf91934cdbf7c9577bc91b411462ddb51c418e17e10a2f59a15feeeb917b0a5f,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,51110528,9e4c34f3f631275990fd7a2d61a24e998c7b03eb9b37ebe5cd7c8323d8310a15,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
sleep_edf_sc,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,32370688,49e90b4a60d8e6cabbc1e1c060aeedfce5203ea81e62cd9a85ad12be98916af7,2026-09-01,1.0.0,ORIGINAL_PROVIDER,ACQUIRED,
