subject_id,schema_fingerprint,signal_count,channel_labels,samples_per_record,physical_dimensions
I012,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I013,9e5b6c19b6045ece92c38ea2a7961522a9003ca6b74a43df03c924dd653d748e,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I014,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I015,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I016,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I017,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I018,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I019,448ab5eae947e4a9cf9522f84b444a839bcf3dd04acafa2810f6cef94e4a2fcd,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|400|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I020,448ab5eae947e4a9cf9522f84b444a839bcf3dd04acafa2810f6cef94e4a2fcd,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|400|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I021,448ab5eae947e4a9cf9522f84b444a839bcf3dd04acafa2810f6cef94e4a2fcd,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|400|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I022,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I023,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I024,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I025,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I026,0edc8d54bb58163ab46c5cc194fd5d68a1c16e5327bf0d5728a0bc4e07960196,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|50|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I027,14d9b284c40b393932fb5580f357b98a5da617c2cfdced24572a5bbf91a767ca,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I028,448ab5eae947e4a9cf9522f84b444a839bcf3dd04acafa2810f6cef94e4a2fcd,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|400|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I029,14d9b284c40b393932fb5580f357b98a5da617c2cfdced24572a5bbf91a767ca,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I030,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I031,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I032,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I033,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I034,242366e569c7050ece9a2ddfcb687f4acf69a9a6af2a1ea6bd4924d672d4fab5,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02,400|400|400|400|400|400|400|400|400|400|400|400|400|25|25|50|50|25|25,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
I035,448ab5eae947e4a9cf9522f84b444a839bcf3dd04acafa2810f6cef94e4a2fcd,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8,400|400|400|400|400|400|400|400|400|400|400|400|400|25|400|50|50|25|50,uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|uV|%|
