subject_id,channel_index,label_raw_hex,label_repr,transducer,physical_dimension,physical_min,physical_max,digital_min,digital_max,samples_per_record,signal_count,header_length,record_duration
I002,7,4f322d41312020202020202020202020,b'O2-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I002,8,58312020202020202020202020202020,b'X1              ',Chin_Channel,uV,-101,101,-32768,32767,400,19,5120,2.0
I002,9,58322020202020202020202020202020,b'X2              ',EKG_Channel,uV,-87,87,-32768,32767,400,19,5120,2.0
I002,10,58332020202020202020202020202020,b'X3              ',Leg_Channel,uV,-39,39,-32768,32767,400,19,5120,2.0
I002,11,58342020202020202020202020202020,b'X4              ',Leg2_Channel,uV,-33,33,-32768,32767,400,19,5120,2.0
I002,12,58352020202020202020202020202020,b'X5              ',Snore_Channel,uV,-612,612,-32768,32767,400,19,5120,2.0
I002,13,58362020202020202020202020202020,b'X6              ',Flow_Channel,uV,-21,21,-32768,32767,25,19,5120,2.0
I002,14,44433320202020202020202020202020,b'DC3             ',Flow2_Channel,uV,-3802,3802,-32768,32767,50,19,5120,2.0
I002,15,58372020202020202020202020202020,b'X7              ',Effort_Channel,uV,-40,40,-32768,32767,50,19,5120,2.0
I002,16,58382020202020202020202020202020,b'X8              ',Effort2_Channel,uV,-40,40,-32768,32767,50,19,5120,2.0
I002,17,53614f32202020202020202020202020,b'SaO2            ',SaO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I002,18,44433820202020202020202020202020,b'DC8             ',BPOS_Channel,,0,200,-32768,32767,50,19,5120,2.0
I003,0,4c4f432d413220202020202020202020,b'LOC-A2          ',EOG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,1,524f432d413120202020202020202020,b'ROC-A1          ',EOG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,2,46332d41322020202020202020202020,b'F3-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,3,43332d41322020202020202020202020,b'C3-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,4,4f312d41322020202020202020202020,b'O1-A2           ',EEG_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,5,46342d41312020202020202020202020,b'F4-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,6,43342d41312020202020202020202020,b'C4-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,7,4f322d41312020202020202020202020,b'O2-A1           ',EEG2_Channel,uV,-25,25,-32768,32767,400,19,5120,2.0
I003,8,58312020202020202020202020202020,b'X1              ',Chin_Channel,uV,-101,101,-32768,32767,400,19,5120,2.0
I003,9,58322020202020202020202020202020,b'X2              ',EKG_Channel,uV,-87,87,-32768,32767,400,19,5120,2.0
I003,10,58332020202020202020202020202020,b'X3              ',Leg_Channel,uV,-39,39,-32768,32767,400,19,5120,2.0
I003,11,58342020202020202020202020202020,b'X4              ',Leg2_Channel,uV,-33,33,-32768,32767,400,19,5120,2.0
I003,12,58352020202020202020202020202020,b'X5              ',Snore_Channel,uV,-612,612,-32768,32767,400,19,5120,2.0
I003,13,58362020202020202020202020202020,b'X6              ',Flow_Channel,uV,-14,14,-32768,32767,25,19,5120,2.0
I003,14,44433320202020202020202020202020,b'DC3             ',Flow2_Channel,uV,-2879,2879,-32768,32767,50,19,5120,2.0
I003,15,58372020202020202020202020202020,b'X7              ',Effort_Channel,uV,-142,142,-32768,32767,50,19,5120,2.0
I003,16,58382020202020202020202020202020,b'X8              ',Effort2_Channel,uV,-373,373,-32768,32767,50,19,5120,2.0
I003,17,53614f32202020202020202020202020,b'SaO2            ',SaO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I003,18,44433820202020202020202020202020,b'DC8             ',BPOS_Channel,,0,200,-32768,32767,50,19,5120,2.0
I011,0,45312d4d322020202020202020202020,b'E1-M2           ',EOG_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,1,45322d4d312020202020202020202020,b'E2-M1           ',EOG2_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,2,46332d4d322020202020202020202020,b'F3-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,3,43332d4d322020202020202020202020,b'C3-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,4,4f312d4d322020202020202020202020,b'O1-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,5,46342d4d312020202020202020202020,b'F4-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,6,43342d4d312020202020202020202020,b'C4-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,7,4f322d4d312020202020202020202020,b'O2-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,24,6400,2.0
I011,8,58312020202020202020202020202020,b'X1              ',Chin_Channel,uV,-9404,9404,-32768,32767,400,24,6400,2.0
I011,9,58322020202020202020202020202020,b'X2              ',EKG_Channel,uV,-9404,9404,-32768,32767,400,24,6400,2.0
I011,10,58332020202020202020202020202020,b'X3              ',Leg_Channel,uV,-9404,9404,-32768,32767,400,24,6400,2.0
I011,11,58342020202020202020202020202020,b'X4              ',Leg2_Channel,uV,-9404,9404,-32768,32767,400,24,6400,2.0
I011,12,58352020202020202020202020202020,b'X5              ',Snore_Channel,uV,-9404,9404,-32768,32767,400,24,6400,2.0
I011,13,58362020202020202020202020202020,b'X6              ',Flow_Channel,uV,-9404,9404,-32768,32767,25,24,6400,2.0
I011,14,44433420202020202020202020202020,b'DC4             ',Flow2_Channel,uV,-495,495,-32768,32767,400,24,6400,2.0
I011,15,58372020202020202020202020202020,b'X7              ',Effort_Channel,uV,-9404,9404,-32768,32767,50,24,6400,2.0
I011,16,58382020202020202020202020202020,b'X8              ',Effort2_Channel,uV,-9404,9404,-32768,32767,50,24,6400,2.0
I011,17,58372d58382020202020202020202020,b'X7-X8           ',Sum_Channel,,0,100,-32768,32767,50,24,6400,2.0
I011,18,53704f32202020202020202020202020,b'SpO2            ',SpO2_Channel,%,0,100,-32768,32767,25,24,6400,2.0
I011,19,44433820202020202020202020202020,b'DC8             ',BPOS_Channel,,0,100,-32768,32767,50,24,6400,2.0
I011,20,44433120202020202020202020202020,b'DC1             ',T-Pres Channel,uV,-494,494,-32768,32767,200,24,6400,2.0
I011,21,44433220202020202020202020202020,b'DC2             ',T-Flow Channel,uV,-1042,1042,-32768,32767,200,24,6400,2.0
I011,22,44433320202020202020202020202020,b'DC3             ',T-Leak Channel,uV,-622,622,-32768,32767,200,24,6400,2.0
I011,23,44433520202020202020202020202020,b'DC5             ',T-Vol Channel,uV,-509,509,-32768,32767,200,24,6400,2.0
I013,0,45312d4d322020202020202020202020,b'E1-M2           ',EOG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,1,45322d4d312020202020202020202020,b'E2-M1           ',EOG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,2,46332d4d322020202020202020202020,b'F3-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,3,43332d4d322020202020202020202020,b'C3-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,4,4f312d4d322020202020202020202020,b'O1-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,5,46342d4d312020202020202020202020,b'F4-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,6,43342d4d312020202020202020202020,b'C4-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,7,4f322d4d312020202020202020202020,b'O2-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I013,8,58312020202020202020202020202020,b'X1              ',Chin_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I013,9,58322020202020202020202020202020,b'X2              ',EKG_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I013,10,58332020202020202020202020202020,b'X3              ',Leg_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I013,11,58342020202020202020202020202020,b'X4              ',Leg2_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I013,12,58352020202020202020202020202020,b'X5              ',Snore_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I013,13,58362020202020202020202020202020,b'X6              ',Flow_Channel,uV,-9404,9404,-32768,32767,25,19,5120,2.0
I013,14,44433420202020202020202020202020,b'DC4             ',Flow2_Channel,uV,-223,223,-32768,32767,50,19,5120,2.0
I013,15,58372020202020202020202020202020,b'X7              ',Effort_Channel,uV,-9404,9404,-32768,32767,50,19,5120,2.0
I013,16,58382020202020202020202020202020,b'X8              ',Effort2_Channel,uV,-9404,9404,-32768,32767,50,19,5120,2.0
I013,17,53704f32202020202020202020202020,b'SpO2            ',SpO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I013,18,44433820202020202020202020202020,b'DC8             ',BPOS_Channel,,0,200,-32768,32767,50,19,5120,2.0
I014,0,45312d4d322020202020202020202020,b'E1-M2           ',EOG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,1,45322d4d312020202020202020202020,b'E2-M1           ',EOG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,2,46332d4d322020202020202020202020,b'F3-M2           ',EEG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,3,43332d4d322020202020202020202020,b'C3-M2           ',EEG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,4,4f312d4d322020202020202020202020,b'O1-M2           ',EEG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,5,46342d4d312020202020202020202020,b'F4-M1           ',EEG2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,6,43342d4d312020202020202020202020,b'C4-M1           ',EEG2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,7,4f322d4d312020202020202020202020,b'O2-M1           ',EEG2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,8,32342020202020202020202020202020,b'24              ',Chin_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,9,32352020202020202020202020202020,b'25              ',EKG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,10,32362020202020202020202020202020,b'26              ',Leg_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,11,32372020202020202020202020202020,b'27              ',Leg2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,12,32382020202020202020202020202020,b'28              ',Snore_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I014,13,32392020202020202020202020202020,b'29              ',Flow_Channel,uV,-5013,5013,-32768,32767,25,19,5120,2.0
I014,14,44433031202020202020202020202020,b'DC01            ',Flow2_Channel,uV,-327680,327680,-32768,32767,25,19,5120,2.0
I014,15,33302020202020202020202020202020,b'30              ',Effort_Channel,uV,-5013,5013,-32768,32767,50,19,5120,2.0
I014,16,33312020202020202020202020202020,b'31              ',Effort2_Channel,uV,-5013,5013,-32768,32767,50,19,5120,2.0
I014,17,53704f32202020202020202020202020,b'SpO2            ',SpO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I014,18,44433032202020202020202020202020,b'DC02            ',BPOS_Channel,,0,100,-32768,32767,25,19,5120,2.0
I017,0,45312d4d322020202020202020202020,b'E1-M2           ',EOG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,1,45322d4d312020202020202020202020,b'E2-M1           ',EOG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,2,46332d4d322020202020202020202020,b'F3-M2           ',EEG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,3,43332d4d322020202020202020202020,b'C3-M2           ',EEG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,4,4f312d4d322020202020202020202020,b'O1-M2           ',EEG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,5,46342d4d312020202020202020202020,b'F4-M1           ',EEG2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,6,43342d4d312020202020202020202020,b'C4-M1           ',EEG2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,7,4f322d4d312020202020202020202020,b'O2-M1           ',EEG2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,8,32342020202020202020202020202020,b'24              ',Chin_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,9,32352020202020202020202020202020,b'25              ',EKG_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,10,32362020202020202020202020202020,b'26              ',Leg_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,11,32372020202020202020202020202020,b'27              ',Leg2_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,12,32382020202020202020202020202020,b'28              ',Snore_Channel,uV,-5013,5013,-32768,32767,400,19,5120,2.0
I017,13,32392020202020202020202020202020,b'29              ',Flow_Channel,uV,-5013,5013,-32768,32767,25,19,5120,2.0
I017,14,44433031202020202020202020202020,b'DC01            ',Flow2_Channel,uV,-327680,327680,-32768,32767,25,19,5120,2.0
I017,15,33302020202020202020202020202020,b'30              ',Effort_Channel,uV,-5013,5013,-32768,32767,50,19,5120,2.0
I017,16,33312020202020202020202020202020,b'31              ',Effort2_Channel,uV,-5013,5013,-32768,32767,50,19,5120,2.0
I017,17,53704f32202020202020202020202020,b'SpO2            ',SpO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I017,18,44433032202020202020202020202020,b'DC02            ',BPOS_Channel,,0,100,-32768,32767,25,19,5120,2.0
I019,0,45312d4d322020202020202020202020,b'E1-M2           ',EOG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,1,45322d4d312020202020202020202020,b'E2-M1           ',EOG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,2,46332d4d322020202020202020202020,b'F3-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,3,43332d4d322020202020202020202020,b'C3-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,4,4f312d4d322020202020202020202020,b'O1-M2           ',EEG_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,5,46342d4d312020202020202020202020,b'F4-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,6,43342d4d312020202020202020202020,b'C4-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,7,4f322d4d312020202020202020202020,b'O2-M1           ',EEG2_Channel,uV,-2490,2490,-32768,32767,400,19,5120,2.0
I019,8,58312020202020202020202020202020,b'X1              ',Chin_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I019,9,58322020202020202020202020202020,b'X2              ',EKG_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I019,10,58332020202020202020202020202020,b'X3              ',Leg_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I019,11,58342020202020202020202020202020,b'X4              ',Leg2_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I019,12,58352020202020202020202020202020,b'X5              ',Snore_Channel,uV,-9404,9404,-32768,32767,400,19,5120,2.0
I019,13,58362020202020202020202020202020,b'X6              ',Flow_Channel,uV,-9404,9404,-32768,32767,25,19,5120,2.0
I019,14,44433420202020202020202020202020,b'DC4             ',Flow2_Channel,uV,-223,223,-32768,32767,400,19,5120,2.0
I019,15,58372020202020202020202020202020,b'X7              ',Effort_Channel,uV,-9404,9404,-32768,32767,50,19,5120,2.0
I019,16,58382020202020202020202020202020,b'X8              ',Effort2_Channel,uV,-9404,9404,-32768,32767,50,19,5120,2.0
I019,17,53704f32202020202020202020202020,b'SpO2            ',SpO2_Channel,%,0,100,-32768,32767,25,19,5120,2.0
I019,18,44433820202020202020202020202020,b'DC8             ',BPOS_Channel,,0,200,-32768,32767,50,19,5120,2.0
