key,metric,shape,v1_1_digest,v1_2_digest,exact_equal,status
D1_SLEEPEDF_TO_ISRUC_C1_coverage_0.1,0.1,"(2000,)",d0e291b67f4c001d2f779619e062f82fcadc74e37cf172138a55603941c5666a,d0e291b67f4c001d2f779619e062f82fcadc74e37cf172138a55603941c5666a,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_gap_0.1,0.1,"(2000,)",3ed5961e0d639db503f8fdea6d2c12ad7383efc2b7e264924d8ed280cf36568e,3ed5961e0d639db503f8fdea6d2c12ad7383efc2b7e264924d8ed280cf36568e,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_coverage_0.05,0.05,"(2000,)",d0e291b67f4c001d2f779619e062f82fcadc74e37cf172138a55603941c5666a,d0e291b67f4c001d2f779619e062f82fcadc74e37cf172138a55603941c5666a,True,PASS
D1_SLEEPEDF_TO_ISRUC_C1_gap_0.05,0.05,"(2000,)",e9a0943134d33aeb771ac1db86cdf215dbdef06059522fc68f607ed51ff2ab60,e9a0943134d33aeb771ac1db86cdf215dbdef06059522fc68f607ed51ff2ab60,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_macro-F1,macro-F1,"(2000,)",f182ff2d22bf6cc66f2444866123ba4ea0d3fa79ebf3d6fb74393e7172a3dcf3,f182ff2d22bf6cc66f2444866123ba4ea0d3fa79ebf3d6fb74393e7172a3dcf3,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_NLL,NLL,"(2000,)",35becaa4808170134264ea028b6ebb9ebd85004f0c9236a4b430a45757ad09b3,35becaa4808170134264ea028b6ebb9ebd85004f0c9236a4b430a45757ad09b3,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_Brier,Brier,"(2000,)",6927d00373476a54cdad0639a7c3bca2bff120178b2d218dbbbd0bdcac6b150c,6927d00373476a54cdad0639a7c3bca2bff120178b2d218dbbbd0bdcac6b150c,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_ERROR_AUROC,AUROC,"(2000,)",c288dfc1dd23ddab6045b90c94c8513fa9efa34acd2bdd069f29b51f5571a910,c288dfc1dd23ddab6045b90c94c8513fa9efa34acd2bdd069f29b51f5571a910,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_coverage_0.1,0.1,"(2000,)",0a87b3d7bcb0a8d48e41fe41da53720fd77126fe905152397e0551ba3acaae27,0a87b3d7bcb0a8d48e41fe41da53720fd77126fe905152397e0551ba3acaae27,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_gap_0.1,0.1,"(2000,)",dd0dc8405f3110067c6a8796fe73a533fdf990dd9db96349c44edd769eafc1fe,dd0dc8405f3110067c6a8796fe73a533fdf990dd9db96349c44edd769eafc1fe,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_coverage_0.05,0.05,"(2000,)",0a87b3d7bcb0a8d48e41fe41da53720fd77126fe905152397e0551ba3acaae27,0a87b3d7bcb0a8d48e41fe41da53720fd77126fe905152397e0551ba3acaae27,True,PASS
D1_SLEEPEDF_TO_ISRUC_C2_gap_0.05,0.05,"(2000,)",bba5ce4819987523e08ffe7d2f37f8a4ff6e39cae98e0143dfc58311af48eca4,bba5ce4819987523e08ffe7d2f37f8a4ff6e39cae98e0143dfc58311af48eca4,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_macro-F1,macro-F1,"(2000,)",da88b718e33d7cfde95d051d1ac7c5282b7e80c560f4690b841eeaed5ed72671,da88b718e33d7cfde95d051d1ac7c5282b7e80c560f4690b841eeaed5ed72671,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_NLL,NLL,"(2000,)",66d107f71cc3cedb3c6fe4cc9a65d3cad9984b7689910fa149ac68cd84126157,66d107f71cc3cedb3c6fe4cc9a65d3cad9984b7689910fa149ac68cd84126157,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_Brier,Brier,"(2000,)",4a740e236294cb44ac0f086510bcb81c658e91f66c565cc04302661c4bd75ab5,4a740e236294cb44ac0f086510bcb81c658e91f66c565cc04302661c4bd75ab5,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_ERROR_AUROC,AUROC,"(2000,)",0e7fa9aa836f122db5ab93987ac47b4cb4e4b76997320d58ebc892688829afed,0e7fa9aa836f122db5ab93987ac47b4cb4e4b76997320d58ebc892688829afed,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_coverage_0.1,0.1,"(2000,)",f29ccd304008c186e8b977c8ecda3870473eef84a790568229d6aeb661cd3deb,f29ccd304008c186e8b977c8ecda3870473eef84a790568229d6aeb661cd3deb,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_gap_0.1,0.1,"(2000,)",65677f5f88df2f935675b420ee3f036b7e1b480b4b61265357705d5d73542d79,65677f5f88df2f935675b420ee3f036b7e1b480b4b61265357705d5d73542d79,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_coverage_0.05,0.05,"(2000,)",f29ccd304008c186e8b977c8ecda3870473eef84a790568229d6aeb661cd3deb,f29ccd304008c186e8b977c8ecda3870473eef84a790568229d6aeb661cd3deb,True,PASS
D1_SLEEPEDF_TO_ISRUC_C3_gap_0.05,0.05,"(2000,)",12fc2cd936d626db2fa4ccf40bf0c10978e3e7931135683a3c4a54523ece30ae,12fc2cd936d626db2fa4ccf40bf0c10978e3e7931135683a3c4a54523ece30ae,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_macro-F1,macro-F1,"(2000,)",bdb6987cf54f5a28905d4035a7cbda01482b9036dc597b4d21e5b57503b27b4e,bdb6987cf54f5a28905d4035a7cbda01482b9036dc597b4d21e5b57503b27b4e,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_NLL,NLL,"(2000,)",e1f9322823f504526fa60505239332462570e127c69421d6fa19efaa7cbf069e,e1f9322823f504526fa60505239332462570e127c69421d6fa19efaa7cbf069e,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_Brier,Brier,"(2000,)",2ad196e3374ae4db3210fed7f59cc0c0653a904e53dacb9c9ba16722fbff8719,2ad196e3374ae4db3210fed7f59cc0c0653a904e53dacb9c9ba16722fbff8719,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_ERROR_AUROC,AUROC,"(2000,)",b2d612b9f5e2fdd17df9ca717e18b1cbd3f4ceb214aaa5e2f789edaf8563d5e3,b2d612b9f5e2fdd17df9ca717e18b1cbd3f4ceb214aaa5e2f789edaf8563d5e3,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_coverage_0.1,0.1,"(2000,)",b61672655f51ae6702f4ae72b3c0488332b94d2e9e8bd7ee9b4e00186f446f40,b61672655f51ae6702f4ae72b3c0488332b94d2e9e8bd7ee9b4e00186f446f40,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_gap_0.1,0.1,"(2000,)",06aedb6add19525884d57d6a8bbb185e28df555756e12de6011f7951b7e8d035,06aedb6add19525884d57d6a8bbb185e28df555756e12de6011f7951b7e8d035,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_coverage_0.05,0.05,"(2000,)",b61672655f51ae6702f4ae72b3c0488332b94d2e9e8bd7ee9b4e00186f446f40,b61672655f51ae6702f4ae72b3c0488332b94d2e9e8bd7ee9b4e00186f446f40,True,PASS
D1_SLEEPEDF_TO_ISRUC_C4_gap_0.05,0.05,"(2000,)",ef2df05832d30bcb7887917509c21a48ef6b6d8c7e570f57869830b3a1741d10,ef2df05832d30bcb7887917509c21a48ef6b6d8c7e570f57869830b3a1741d10,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_macro-F1,macro-F1,"(2000,)",07238c25ac180194d25cc20c85f2d433cd3dda1658d3b1fe6bb75ea87956b563,07238c25ac180194d25cc20c85f2d433cd3dda1658d3b1fe6bb75ea87956b563,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_NLL,NLL,"(2000,)",ef4ae98a1548d83f8c488628c83b7e787a9a1b69d6e191da4ba3f0e15f47e568,ef4ae98a1548d83f8c488628c83b7e787a9a1b69d6e191da4ba3f0e15f47e568,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_Brier,Brier,"(2000,)",3c2888ec1932dd96685993c4493ff15758cf7734983c5346f3783d9f4aa48fa2,3c2888ec1932dd96685993c4493ff15758cf7734983c5346f3783d9f4aa48fa2,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_ERROR_AUROC,AUROC,"(2000,)",8b670b4e0188c9e228cdce844ba346a89449aeb89c885d04a38996aa188e306a,8b670b4e0188c9e228cdce844ba346a89449aeb89c885d04a38996aa188e306a,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_coverage_0.1,0.1,"(2000,)",fb2aceefc611ac380d13aadb548d3832c500f68694c7562f3d95a41d9563f358,fb2aceefc611ac380d13aadb548d3832c500f68694c7562f3d95a41d9563f358,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_gap_0.1,0.1,"(2000,)",02412f857d9f42c51ac8e8eaaf1f0c54df20a49653acf612f2caff852ae99d1e,02412f857d9f42c51ac8e8eaaf1f0c54df20a49653acf612f2caff852ae99d1e,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_coverage_0.05,0.05,"(2000,)",fb2aceefc611ac380d13aadb548d3832c500f68694c7562f3d95a41d9563f358,fb2aceefc611ac380d13aadb548d3832c500f68694c7562f3d95a41d9563f358,True,PASS
D1_SLEEPEDF_TO_ISRUC_C5_gap_0.05,0.05,"(2000,)",94c3333029864e07c7eba9696493f23f474416bd80bc049f6bfcf471361bc489,94c3333029864e07c7eba9696493f23f474416bd80bc049f6bfcf471361bc489,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_macro-F1,macro-F1,"(2000,)",16e4a20f52d39f01fdb1967177abf89857b3205d9e76218797f256c36c137e22,16e4a20f52d39f01fdb1967177abf89857b3205d9e76218797f256c36c137e22,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_NLL,NLL,"(2000,)",54c451f50239b91e630115b63b12bcc91a0d44ff18921bd6835232fadefe35ff,54c451f50239b91e630115b63b12bcc91a0d44ff18921bd6835232fadefe35ff,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_Brier,Brier,"(2000,)",cf87f4ca0b3d6091439ba87b7eb8b9ebf2413402a3c8f1dee3a1d850ccfc9ce6,cf87f4ca0b3d6091439ba87b7eb8b9ebf2413402a3c8f1dee3a1d850ccfc9ce6,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_ERROR_AUROC,AUROC,"(2000,)",515e919ca1e448efb79617eaf3dab5028e97c3432e1c1881eff434bcb99081fd,515e919ca1e448efb79617eaf3dab5028e97c3432e1c1881eff434bcb99081fd,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_coverage_0.1,0.1,"(2000,)",702e557504f9971e30ecd8dae4915e13cb0dbbc8495ea2dea0776e1b4ae3eb25,702e557504f9971e30ecd8dae4915e13cb0dbbc8495ea2dea0776e1b4ae3eb25,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_gap_0.1,0.1,"(2000,)",66741f5d7db832962fd076e9fb9b7061b2ce88c1056d06aa804fc89a756c14c3,66741f5d7db832962fd076e9fb9b7061b2ce88c1056d06aa804fc89a756c14c3,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_coverage_0.05,0.05,"(2000,)",77a9056425d0a1d3245f311a1ed87d656d4033d7c9aefcb451867f8c00a6f627,77a9056425d0a1d3245f311a1ed87d656d4033d7c9aefcb451867f8c00a6f627,True,PASS
D2_ISRUC_TO_SLEEPEDF_C0_gap_0.05,0.05,"(2000,)",04e5a467dee1aed41e9888872ce4460438fb86f6e41226b5b3d2b53aeb91ceb1,04e5a467dee1aed41e9888872ce4460438fb86f6e41226b5b3d2b53aeb91ceb1,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_macro-F1,macro-F1,"(2000,)",87c6abaae76db4507950fe91b85a9a57ac5cf011d3dd730a1086e1e1941c2767,87c6abaae76db4507950fe91b85a9a57ac5cf011d3dd730a1086e1e1941c2767,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_NLL,NLL,"(2000,)",bcbd4db9db4e0b9c6a4a3d85c3fbe7d91b7ca358ca8d673189ba98e789953652,bcbd4db9db4e0b9c6a4a3d85c3fbe7d91b7ca358ca8d673189ba98e789953652,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_Brier,Brier,"(2000,)",d0177c874643ec10c9c187f5b0f76c0f587ffe34a899cb4d2eb4eb88520148b7,d0177c874643ec10c9c187f5b0f76c0f587ffe34a899cb4d2eb4eb88520148b7,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_ERROR_AUROC,AUROC,"(2000,)",f81dd3ea9366d7ab0e693fb9ce0f8e459ccf9d7aa0e63d7b101365a4d8b9d4a6,f81dd3ea9366d7ab0e693fb9ce0f8e459ccf9d7aa0e63d7b101365a4d8b9d4a6,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_coverage_0.1,0.1,"(2000,)",67f61337237e564b2afd079d16c764fcbe1d4161a217cbb4d61598b96c77e121,67f61337237e564b2afd079d16c764fcbe1d4161a217cbb4d61598b96c77e121,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_gap_0.1,0.1,"(2000,)",e7e7ddd665910553fc529f1534f01af9cb2139a0b30fbb0f8aaf5fafd423586f,e7e7ddd665910553fc529f1534f01af9cb2139a0b30fbb0f8aaf5fafd423586f,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_coverage_0.05,0.05,"(2000,)",99d3273f681a29b0054850ec5a34127f895819a472c10f647e096a341a2aa828,99d3273f681a29b0054850ec5a34127f895819a472c10f647e096a341a2aa828,True,PASS
D2_ISRUC_TO_SLEEPEDF_C1_gap_0.05,0.05,"(2000,)",d450cfa8d88e1e3234fe580b605a2e886b39ff348bc301e26b937e6e49ad5b8e,d450cfa8d88e1e3234fe580b605a2e886b39ff348bc301e26b937e6e49ad5b8e,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_macro-F1,macro-F1,"(2000,)",450acfcc5775cafd6c645ce02326350c8782737d8e092b5838e7df8040b51e4b,450acfcc5775cafd6c645ce02326350c8782737d8e092b5838e7df8040b51e4b,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_NLL,NLL,"(2000,)",713c9825ab0da43f858f41ba56d8818e2139b07a71b3246bbf1b46b9cdf8cd7c,713c9825ab0da43f858f41ba56d8818e2139b07a71b3246bbf1b46b9cdf8cd7c,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_Brier,Brier,"(2000,)",87a2206f8cca64883cf74bc9583298ba8d11509a8261b23ea57500dc70fd89fe,87a2206f8cca64883cf74bc9583298ba8d11509a8261b23ea57500dc70fd89fe,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_ERROR_AUROC,AUROC,"(2000,)",67e212c5352535d51eeff2301f430fa77e347b6a36edb1da4e7f6f9c07a07d5d,67e212c5352535d51eeff2301f430fa77e347b6a36edb1da4e7f6f9c07a07d5d,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_coverage_0.1,0.1,"(2000,)",115b84527a601548f9ac9fb221a6c1eeb2af4abd48d2806c02361783691ce499,115b84527a601548f9ac9fb221a6c1eeb2af4abd48d2806c02361783691ce499,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_gap_0.1,0.1,"(2000,)",88a71df3954b665e76d964d06b18ec5c0a37c21b2ea4167646cf218b12313fde,88a71df3954b665e76d964d06b18ec5c0a37c21b2ea4167646cf218b12313fde,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_coverage_0.05,0.05,"(2000,)",ddb984005337fba2b5380c7bbd2a8f71a1b727a1eea7b198af11479b19ac5da2,ddb984005337fba2b5380c7bbd2a8f71a1b727a1eea7b198af11479b19ac5da2,True,PASS
D2_ISRUC_TO_SLEEPEDF_C2_gap_0.05,0.05,"(2000,)",4e159cd4e86d615b9ece0ba3474a6093d85ca50d51ff6e0502107a5d06373a36,4e159cd4e86d615b9ece0ba3474a6093d85ca50d51ff6e0502107a5d06373a36,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_macro-F1,macro-F1,"(2000,)",1caa54cb0dedcf5a2c171de7fbff49e89e8d42760555c4953bca5786aa4a92dc,1caa54cb0dedcf5a2c171de7fbff49e89e8d42760555c4953bca5786aa4a92dc,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_NLL,NLL,"(2000,)",7fc8471e131e88f750de21263205d7541c158c741bd98cb6452213390cedcd87,7fc8471e131e88f750de21263205d7541c158c741bd98cb6452213390cedcd87,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_Brier,Brier,"(2000,)",106cfdf38200fabde5369bc6e854789dd5fccb40dd7f10d8550e28920d3d9c61,106cfdf38200fabde5369bc6e854789dd5fccb40dd7f10d8550e28920d3d9c61,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_ERROR_AUROC,AUROC,"(2000,)",df84141bf087437e30d9b894b82b1ef2fd2fac0ce5854649ea41f1c488ca8f4b,df84141bf087437e30d9b894b82b1ef2fd2fac0ce5854649ea41f1c488ca8f4b,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_coverage_0.1,0.1,"(2000,)",8c8b22ee67ac03047f389f8e3fc4a5e39b251149a78a0bd1e19499f514194053,8c8b22ee67ac03047f389f8e3fc4a5e39b251149a78a0bd1e19499f514194053,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_gap_0.1,0.1,"(2000,)",5ed03beb4b40036ac32d19cc65ad2ad4d911c0bd5ee7a8670be51d76ecd2ae20,5ed03beb4b40036ac32d19cc65ad2ad4d911c0bd5ee7a8670be51d76ecd2ae20,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_coverage_0.05,0.05,"(2000,)",bbce598e848e64ce2b4f53569d0372ece4ca1e3a6fa65552f54594d97853bfec,bbce598e848e64ce2b4f53569d0372ece4ca1e3a6fa65552f54594d97853bfec,True,PASS
D2_ISRUC_TO_SLEEPEDF_C3_gap_0.05,0.05,"(2000,)",e18b1b43036a0e205fa2de04be71de9dcfb03750de42b14935c69008fca5ed8a,e18b1b43036a0e205fa2de04be71de9dcfb03750de42b14935c69008fca5ed8a,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_macro-F1,macro-F1,"(2000,)",5a780b5b4e368876959c8b23d2c950cdf461548a604c14d573beb94b6202c029,5a780b5b4e368876959c8b23d2c950cdf461548a604c14d573beb94b6202c029,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_NLL,NLL,"(2000,)",1a42b03df681087f9096d30aade703f2c3b0b1cd6a9f5c23f137570d4db86234,1a42b03df681087f9096d30aade703f2c3b0b1cd6a9f5c23f137570d4db86234,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_Brier,Brier,"(2000,)",c1b1fed9e0ca9427656a6bd5449b66e77eee2fd4afcdad03ee5c11895f5edff5,c1b1fed9e0ca9427656a6bd5449b66e77eee2fd4afcdad03ee5c11895f5edff5,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_ERROR_AUROC,AUROC,"(2000,)",5c776012e993f045ee215cc2a7f79be01cc15b12a8fef90f0dd7808eea8c9446,5c776012e993f045ee215cc2a7f79be01cc15b12a8fef90f0dd7808eea8c9446,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_coverage_0.1,0.1,"(2000,)",10faaa2bc5b29d66887a63b95d52a2cdab2b59857e23b72ba74547301e03ef25,10faaa2bc5b29d66887a63b95d52a2cdab2b59857e23b72ba74547301e03ef25,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_gap_0.1,0.1,"(2000,)",cba6d5b928454fe4bb651e0280a158db30ea5d0a8e4ca23e01c8b99400bfe792,cba6d5b928454fe4bb651e0280a158db30ea5d0a8e4ca23e01c8b99400bfe792,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_coverage_0.05,0.05,"(2000,)",1194db7b304338c8685278d398dcda81c58a40fef66205dd5a72853af9a8c8e0,1194db7b304338c8685278d398dcda81c58a40fef66205dd5a72853af9a8c8e0,True,PASS
D2_ISRUC_TO_SLEEPEDF_C4_gap_0.05,0.05,"(2000,)",05085d75bc9fd201816ce7ceab18f0adf9ba4a9b3e78b2246f9623190551a593,05085d75bc9fd201816ce7ceab18f0adf9ba4a9b3e78b2246f9623190551a593,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_macro-F1,macro-F1,"(2000,)",d1a0f2a6373329b81f87de539ec6912f54777af2325e318aadf58e35b010b351,d1a0f2a6373329b81f87de539ec6912f54777af2325e318aadf58e35b010b351,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_NLL,NLL,"(2000,)",fa9d71de2a4da0f5f817202c40a913390dc1e10af0b188d7ba55f600c8951f3e,fa9d71de2a4da0f5f817202c40a913390dc1e10af0b188d7ba55f600c8951f3e,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_Brier,Brier,"(2000,)",f9f72c8bdba475ad73a6a57bd093624245a8c44a2433a3359455deb0670a9379,f9f72c8bdba475ad73a6a57bd093624245a8c44a2433a3359455deb0670a9379,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_ERROR_AUROC,AUROC,"(2000,)",64f27cdc108155d1d1d397116a22fb3257556eafb1c83016fc312224d1d5401c,64f27cdc108155d1d1d397116a22fb3257556eafb1c83016fc312224d1d5401c,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_coverage_0.1,0.1,"(2000,)",fd63351f34bbf87298f47afafe3ae3afd6ecb981adeb360f32a860edffcc28a1,fd63351f34bbf87298f47afafe3ae3afd6ecb981adeb360f32a860edffcc28a1,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_gap_0.1,0.1,"(2000,)",f63e3a7a303cd662ee9a3bff724b4ddb6260a4602c9599db76e172fa5ed5445a,f63e3a7a303cd662ee9a3bff724b4ddb6260a4602c9599db76e172fa5ed5445a,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_coverage_0.05,0.05,"(2000,)",dbbd7012eb1971061a546d88440ce75187d915164cd21f55bd5c076ab717b210,dbbd7012eb1971061a546d88440ce75187d915164cd21f55bd5c076ab717b210,True,PASS
D2_ISRUC_TO_SLEEPEDF_C5_gap_0.05,0.05,"(2000,)",a9681d0a46b37cb395be414fa1276c9fb76ce8f0205ca9fe0c4a4f3ef853e697,a9681d0a46b37cb395be414fa1276c9fb76ce8f0205ca9fe0c4a4f3ef853e697,True,PASS
