dataset,recording_id,output_exists,hash_exists,hash_valid,shape_valid,labels_valid,metadata_versions_valid,source_provenance_available,status
sleep_edf_sc,SC4412E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4421E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4422E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4431E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4432E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4441E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4442E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4451F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4452F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4461F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4462F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4471F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4472F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4481F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4482F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4491G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4492G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4501E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4502E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4511E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4512E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4522E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4531E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4532E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4541F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4542F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4551F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4552F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4561F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4562F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4571F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4572F0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4581G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4582G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4591G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4592G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4601E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4602E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4611E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4612E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4621E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4622E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4631E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4632E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4641E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4642E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4651E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4652E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4661E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4662E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4671G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4672G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4701E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4702E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4711E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4712E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4721E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4722E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4731E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4732E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4741E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4742E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4751E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4752E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4761E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4762E0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4771G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4772G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4801G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4802G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4811G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4812G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4821G0,True,True,True,True,True,True,True,PASS
sleep_edf_sc,SC4822G0,True,True,True,True,True,True,True,PASS
isruc_s1,I003,True,True,True,True,True,True,True,PASS
isruc_s1,I004,True,True,True,True,True,True,True,PASS
isruc_s1,I005,True,True,True,True,True,True,True,PASS
isruc_s1,I006,True,True,True,True,True,True,True,PASS
isruc_s1,I007,True,True,True,True,True,True,True,PASS
isruc_s1,I008,True,True,True,True,True,True,True,PASS
isruc_s1,I009,True,True,True,True,True,True,True,PASS
isruc_s1,I010,True,True,True,True,True,True,True,PASS
isruc_s1,I012,True,True,True,True,True,True,True,PASS
isruc_s1,I015,True,True,True,True,True,True,True,PASS
isruc_s1,I016,True,True,True,True,True,True,True,PASS
isruc_s1,I018,True,True,True,True,True,True,True,PASS
isruc_s1,I022,True,True,True,True,True,True,True,PASS
isruc_s1,I024,True,True,True,True,True,True,True,PASS
isruc_s1,I026,True,True,True,True,True,True,True,PASS
