subject_id,official_folder,bundle_status,failure_code,actual_files
I034,34,BUNDLE_COMPLETE,,34.rec|34_1.txt|34_1.xlsx|34_2.txt|34_2.xlsx
I035,35,BUNDLE_COMPLETE,,35.rec|35_1.txt|35_1.xlsx|35_2.txt|35_2.xlsx
I036,36,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,.getxfer.34036.176.mega|36_1.txt|36_1.xlsx|36_2.txt|36_2.xlsx
I037,37,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I038,38,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I039,39,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I040,40,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I041,41,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I042,42,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I043,43,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I044,44,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I045,45,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I046,46,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I047,47,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I048,48,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I049,49,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I050,50,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I051,51,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I052,52,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I053,53,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I054,54,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I055,55,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I056,56,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I057,57,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I058,58,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I059,59,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I060,60,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I061,61,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I062,62,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I063,63,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I064,64,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I065,65,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I066,66,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I067,67,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I068,68,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I069,69,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I070,70,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I071,71,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I072,72,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I073,73,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I074,74,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I075,75,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I076,76,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I077,77,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I078,78,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I079,79,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I080,80,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I081,81,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I082,82,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I083,83,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I084,84,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I085,85,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I086,86,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I087,87,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I088,88,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I089,89,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I090,90,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I091,91,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I092,92,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I093,93,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I094,94,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I095,95,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I096,96,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I097,97,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I098,98,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I099,99,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
I100,100,BUNDLE_MISSING_SIGNAL,MISSING_SIGNAL,
