subject_id,exact_eeg_derivation,exact_eog_derivation,montage_variant,eeg_rate,eog_rate,units,signal_count,labels
I016,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I017,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I018,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I019,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I020,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I021,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I022,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I023,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I024,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I025,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I026,C3-A2,LOC-A2,ISRUC_A1A2,200.0,200.0,uV|uV,19,LOC-A2|ROC-A1|F3-A2|C3-A2|O1-A2|F4-A1|C4-A1|O2-A1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SaO2|DC8
I027,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I028,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I029,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I030,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I031,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I032,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I033,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I034,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I035,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I036,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I037,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I038,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02
I039,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8
I040,,,UNSUPPORTED,,,,,ROC|A1|LOC|A2|C4|O2|C3|O1|F4|F3|X1|X2|X3|X4|X5|X6|X7|X8|DC8|DC3|SaO2
I041,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I042,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I043,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I044,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I045,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I046,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I047,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I048,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I049,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I050,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I051,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I052,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I053,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I054,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I055,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I056,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,19,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC3|X7|X8|SpO2|DC8
I057,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I058,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I059,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I060,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I061,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I062,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I063,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I064,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I065,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|24|25|26|27|28|29|DC01|30|31|SpO2|DC02|DC04
I066,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I067,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I068,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I069,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I070,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
I071,C3-M2,E1-M2,ISRUC_M1M2,200.0,200.0,uV|uV,20,E1-M2|E2-M1|F3-M2|C3-M2|O1-M2|F4-M1|C4-M1|O2-M1|X1|X2|X3|X4|X5|X6|DC4|X7|X8|SpO2|DC8|DC7
