subject,channel_index,raw_hex,decoded_repr,stripped_repr,contains_nul,contains_non_ascii,exact_expected,notes
I005,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I005,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I005,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I005,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I005,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I005,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I005,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I005,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I005,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I005,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I005,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I005,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I005,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I005,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I005,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I005,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I005,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I005,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I005,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I006,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I006,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I006,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I006,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I006,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I006,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I006,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I006,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I006,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I006,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I006,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I006,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I006,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I006,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I006,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I006,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I006,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I006,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I006,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I007,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I007,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I007,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I007,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I007,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I007,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I007,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I007,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I007,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I007,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I007,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I007,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I007,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I007,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I007,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I007,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I007,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I007,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I007,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I008,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I008,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I008,2,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I008,3,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I008,4,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I008,5,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I008,6,58312020202020202020202020202020,X1              ,X1,False,False,False,
I008,7,58322020202020202020202020202020,X2              ,X2,False,False,False,
I008,8,58332020202020202020202020202020,X3              ,X3,False,False,False,
I008,9,58342020202020202020202020202020,X4              ,X4,False,False,False,
I008,10,58352020202020202020202020202020,X5              ,X5,False,False,False,
I008,11,58362020202020202020202020202020,X6              ,X6,False,False,False,
I008,12,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I008,13,58372020202020202020202020202020,X7              ,X7,False,False,False,
I008,14,58382020202020202020202020202020,X8              ,X8,False,False,False,
I008,15,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I008,16,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I008,17,44433420202020202020202020202020,DC4             ,DC4,False,False,False,
I008,18,44433520202020202020202020202020,DC5             ,DC5,False,False,False,
I008,19,44433620202020202020202020202020,DC6             ,DC6,False,False,False,
I008,20,44433720202020202020202020202020,DC7             ,DC7,False,False,False,
I009,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I009,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I009,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I009,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I009,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I009,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I009,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I009,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I009,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I009,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I009,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I009,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I009,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I009,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I009,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I009,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I009,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I009,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I009,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I010,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I010,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I010,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I010,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I010,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I010,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I010,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I010,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I010,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I010,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I010,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I010,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I010,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I010,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I010,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I010,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I010,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I010,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I010,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I011,0,45312d4d322020202020202020202020,E1-M2           ,E1-M2,False,False,False,
I011,1,45322d4d312020202020202020202020,E2-M1           ,E2-M1,False,False,False,
I011,2,46332d4d322020202020202020202020,F3-M2           ,F3-M2,False,False,False,
I011,3,43332d4d322020202020202020202020,C3-M2           ,C3-M2,False,False,False,
I011,4,4f312d4d322020202020202020202020,O1-M2           ,O1-M2,False,False,False,
I011,5,46342d4d312020202020202020202020,F4-M1           ,F4-M1,False,False,False,
I011,6,43342d4d312020202020202020202020,C4-M1           ,C4-M1,False,False,False,
I011,7,4f322d4d312020202020202020202020,O2-M1           ,O2-M1,False,False,False,
I011,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I011,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I011,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I011,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I011,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I011,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I011,14,44433420202020202020202020202020,DC4             ,DC4,False,False,False,
I011,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I011,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I011,17,58372d58382020202020202020202020,X7-X8           ,X7-X8,False,False,False,
I011,18,53704f32202020202020202020202020,SpO2            ,SpO2,False,False,False,
I011,19,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I011,20,44433120202020202020202020202020,DC1             ,DC1,False,False,False,
I011,21,44433220202020202020202020202020,DC2             ,DC2,False,False,False,
I011,22,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I011,23,44433520202020202020202020202020,DC5             ,DC5,False,False,False,
I012,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I012,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I012,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I012,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I012,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I012,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I012,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I012,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I012,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I012,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I012,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I012,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I012,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I012,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I012,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I012,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I012,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I012,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I012,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I013,0,45312d4d322020202020202020202020,E1-M2           ,E1-M2,False,False,False,
I013,1,45322d4d312020202020202020202020,E2-M1           ,E2-M1,False,False,False,
I013,2,46332d4d322020202020202020202020,F3-M2           ,F3-M2,False,False,False,
I013,3,43332d4d322020202020202020202020,C3-M2           ,C3-M2,False,False,False,
I013,4,4f312d4d322020202020202020202020,O1-M2           ,O1-M2,False,False,False,
I013,5,46342d4d312020202020202020202020,F4-M1           ,F4-M1,False,False,False,
I013,6,43342d4d312020202020202020202020,C4-M1           ,C4-M1,False,False,False,
I013,7,4f322d4d312020202020202020202020,O2-M1           ,O2-M1,False,False,False,
I013,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I013,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I013,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I013,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I013,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I013,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I013,14,44433420202020202020202020202020,DC4             ,DC4,False,False,False,
I013,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I013,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I013,17,53704f32202020202020202020202020,SpO2            ,SpO2,False,False,False,
I013,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I014,0,45312d4d322020202020202020202020,E1-M2           ,E1-M2,False,False,False,
I014,1,45322d4d312020202020202020202020,E2-M1           ,E2-M1,False,False,False,
I014,2,46332d4d322020202020202020202020,F3-M2           ,F3-M2,False,False,False,
I014,3,43332d4d322020202020202020202020,C3-M2           ,C3-M2,False,False,False,
I014,4,4f312d4d322020202020202020202020,O1-M2           ,O1-M2,False,False,False,
I014,5,46342d4d312020202020202020202020,F4-M1           ,F4-M1,False,False,False,
I014,6,43342d4d312020202020202020202020,C4-M1           ,C4-M1,False,False,False,
I014,7,4f322d4d312020202020202020202020,O2-M1           ,O2-M1,False,False,False,
I014,8,32342020202020202020202020202020,24              ,24,False,False,False,
I014,9,32352020202020202020202020202020,25              ,25,False,False,False,
I014,10,32362020202020202020202020202020,26              ,26,False,False,False,
I014,11,32372020202020202020202020202020,27              ,27,False,False,False,
I014,12,32382020202020202020202020202020,28              ,28,False,False,False,
I014,13,32392020202020202020202020202020,29              ,29,False,False,False,
I014,14,44433031202020202020202020202020,DC01            ,DC01,False,False,False,
I014,15,33302020202020202020202020202020,30              ,30,False,False,False,
I014,16,33312020202020202020202020202020,31              ,31,False,False,False,
I014,17,53704f32202020202020202020202020,SpO2            ,SpO2,False,False,False,
I014,18,44433032202020202020202020202020,DC02            ,DC02,False,False,False,
I015,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I015,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I015,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I015,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I015,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I015,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I015,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I015,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I015,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I015,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I015,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I015,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I015,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I015,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I015,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I015,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I015,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I015,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I015,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I016,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I016,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I016,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I016,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I016,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I016,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I016,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I016,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I016,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I016,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I016,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I016,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I016,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I016,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I016,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I016,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I016,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I016,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I016,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I017,0,45312d4d322020202020202020202020,E1-M2           ,E1-M2,False,False,False,
I017,1,45322d4d312020202020202020202020,E2-M1           ,E2-M1,False,False,False,
I017,2,46332d4d322020202020202020202020,F3-M2           ,F3-M2,False,False,False,
I017,3,43332d4d322020202020202020202020,C3-M2           ,C3-M2,False,False,False,
I017,4,4f312d4d322020202020202020202020,O1-M2           ,O1-M2,False,False,False,
I017,5,46342d4d312020202020202020202020,F4-M1           ,F4-M1,False,False,False,
I017,6,43342d4d312020202020202020202020,C4-M1           ,C4-M1,False,False,False,
I017,7,4f322d4d312020202020202020202020,O2-M1           ,O2-M1,False,False,False,
I017,8,32342020202020202020202020202020,24              ,24,False,False,False,
I017,9,32352020202020202020202020202020,25              ,25,False,False,False,
I017,10,32362020202020202020202020202020,26              ,26,False,False,False,
I017,11,32372020202020202020202020202020,27              ,27,False,False,False,
I017,12,32382020202020202020202020202020,28              ,28,False,False,False,
I017,13,32392020202020202020202020202020,29              ,29,False,False,False,
I017,14,44433031202020202020202020202020,DC01            ,DC01,False,False,False,
I017,15,33302020202020202020202020202020,30              ,30,False,False,False,
I017,16,33312020202020202020202020202020,31              ,31,False,False,False,
I017,17,53704f32202020202020202020202020,SpO2            ,SpO2,False,False,False,
I017,18,44433032202020202020202020202020,DC02            ,DC02,False,False,False,
I018,0,4c4f432d413220202020202020202020,LOC-A2          ,LOC-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I018,1,524f432d413120202020202020202020,ROC-A1          ,ROC-A1,False,False,False,
I018,2,46332d41322020202020202020202020,F3-A2           ,F3-A2,False,False,False,
I018,3,43332d41322020202020202020202020,C3-A2           ,C3-A2,False,False,True,EXPECTED_EXACT_AFTER_PADDING_STRIP
I018,4,4f312d41322020202020202020202020,O1-A2           ,O1-A2,False,False,False,
I018,5,46342d41312020202020202020202020,F4-A1           ,F4-A1,False,False,False,
I018,6,43342d41312020202020202020202020,C4-A1           ,C4-A1,False,False,False,
I018,7,4f322d41312020202020202020202020,O2-A1           ,O2-A1,False,False,False,
I018,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I018,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I018,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I018,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I018,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I018,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I018,14,44433320202020202020202020202020,DC3             ,DC3,False,False,False,
I018,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I018,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I018,17,53614f32202020202020202020202020,SaO2            ,SaO2,False,False,False,
I018,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
I019,0,45312d4d322020202020202020202020,E1-M2           ,E1-M2,False,False,False,
I019,1,45322d4d312020202020202020202020,E2-M1           ,E2-M1,False,False,False,
I019,2,46332d4d322020202020202020202020,F3-M2           ,F3-M2,False,False,False,
I019,3,43332d4d322020202020202020202020,C3-M2           ,C3-M2,False,False,False,
I019,4,4f312d4d322020202020202020202020,O1-M2           ,O1-M2,False,False,False,
I019,5,46342d4d312020202020202020202020,F4-M1           ,F4-M1,False,False,False,
I019,6,43342d4d312020202020202020202020,C4-M1           ,C4-M1,False,False,False,
I019,7,4f322d4d312020202020202020202020,O2-M1           ,O2-M1,False,False,False,
I019,8,58312020202020202020202020202020,X1              ,X1,False,False,False,
I019,9,58322020202020202020202020202020,X2              ,X2,False,False,False,
I019,10,58332020202020202020202020202020,X3              ,X3,False,False,False,
I019,11,58342020202020202020202020202020,X4              ,X4,False,False,False,
I019,12,58352020202020202020202020202020,X5              ,X5,False,False,False,
I019,13,58362020202020202020202020202020,X6              ,X6,False,False,False,
I019,14,44433420202020202020202020202020,DC4             ,DC4,False,False,False,
I019,15,58372020202020202020202020202020,X7              ,X7,False,False,False,
I019,16,58382020202020202020202020202020,X8              ,X8,False,False,False,
I019,17,53704f32202020202020202020202020,SpO2            ,SpO2,False,False,False,
I019,18,44433820202020202020202020202020,DC8             ,DC8,False,False,False,
